,reaction_id,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
0,12DGR120tipp,,,,,,,
1,12DGR140tipp,,,,,,,
2,12DGR141tipp,,,,,,,
3,12DGR160tipp,,,,,,,
4,12DGR161tipp,,,,,,,
5,12DGR180tipp,,,,,,,
6,12DGR181tipp,,,,,,,
7,12PPDRtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
8,12PPDRtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
9,12PPDRtpp,,,,,,,
10,12PPDRtpp_reverse,,,,,,,
11,12PPDStex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
12,12PPDStex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
13,12PPDStpp,,,,,,,
14,12PPDStpp_reverse,,,,,,,
15,14GLUCANabcpp,0.000563729490511,0.000355667487542,0.000453710145022,0.000518043810058,0.000379887765915,0.00052651121955,0.000171056546317
16,14GLUCANtexi,0.0001317239,0.0001126848,0.0001211958,0.000158925,0.000101198,0.0001478873,7.98373208489e-05
17,23CAMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
18,23CAMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
19,23CCMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
20,23CCMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
21,23CGMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
22,23CGMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23,23CUMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
24,23CUMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
25,23DAPPAt2pp,,,,,,,
26,23DAPPAtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
27,23DAPPAtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
28,23PDE2pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
29,23PDE4pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
30,23PDE7pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
31,23PDE9pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
32,26DAHtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
33,26DAHtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
34,2AGPA120tipp,,,,,,,
35,2AGPA140tipp,,,,,,,
36,2AGPA141tipp,,,,,,,
37,2AGPA160tipp,,,,,,,
38,2AGPA161tipp,,,,,,,
39,2AGPA180tipp,,,,,,,
40,2AGPA181tipp,,,,,,,
41,2AGPE120tipp,,,,,,,
42,2AGPE140tipp,,,,,,,
43,2AGPE141tipp,,,,,,,
44,2AGPE160tipp,,,,,,,
45,2AGPE161tipp,,,,,,,
46,2AGPE180tipp,,,,,,,
47,2AGPE181tipp,,,,,,,
48,2AGPEAT120,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
49,2AGPEAT140,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
50,2AGPEAT141,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
51,2AGPEAT160,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
52,2AGPEAT161,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
53,2AGPEAT180,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
54,2AGPEAT181,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
55,2AGPG120tipp,,,,,,,
56,2AGPG140tipp,,,,,,,
57,2AGPG141tipp,,,,,,,
58,2AGPG160tipp,,,,,,,
59,2AGPG161tipp,,,,,,,
60,2AGPG180tipp,,,,,,,
61,2AGPG181tipp,,,,,,,
62,2AGPGAT120,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
63,2AGPGAT140,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
64,2AGPGAT141,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
65,2AGPGAT160,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
66,2AGPGAT161,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
67,2AGPGAT180,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
68,2AGPGAT181,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
69,2DGULRGx,8.4624e-05,6.59866785758e-05,9.93896864828e-05,7.79575575899e-05,0.0001008777,7.8405e-05,0.0001121159
70,2DGULRGy,8.4624e-05,6.59866785758e-05,9.93896864828e-05,7.79575575899e-05,0.0001008777,7.8405e-05,0.0001121159
71,2DGULRx,8.4624e-05,6.59866785758e-05,9.93896864828e-05,7.79575575899e-05,0.0001008777,7.8405e-05,0.0001121159
72,2DGULRy,8.4624e-05,6.59866785758e-05,9.93896864828e-05,7.79575575899e-05,0.0001008777,7.8405e-05,0.0001121159
73,2MAHMP,5.99e-07,4.13057897183e-07,3.97908626938e-07,1.01678190505e-06,8.74e-07,4.9e-07,1.43413704051e-06
74,34dhpactex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
75,34dhpactex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
76,3AMACHYD,,,,,,,
77,3AMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
78,3AMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
79,3CMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
80,3CMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
81,3GMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
82,3GMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
83,3HAD100,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
84,3HAD120,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
85,3HAD121,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
86,3HAD140,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
87,3HAD141,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
88,3HAD160,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
89,3HAD161,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
90,3HAD180,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
91,3HAD181,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
92,3HAD40,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
