,dG0_prime,dG0_prime_std,dGm_prime,logRI,formula
"{u'C00905': 1, u'C00191': -1}",0.55,2.96,0.55,0.22,C00191 <=> C00905
"{u'C04002': 1, u'C05662': -1, u'C00001': 1}",-1.62,2.93,-1.62,-0.65,C05662 <=> C00001 + C04002
"{u'C00080': 1, u'C00003': -1, u'C00004': 1, u'C06755': 1, u'C06754': -1, u'C00001': -1}",-41.61,1.12,-41.61,-8.4,C00001 + C00003 + C06754 <=> C00004 + C00080 + C06755
"{u'C00009': 1, u'C00008': 1, u'C03373': -1, u'C00002': -1, u'C15667': 1, u'C00288': -1}",-65.32,5.46,-65.32,-8.79,C00002 + C00288 + C03373 <=> C00008 + C00009 + C15667
"{u'C04131': -1, u'C00014': 1, u'C00001': -1, u'C02028': 1}",-14.46,2.23,-31.57,-8.5,C00001 + C04131 <=> C00014 + C02028
"{u'C00029': -1, u'C00015': 1, u'C03996': 1, u'C00314': -1}",-18.43,2.78,-18.43,-3.72,C00029 + C00314 <=> C00015 + C03996
"{u'C00014': 1, u'C00877': 1, u'C05231': -1}",-0.92,2.82,-18.04,-4.85,C05231 <=> C00014 + C00877
"{u'C00089': 1, u'C00492': -2.0, u'C03989': 1}",8.43,3.28,8.43,1.7,2 C00492 <=> C00089 + C03989
"{u'C00026': 1, u'C00001': -1, u'C00218': 1, u'C03623': -1}",7.69,3.84,-9.42,-2.54,C00001 + C03623 <=> C00026 + C00218
"{u'C04830': 1, u'C01289': -1, u'C00029': -1, u'C00015': 1}",-14.32,2.19,-14.32,-2.89,C00029 + C01289 <=> C00015 + C04830
"{u'C00197': -1, u'C00002': -1, u'C00236': 1, u'C00008': 1}",18.64,0.45,18.64,3.76,C00002 + C00197 <=> C00008 + C00236
"{u'C00011': 1, u'C00026': -1, u'C00007': -1, u'C00042': 1, u'C06231': -1, u'C16432': 1}",-460.23,4.8,-460.23,-61.92,C00007 + C00026 + C06231 <=> C00011 + C00042 + C16432
"{u'C14147': -1, u'C00014': 1, u'C00001': -1, u'C14148': 1}",-54.78,100000.0,-71.89,-19.34,C00001 + C14147 <=> C00014 + C14148
"{u'C11386': -1, u'C00006': -1, u'C00005': 1, u'C11384': 1, u'C00080': 1}",20.8,1.03,20.8,4.2,C00006 + C11386 <=> C00005 + C00080 + C11384
"{u'C04244': -1, u'C00005': 1, u'C00080': 1, u'C03684': 1, u'C00006': -1}",18.31,1.0,18.31,3.7,C00006 + C04244 <=> C00005 + C00080 + C03684
"{u'C00080': 1, u'C00533': -1, u'C00001': -1, u'C00088': 1, u'C05358': 1, u'C05357': -1}",-42.46,0.0,-42.46,-8.57,C00001 + C00533 + C05357 <=> C00080 + C00088 + C05358
"{u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C00805': 1, u'C00180': -1}",-439.0,3.57,-421.88,-68.11,C00005 + C00007 + C00180 <=> C00001 + C00006 + C00805
