,EC_number,RID,Organism,Turnover_Number
0,1.1.1.1,R00623,Aeropyrum pernix,0.405
1,1.1.1.1,R00623,Coturnix coturnix,6.18
2,1.1.1.1,R00623,Geobacillus thermodenitrificans,443.1
3,1.1.1.1,R00623,Homo sapiens,0.717
4,1.1.1.1,R00623,Mesocricetus auratus,7.75
5,1.1.1.1,R00623,Sulfolobus acidocaldarius,11.5
6,1.1.1.1,R00623,Sulfolobus solfataricus,3.95
7,1.1.1.1,R00623,Thermus thermophilus,26.62
8,1.1.1.1,R00624,Aeropyrum pernix,0.405
9,1.1.1.1,R00624,Coturnix coturnix,6.18
10,1.1.1.1,R00624,Geobacillus thermodenitrificans,443.1
11,1.1.1.1,R00624,Homo sapiens,0.717
12,1.1.1.1,R00624,Mesocricetus auratus,7.75
13,1.1.1.1,R00624,Sulfolobus acidocaldarius,11.5
14,1.1.1.1,R00624,Sulfolobus solfataricus,3.95
15,1.1.1.1,R00624,Thermus thermophilus,26.62
16,1.1.1.1,R00754,Aeropyrum pernix,0.4
17,1.1.1.1,R00754,Alligator mississippiensis,0.467
18,1.1.1.1,R00754,Coturnix coturnix,6.18
19,1.1.1.1,R00754,Equus caballus,77.4
20,1.1.1.1,R00754,Flavobacterium frigidimaris,135.15
21,1.1.1.1,R00754,Geobacillus thermodenitrificans,404.8
22,1.1.1.1,R00754,Homo sapiens,3.165
23,1.1.1.1,R00754,Mesocricetus auratus,7.75
24,1.1.1.1,R00754,Mus musculus,22.86
25,1.1.1.1,R00754,Natronomonas pharaonis,2.9
26,1.1.1.1,R00754,Ogataea angusta,3250.0
27,1.1.1.1,R00754,Picrophilus torridus,0.00086
28,1.1.1.1,R00754,Rattus norvegicus,31.85
29,1.1.1.1,R00754,Saccharomyces cerevisiae,432.3
30,1.1.1.1,R00754,Saimiri sciureus,0.5085
31,1.1.1.1,R00754,Sulfolobus acidocaldarius,11.5
32,1.1.1.1,R00754,Sulfolobus solfataricus,3.1
33,1.1.1.1,R00754,Thermus thermophilus,26.62
34,1.1.1.1,R02124,Aeropyrum pernix,0.405
35,1.1.1.1,R02124,Coturnix coturnix,6.18
36,1.1.1.1,R02124,Equus caballus,1.55
37,1.1.1.1,R02124,Geobacillus thermodenitrificans,443.1
38,1.1.1.1,R02124,Homo sapiens,0.325
39,1.1.1.1,R02124,Mesocricetus auratus,1.3
40,1.1.1.1,R02124,Sulfolobus acidocaldarius,11.5
41,1.1.1.1,R02124,Sulfolobus solfataricus,3.95
42,1.1.1.1,R02124,Thermus thermophilus,26.62
43,1.1.1.1,R04805,Aeropyrum pernix,0.405
44,1.1.1.1,R04805,Coturnix coturnix,6.18
45,1.1.1.1,R04805,Geobacillus thermodenitrificans,443.1
46,1.1.1.1,R04805,Homo sapiens,0.717
47,1.1.1.1,R04805,Mesocricetus auratus,7.75
48,1.1.1.1,R04805,Sulfolobus acidocaldarius,11.5
49,1.1.1.1,R04805,Sulfolobus solfataricus,3.95
50,1.1.1.1,R04805,Thermus thermophilus,26.62
51,1.1.1.1,R04880,Aeropyrum pernix,0.405
52,1.1.1.1,R04880,Coturnix coturnix,6.18
