122586.NMB1391	P63337
122586.NMB1177	Q9JRV8
122586.NMB1518	Q9JYM1
122586.NMB0435	Q9K0X1
122586.NMB0452	P0A0Q5
122586.NMB0220	P63442
122586.NMB1651	Q9JYC4
122586.NMB0456	Q9K0V3
122586.NMB1623	Q9JYE1
122586.NMB0377	Q9K118
122586.NMB1662	Q9JYB4
122586.NMB1876	Q9JXU9
122586.NMB1074	Q9JZF7
122586.NMB1787	Q9JY18
122586.NMB1371	Q9JYY4
122586.NMB2005	P63574
122586.NMB0637	Q9K0G8
122586.NMB1432	Q9JYU1
122586.NMB1814	Q9JY01
122586.NMB1680	Q9JY99
122586.NMB1446	Q9JYT0
122586.NMB0358	P56992
122586.NMB1813	P63600
122586.NMB0005	P63622
122586.NMB2129	Q9JXC1
122586.NMB1936	Q9JXQ0
122586.NMB1934	Q9JXQ2
122586.NMB1937	Q9JXP9
122586.NMB1933	Q9JXQ3
122586.NMB1938	Q7DD66
122586.NMB1935	Q9JXQ1
122586.NMB0182	Q9K1H0
122586.NMB0703	Q9K0B1
122586.NMB0204	Q9K1F0
122586.NMB1207	P0A0R1
122586.NMB1206	P63700
122586.NMB2075	Q9JXF1
122586.NMB1184	Q9JRW7
122586.NMB0733	Q9K085
122586.NMB0472	Q9K0U0
122586.NMB0270	Q9K197
122586.NMB2061	Q9JXG5
122586.NMB1849	Q9JXX4
122586.NMB1855	Q9JXW8
122586.NMB1241	Q9JZ88
122586.NMB1973	Q9JXM4
122586.NMB1972	P42385
122586.NMB1472	Q9JYQ8
122586.NMB1312	Q9JZ38
122586.NMB0837	Q9JZZ5
122586.NMB1372	Q9JYY3
122586.NMB2019	P63817
122586.NMB0331	Q4W580
122586.NMB1065	Q9JZG6
122586.NMB0071	P0A0V8
122586.NMB0071	P0A0V9
122586.NMB0072	P32014
122586.NMB0073	P32015
122586.NMB0074	P32016
122586.NMB1978	P56977
122586.NMB0879	Q9JZW0
122586.NMB1194	P95370
122586.NMB1193	Q9JRT1
122586.NMB1189	Q9JS33
122586.NMB1190	Q9JS45
122586.NMB0763	Q7DDL5
122586.NMB0176	Q9K1H5
122586.NMB0929	Q9JZR4
122586.NMB0203	Q9K1F1
122586.NMB0335	Q9K152
122586.NMB1530	Q9JYL2
122586.NMB0760	Q9K060
122586.NMB1230	P64389
122586.NMB1976	Q9JXM2
122586.NMB0849	P63904
122586.NMB0781	Q9K041
122586.NMB0424	Q9K0Y0
122586.NMB0110	P63916
122586.NMB0852	Q9JZY1
122586.NMB2079	P30903
122586.NMB1691	Q51161
122586.NMB1903	Q9JXS7
122586.NMB1537	P57029
122586.NMB0059	P63969
122586.NMB0554	Q9K0N4
122586.NMB0666	Q9K0E3
122586.NMB1827	Q9JXZ2
122586.NMB1448	Q9JYS8
122586.NMB1649	Q9JYC6
122586.NMB1519	Q9JYM0
122586.NMB0347	Q9K143
122586.NMB0999	Q9JZL5
122586.NMB0893	Q9JZU7
122586.NMB0184	Q9K1G8
122586.NMB1867	Q9JXV7
122586.NMB0308	Q9K168
122586.NMB0035	Q9K1P6
122586.NMB0138	Q9K1I8
122586.NMB0937	Q9JZQ8
122586.NMB2102	P64051
122586.NMB0124	P64027
122586.NMB1806	Q9JY03
122586.NMB1285	Q9JZ53
122586.NMB0687	Q9K0C7
122586.NMB0557	Q7DDN1
122586.NMB1363	Q9JYZ2
122586.NMB0262	Q9K1A5
122586.NMB1729	P64100
122586.NMB1728	P0A0R9
122586.NMB1060	Q9JZH1
122586.NMB1916	Q9JXR6
122586.NMB0336	Q9K151
122586.NMB0179	P95378
122586.NMB0634	P0A0Y4
122586.NMB0632	Q4W575
122586.NMB2021	P67616
122586.NMB1420	P64131
122586.NMB1567	Q9JYI8
122586.NMB0027	P0A0W2
122586.NMB0018	P05431
122586.NMB0111	Q9K1K6
122586.NMB1295	P55044
122586.NMB0585	Q9K0K9
122586.NMB1415	Q9JYV5
122586.NMB1839	Q9JXY2
122586.NMB0426	Q9K0X8
122586.NMB1286	P64161
122586.NMB1314	Q9JZ36
122586.NMB1067	Q9JZG4
122586.NMB0412	Q7DDQ4
122586.NMB0425	Q9K0X9
122586.NMB0045	P57011
122586.NMB0427	P0A0S6
122586.NMB0205	P0A0S8
122586.NMB1388	Q9JYX3
122586.NMB0334	Q9K153
122586.NMB0064	P56985
122586.NMB1356	Q9JYZ9
122586.NMB1358	Q9JYZ7
122586.NMB1355	Q9JZ00
122586.NMB0803	Q9K023
122586.NMB0575	Q9K0L7
122586.NMB0574	Q9K0L8
122586.NMB1390	P64254
122586.NMB1690	Q9JY89
122586.NMB0031	Q9K1P9
122586.NMB0038	Q9K1P3
122586.NMB1203	Q9JZB4
122586.NMB0224	Q9K1D5
122586.NMB1997	Q9JXK4
122586.NMB1790	Q9JY15
122586.NMB0349	Q9K141
122586.NMB1268	P57099
122586.NMB1055	P56990
122586.NMB2090	P0A0Y6
122586.NMB2033	Q9JXI5
122586.NMB2060	Q9JXG6
122586.NMB1604	Q9JYF7
122586.NMB1621	P0A0T5
122586.NMB1430	Q9JYU3
122586.NMB0689	Q9K0C5
122586.NMB0561	Q7DDM9
122586.NMB1864	Q9JXW0
122586.NMB1559	Q9JYJ3
122586.NMB2054	Q9JXG9
122586.NMB1920	Q9JXR2
122586.NMB1533	P57026
122586.NMB0576	P56994
122586.NMB0539	Q9K0P6
122586.NMB0718	Q9K097
122586.NMB0748	P64345
122586.NMB1579	P64347
122586.NMB0603	Q9K0J4
122586.NMB0627	Q9K0H5
122586.NMB0629	Q9K0H3
122586.NMB0630	Q9K0H2
122586.NMB0628	Q9K0H4
122586.NMB1583	P64371
122586.NMB1582	Q9JYH7
122586.NMB1581	Q9JYH8
