198214.SF2367	Q83QS4
198214.SF2091	P37756
198214.SF0888	Q83LP7
198214.SF3281	Q83Q03
198214.SF3280	Q83JE2
198214.SF2846	Q83JV7
198214.SF1774	Q83R90
198214.SF0175	P0ABD7
198214.SF2392	Q83KA2
198214.SF1098	P0A6B3
198214.CP0124	P0A199
198214.SF0341	Q83SG7
198214.SF2625	Q83K24
198214.SF0409	P0ACT1
198214.SF0542	P0AAX2
198214.SF4127	Q83P94
198214.SF0969	Q83LL9
198214.SF1648	Q83RC0
198214.SF3796	Q7BZ90
198214.SF4108	P60064
198214.SF3074	P83844
198214.SF0421	Q83M39
198214.SF0524	P0AE11
198214.SF2331	Q83QU0
198214.SF2366	P0A961
198214.SF2698	P64553
198214.SF2910	P0AB73
198214.SF1860	P0A958
198214.SF0444	P63487
198214.SF4152	P0A6B5
198214.SF3128	Q83Q35
198214.SF4229	Q83P64
198214.SF0108	P0AE15
198214.SF1667	Q83KX8
198214.SF0047	P62675
198214.SF0046	Q83SQ2
198214.SF4149	P0AE23
198214.SF0414	Q83M42
198214.SF0832	O68874
198214.SF0058	Q83MG5
198214.SF1946	Q83KP2
198214.SF1945	P0AE27
198214.SF4433	P0A9Q4
198214.SF3250	P0AEC4
198214.SF1626	P0AAE7
198214.SF2829	P59293
198214.SF4036	P59302
198214.SF4035	P59310
198214.SF3378	P59321
198214.SF4034	P59600
198214.SF2908	Q7UBP8
198214.SF2901	P0A8S4
198214.SF3277	P0A6D2
198214.SF4037	P59619
198214.SF2334	Q83QT8
198214.SF2332	Q83QT9
198214.SF2333	Q7UC63
198214.SF2335	Q83KB7
198214.SF2337	Q83KB5
198214.SF2336	Q83KB6
198214.SF0903	Q83RY8
198214.SF3407	Q83PX0
198214.SF2405	Q83QQ5
198214.SF1723	Q83RA1
198214.SF3313	Q83PZ3
198214.SF1526	P59736
198214.SF3408	P0A6E0
198214.SF0324	Q83M66
198214.SF0326	P0AE29
198214.SF0109	P59737
198214.SF3535	P0AB95
198214.SF3536	P0AB97
198214.SF0815	P0AE33
198214.SF0818	P0AAF9
198214.SF0816	P0AE36
198214.SF3824	Q83PJ4
198214.SF3823	P0ACI9
198214.SF4293	P0AC40
198214.SF1618	Q83RD2
198214.SF3213	P59609
198214.SF1479	Q83L52
198214.SF1480	Q7UCI7
198214.SF1482	Q7UCI6
198214.SF0598	Q83S83
198214.SF0400	P0AFP3
198214.SF3818	Q83PJ8
198214.SF3814	P0ABB3
198214.SF3812	P0ABB7
198214.SF3815	Q83PJ9
198214.SF3811	P0A6E8
198214.SF3816	P0ABA3
198214.SF3813	P0ABA9
198214.SF3817	P68705
198214.SF3819	P0ABC2
198214.SF1803	Q83R81
198214.SF0167	P0A943
198214.SF2520	P0A904
198214.SF2676	P0A939
198214.SF2799	P59342
198214.SF3293	P0ABE1
198214.SF2523	P0AE55
198214.SF2538	P66949
198214.SF3737	Q83J01
198214.SF0724	Q83S46
198214.SF0726	Q83S45
198214.SF3435	Q83PW0
198214.SF0379	P0ABE4
198214.SF0786	P0AAY3
198214.SF4048	Q83IS4
198214.SF1520	Q7C1M5
198214.SF1522	Q7C1M3
198214.SF0150	Q83MD7
198214.SF1794	P0ABE6
198214.SF0036	P60587
198214.SF0035	P59394
198214.SF0034	Q83MG9
198214.SF0033	P59395
198214.SF0032	Q83SQ8
198214.SF0031	P0AE59
198214.SF0037	P59335
198214.SF0123	P61518
198214.SF4033	Q83IS7
198214.SF0030	P63738
198214.SF1004	Q7C254
198214.SF1003	P63266
198214.SF3773	Q83IZ5
198214.SF3744	Q83IZ9
198214.SF3097	Q821A6
198214.SF2285	Q83KD5
198214.SF2284	Q83QV3
198214.SF2283	P0ABM4
198214.SF2282	P0ABM8
198214.SF2281	P69493
198214.SF2278	P0ABN0
198214.SF2228	P0ABF7
198214.SF3996	Q83IU1
198214.SF0165	P0ABG3
198214.SF1497	P0AE62
198214.SF4296	P0A6G2
198214.SF4297	P0A6F8
198214.SF1220	P0AE66
198214.SF1495	P59746
198214.SF1932	Q83R52
198214.SF1936	P0A967
198214.SF1931	P0AE69
