214684.XP_568760.1	Q5KMX3
214684.XP_569305.1	P0CL86
214684.XP_568634.1	P0CL98
214684.XP_572610.1	P0CM08
214684.XP_566783.1	P0CS66
214684.XP_569292.1	P0CN88
214684.XP_569005.1	P0CM10
214684.XP_568021.1	P0CN92
214684.XP_571591.1	P0CL94
214684.XP_572032.1	P0CM16
214684.XP_570202.1	P0CM20
214684.XP_569127.1	P0CM22
214684.XP_567468.1	P0CM04
214684.XP_566497.1	P0CM26
214684.XP_569436.1	P0CO60
214684.XP_571138.1	P0CS28
214684.XP_568139.1	P0CP70
214684.XP_571713.1	P0CM32
214684.XP_570011.1	P0CN90
214684.XP_569079.1	P0CM30
214684.XP_567605.1	P0CM34
214684.XP_567826.1	P0CQ10
214684.XP_568726.1	P0CM36
214684.XP_572740.1	P0CM38
214684.XP_567139.1	P0CO54
214684.XP_570474.1	P0CM40
214684.XP_572661.1	P0CL92
214684.XP_571535.1	P0CP60
214684.XP_570907.1	P0CQ26
214684.XP_570209.1	P0CO44
214684.XP_572677.1	P0CL90
214684.XP_572872.1	P0CQ62
214684.XP_571916.1	P0CM44
214684.XP_571596.1	P0CM50
214684.XP_571477.1	P0CM42
214684.XP_566711.1	P0CM52
214684.XP_570333.1	P0CM54
214684.XP_568628.1	P0CM56
214684.XP_571012.1	P0CP56
214684.XP_570243.1	P0CP54
214684.XP_572083.1	P0CP22
214684.XP_570200.1	P0CP76
214684.XP_567833.1	P0CO94
214684.XP_571432.1	Q5KEQ1
214684.XP_566489.1	P0CO90
214684.XP_571490.1	P0CM62
214684.XP_569923.1	P0CM64
214684.XP_570746.1	P0CM66
214684.XP_567600.1	P0CM72
214684.XP_567404.1	P0CS30
214684.XP_566905.1	P0CO10
214684.XP_568792.1	P0CP18
214684.XP_571080.1	P0CM76
214684.XP_568254.1	P0CR86
214684.XP_572914.1	P0CS56
214684.XP_572158.1	Q6U1Z4
214684.XP_569980.1	P0CM06
214684.XP_572244.1	P0CM80
214684.XP_567895.1	P0CM82
214684.XP_567346.1	P0CM86
214684.XP_568601.1	P0CM70
214684.XP_570760.1	P0CP66
214684.XP_567317.1	P0CR48
214684.XP_567446.1	P0CQ24
214684.XP_571070.1	P0CS70
214684.XP_571932.1	P0CM94
214684.XP_571449.1	P0CM96
214684.XP_572920.1	P0CQ64
214684.XP_570297.1	P0CM98
214684.XP_568906.1	P0CN00
214684.XP_567445.1	P0CP92
214684.XP_572680.1	P0CR14
214684.XP_568018.1	Q5K8R6
214684.XP_570603.1	P0CN02
214684.XP_569071.1	P0CR06
214684.XP_571269.1	P0CQ76
214684.XP_571165.1	P0CQ78
214684.XP_567058.1	P0CQ82
214684.XP_572663.1	P0CQ86
214684.XP_567337.1	P0CQ94
214684.XP_566498.1	P0CR02
214684.XP_568502.1	P0CR10
214684.XP_570502.1	P0CN06
214684.XP_569336.1	P0CS14
214684.XP_567133.1	P0CQ74
214684.XP_570804.1	P0CR80
214684.XP_569901.1	P0CQ80
214684.XP_567656.1	P0CN08
214684.XP_568072.1	P0CN10
214684.XP_567697.1	P0CN14
214684.XP_571676.1	P0CN24
214684.XP_567056.1	P0CN18
214684.XP_568269.1	P0CN20
214684.XP_566721.1	P0CN22
214684.XP_567821.1	P0CN26
214684.XP_569590.1	P0CM12
214684.XP_570472.1	P0CQ92
214684.XP_572750.1	P0CN28
214684.XP_571489.1	P0CN12
214684.XP_567366.1	Q07801
214684.XP_569964.1	P0CO98
214684.XP_571521.1	P0CO86
214684.XP_568462.1	P0CN30
214684.XP_569488.1	P0CN32
214684.XP_571111.1	P0CN36
214684.XP_569654.1	P0CN38
214684.XP_570890.1	P0CN42
214684.XP_570498.1	P0CN44
214684.XP_570844.1	P0CN46
214684.XP_568814.1	P0CN48
214684.XP_568335.1	P0CN50
214684.XP_571416.1	P0CO84
214684.XP_567824.1	P0CN52
214684.XP_567255.1	P0CS32
214684.XP_570265.1	P0CN54
214684.XP_568056.1	P0CN56
214684.XP_566932.1	P0CM90
214684.XP_568648.1	P0CN58
214684.XP_568954.1	P0CS34
214684.XP_568893.1	P0CP02
214684.XP_569054.1	P0CL96
214684.XP_570494.1	P0CN60
214684.XP_572977.1	P0CN62
214684.XP_569893.1	P0CQ72
214684.XP_570406.1	P0CS60
214684.XP_570680.1	P0CN68
214684.XP_570752.1	P0CN70
214684.XP_570934.1	P0CP96
214684.XP_570231.1	P0CP98
214684.XP_569051.1	P0CP94
214684.XP_571627.1	P0CN74
214684.XP_568349.1	P0CN76
214684.XP_572900.1	P0CN78
214684.XP_571765.1	Q5KEG8
214684.XP_571358.1	P0CO78
214684.XP_567863.1	P0CM24
214684.XP_566719.1	P0CN82
214684.XP_566794.1	P0CN84
214684.XP_571496.1	P0CS02
214684.XP_571874.1	P0CS04
214684.XP_572793.1	P0CN96
214684.XP_570018.1	P0CP62
214684.XP_568958.1	P0CN94
214684.XP_570592.1	P0CM78
214684.XP_572632.1	P0CP64
214684.XP_567962.1	P0CO00
214684.XP_569065.1	P0CN98
214684.XP_569066.1	P0CO02
214684.XP_567545.1	P0CO04
214684.XP_569112.1	P0CQ84
214684.XP_566862.1	P0CO06
214684.XP_571944.1	P0CS36
214684.XP_572650.1	P0CS38
214684.XP_572341.1	P0CO22
214684.XP_569949.1	P0CP68
214684.XP_571251.1	P0CR78
214684.XP_572536.1	P0CP32
214684.XP_567112.1	P0CQ70
214684.XP_566644.1	Q5KPJ5
214684.XP_566768.1	Q5KP44
214684.XP_569408.1	P0CO32
214684.XP_570489.1	P0CO16
214684.XP_570137.1	P0CO34
214684.XP_570628.1	P0CO36
214684.XP_566718.1	Q5KPF3
214684.XP_569780.1	P0CO38
214684.XP_571775.1	P0CO40
214684.XP_566713.1	P0CS40
214684.XP_567926.1	P0CO42
214684.XP_566670.1	P0CQ14
214684.XP_569655.1	P0CO48
214684.XP_573016.1	P0CO50
214684.XP_569632.1	P0CO52
214684.XP_568970.1	P0CO56
214684.XP_567985.1	P0CO58
214684.XP_570473.1	P0CS42
214684.XP_570626.1	P0CQ16
214684.XP_568621.1	P0CR24
214684.XP_567622.1	P0CM02
214684.XP_572221.1	P0CQ90
214684.XP_567456.1	P0CO30
214684.XP_567455.1	P0CM58
214684.XP_569474.1	P0CO64
214684.XP_568737.1	P0CO66
214684.XP_567719.1	P0CO68
214684.XP_570942.1	P0CO70
214684.XP_567683.1	P0CS44
214684.XP_568738.1	P0CS74
214684.XP_571514.1	P0CO72
214684.XP_566662.1	P0CO74
214684.XP_568275.1	P0CO76
214684.XP_572607.1	P0CN04
214684.XP_571086.1	P0CM68
214684.XP_572756.1	P0CR34
214684.XP_572380.1	P0CO80
214684.XP_570314.1	P0CO82
214684.XP_569600.1	P0CO20
214684.XP_572705.1	Q9HFU4
214684.XP_569873.1	P0CR16
214684.XP_569367.1	P0CR12
214684.XP_569494.1	P0CO92
214684.XP_566626.1	Q5KPU2
214684.XP_572885.1	P0CN40
214684.XP_572402.1	P0CM14
214684.XP_572521.1	Q5KD76
214684.XP_571433.1	P0CR58
214684.XP_568003.1	P0CP00
214684.XP_566541.1	P0CP04
214684.XP_568154.1	P0CP06
214684.XP_572296.1	P0CP08
