83332.Rv0954	P9WIR9
83332.Rv2744c	P9WHP5
83332.Rv1106c	P9WQP7
83332.Rv1688	P9WJP7
83332.Rv3537	P71864
83332.Rv1445c	P9WQP5
83332.Rv3804c	P9WQP3
83332.Rv1886c	P9WQP1
83332.Rv0129c	P9WQN9
83332.Rv0262c	P9WQG9
83332.Rv0337c	P9WQ91
83332.Rv1747	O65934
83332.Rv0904c	P9WQH9
83332.Rv0972c	P9WQG3
83332.Rv3535c	P9WQH3
83332.Rv3274c	P9WQG1
83332.Rv1915	O07718
83332.Rv1916	O07717
83332.Rv0467	P9WKK7
83332.Rv2032	P9WIZ9
83332.Rv0409	P9WQH1
83332.Rv1475c	O53166
83332.Rv2244	P9WQF3
83332.Rv2523c	P9WQD3
83332.Rv2031c	P9WMK1
83332.Rv3667	P9WQD1
83332.Rv2611c	P9WMB5
83332.Rv2922A	P9WQC9
83332.Rv3313c	P63907
83332.Rv1862	P9WQC1
83332.Rv0761c	P9WQC7
83332.Rv3045	P9WQC5
83332.Rv3086	P9WQB9
83332.Rv1530	P9WQC3
83332.Rv2202c	P9WID5
83332.Rv3792	P9WN03
83332.Rv3805c	O53582
83332.Rv2673	P9WMZ7
83332.Rv0236c	P96419
83332.Rv2428	P9WQB7
83332.Rv2429	P9WQB5
83332.Rv3709c	P9WPX3
83332.Rv0458	P9WNY1
83332.Rv0363c	P9WQA3
83332.Rv1317c	P9WJW3
83332.Rv3423c	P9WQA9
83332.Rv2888c	P9WQ95
83332.Rv3375	P9WQ93
83332.Rv2363	P9WQ99
83332.Rv1263	P9WQ97
83332.Rv2213	P9WHT3
83332.Rv2920c	P9WQ65
83332.Rv2127	P9WQM9
83332.Rv0346c	P9WQM7
83332.Rv3170	P9WQ15
83332.Rv2613c	P9WMK9
83332.Rv1860	P9WIR7
83332.Rv0800	P9WHT1
83332.Rv2584c	P9WQ07
83332.Rv1001	P9WQ05
83332.Rv2630	P9WQ03
83332.Rv2115c	P9WQN5
83332.Rv0899	P9WIU5
83332.Rv0900	P9WJG7
83332.Rv0901	P9WJG5
83332.Rv2747	O33289
83332.Rv1654	P9WQ01
83332.Rv1652	P9WPZ9
83332.Rv1655	P9WPZ7
83332.Rv1653	P9WPZ3
83332.Rv1657	P9WPY9
83332.Rv1659	P9WPY7
83332.Rv3227	P9WPY5
83332.Rv2538c	P9WPX9
83332.Rv2540c	P9WPY1
83332.Rv2178c	O53512
83332.Rv2539c	P9WPY3
83332.Rv2537c	P9WPX7
83332.Rv2201	P9WN33
83332.Rv1538c	P9WPX5
83332.Rv1658	P9WPW7
83332.Rv1029	P9WKF3
83332.Rv1030	P9WPU3
83332.Rv1031	P9WKF1
83332.Rv1304	P9WPV7
83332.Rv1308	P9WPU7
83332.Rv1310	P9WPU5
83332.Rv1311	P9WPV1
83332.Rv1307	P9WPV3
83332.Rv1306	P9WPV5
83332.Rv1309	P9WPU9
83332.Rv1305	P9WPS1
83332.Rv3406	P9WKZ1
83332.Rv1819c	P9WQI9
83332.Rv2501c	P9WPQ3
83332.Rv1608c	P9WID9
83332.Rv2521	P9WIE1
83332.Rv3031	P9WQ27
83332.Rv3841	P9WNE5
83332.Rv1876	P9WPQ9
83332.Rv1568	P9WQ81
83332.Rv1589	P9WPQ7
83332.Rv1570	P9WPQ5
83332.Rv1569	P9WQ87
83332.Rv0032	P9WQ85
83332.Rv2497c	P9WIS3
83332.Rv2496c	P9WIS1
83332.Rv2495c	O06159
83332.Rv2068c	P9WKD3
83332.Rv1846c	P9WMJ5
83332.Rv0554	P9WNH1
83332.Rv3221c	P9WPQ1
83332.Rv0327c	P9WPN1
83332.Rv0568	P9WPM9
83332.Rv2641	P9WIR5
83332.Rv2224c	P9WHR3
83332.Rv2223c	P9WHR5
83332.Rv1383	P9WPK5
83332.Rv1384	P9WPK3
83332.Rv3583c	P9WJG3
83332.Rv2823c	P71629
83332.Rv2817c	P9WPJ5
83332.Rv2816c	P9WPJ3
83332.Rv2824c	P9WPJ1
83332.Rv2294	P9WQ83
83332.Rv0654	P9WPR5
83332.Rv3315c	P9WPH3
83332.Rv2289	P9WPG9
83332.Rv2881c	P9WPF7
83332.Rv2275	P9WPF9
83332.Rv0577	P9WIR3
83332.Rv3004	P9WIR1
83332.Rv3418c	P9WPE5
83332.Rv3417c	P9WPE9
83332.Rv0440	P9WPE7
83332.Rv0948c	P9WIC1
83332.Rv3409c	P9WMV9
83332.Rv3822	O07801
83332.Rv1184c	O50440
83332.Rv1901	P9WPE3
83332.Rv0896	P9WPD5
83332.Rv0889c	P9WPD3
83332.Rv2498c	P9WPE1
83332.Rv2745c	P9WMH7
83332.Rv0384c	P9WPD1
83332.Rv3596c	P9WPC9
83332.Rv2461c	P9WPC5
83332.Rv2460c	P9WPC3
83332.Rv1331	P9WPC1
83332.Rv2457c	P9WPB9
83332.Rv3392c	P9WPB7
83332.Rv0503c	P9WPB5
83332.Rv0470c	P9WPB3
83332.Rv1675c	P9WMH5
83332.Rv1994c	P9WMI9
83332.Rv1092c	P9WPA7
83332.Rv1391	P9WNZ1
83332.Rv2965c	P9WPA5
83332.Rv1631	P9WPA3
83332.Rv3600c	P9WPA1
83332.Rv2848c	P9WP97
83332.Rv2236c	P9WP93
83332.Rv2065	P9WP87
83332.Rv2066	P9WGB3
83332.Rv2070c	P9WP89
83332.Rv2072c	P9WGA9
83332.Rv2071c	P9WGB1
83332.Rv0255c	P9WP95
83332.Rv2208	P9WP91
83332.Rv2207	P9WP85
83332.Rv2983	P9WP83
83332.Rv3261	P9WP81
83332.Rv3043c	P9WP71
83332.Rv2200c	P9WP69
83332.Rv2193	P9WP67
83332.Rv2199c	P9WP45
83332.Rv1451	P9WFR7
83332.Rv2276	P9WPP7
83332.Rv0766c	P9WPP5
83332.Rv2266	P9WPP3
83332.Rv3545c	P9WPP1
83332.Rv0778	P9WPN9
83332.Rv2268c	P9WPN7
83332.Rv1256c	P9WPN5
83332.Rv1394c	P9WPN3
83332.Rv3059	P9WPM7
83332.Rv3685c	P9WPM5
83332.Rv0136	P9WPM3
83332.Rv1666c	P9WPM1
83332.Rv1880c	P9WPL9
83332.Rv3121	P9WPL7
83332.Rv3518c	P9WPL5
83332.Rv1785c	P9WPL3
83332.Rv1777	P9WPL1
83332.Rv0764c	P9WPP9
83332.Rv0805	P9WP65
83332.Rv0806c	P9WGD1
83332.Rv3069	P9WP63
83332.Rv3070	P9WP61
83332.Rv0011c	P9WP57
83332.Rv3676	P9WMH3
83332.Rv3397c	P9WHP3
83332.Rv1464	P9WQ69
83332.Rv2822c	P9WJG1
83332.Rv2821c	P9WJF9
83332.Rv2820c	P9WJF7
83332.Rv2819c	P9WJF5
83332.Rv2818c	P71635
83332.Rv0967	P9WP49
83332.Rv3648c	P9WP75
83332.Rv3063	P9WP47
83332.Rv0092	P9WPU1
83332.Rv0103c	P9WPT9
83332.Rv3270	P9WPT5
83332.Rv1469	P9WPT3
83332.Rv0908	P9WPT1
83332.Rv1997	P9WPS9
83332.Rv1992c	P9WPS7
83332.Rv0107c	P9WPS5
83332.Rv3743c	P9WPT7
83332.Rv0969	P9WPS3
83332.Rv1984c	P9WP43
83332.Rv2301	P9WP41
83332.Rv3451	P9WP39
83332.Rv0008c	P9WJF3
83332.Rv1625c	P9WQ35
83332.Rv2397c	P9WQM1
83332.Rv1285	P9WIK1
83332.Rv2335	P95231
83332.Rv2392	P9WIK3
83332.Rv2334	P9WP55
83332.Rv1336	P9WP53
83332.Rv1286	P9WNM5
83332.Rv1335	P9WP33
83332.Rv2131c	P9WKJ1
83332.Rv2252	P9WP29
83332.Rv1905c	P9WP27
83332.Rv2753c	P9WP25
83332.Rv2773c	P9WP23
83332.Rv0858c	P9WPZ5
83332.Rv1201c	P9WP21
83332.Rv1202	P9WHS9
83332.Rv2726c	P9WP19
83332.Rv2986c	P9WMK7
83332.Rv1293	P9WIU7
83332.Rv0321	P9WP17
83332.Rv2678c	P9WFE1
83332.Rv2981c	P9WP31
83332.Rv3547	P9WP15
83332.Rv1253	P9WH05
83332.Rv0429c	P9WIJ3
83332.Rv0478	P9WP03
83332.Rv1713	P9WNL3
83332.Rv0824c	P9WNZ7
83332.Rv1094	P9WNZ5
83332.Rv3229c	P9WNZ3
83332.Rv3230c	P9WNE9
83332.Rv3133c	P9WMF9
83332.Rv3132c	P9WGK3
83332.Rv2344c	P9WNY7
83332.Rv2579	P9WMR9
83332.Rv3708c	P9WNX5
83332.Rv2780	P9WQB1
83332.Rv2476c	O53203
83332.Rv2296	P9WMS3
83332.Rv1833c	P9WMS1
83332.Rv1294	P9WPX1
83332.Rv3608c	P9WND1
83332.Rv1207	P9WNC9
83332.Rv1329c	P9WMR5
83332.Rv2874	P9WG63
83332.Rv3586	P9WNW5
83332.Rv3377c	O50406
83332.Rv0462	P9WHH9
83332.Rv0001	P9WNW3
83332.Rv0058	P9WMR3
83332.Rv3370c	P9WNT5
83332.Rv2343c	P9WNW1
83332.Rv0352	P9WNV9
83332.Rv2373c	P9WNV7
83332.Rv0350	P9WMJ9
83332.Rv3062	P9WNV5
83332.Rv3014c	P9WNV1
83332.Rv0379	Q6MX43
83332.Rv2112c	P9WNU9
83332.Rv2027c	P9WGK1
83332.Rv2361c	P9WFF7
83332.Rv1629	P9WNU5
83332.Rv1547	P9WNT7
83332.Rv0002	P9WNU1
83332.Rv3721c	P9WNT9
83332.Rv1537	P9WNT3
83332.Rv3056	P9WNT1
83332.Rv3806c	P9WFR5
83332.Rv3790	P9WJF1
83332.Rv3791	P9WGS9
83332.Rv3807c	P9WI53
83332.Rv2936	P9WQL9
83332.Rv2937	P9WG23
83332.Rv2938	P9WG21
83332.Rv1897c	P9WNS9
83332.Rv0823c	P9WNS7
83332.Rv2697c	P9WNS5
83332.Rv2870c	P9WNS1
83332.Rv2682c	P9WNS3
83332.Rv2763c	P9WNX1
83332.Rv3870	P9WNB3
83332.Rv3871	P9WNB1
83332.Rv3868	P9WPH9
83332.Rv3884c	P9WPH7
83332.Rv0282	P9WPI3
83332.Rv1798	P9WPI1
83332.Rv3869	P9WNR7
83332.Rv3895c	P9WNR5
