9796.ENSECAP00000012310	O46516
9796.ENSECAP00000022930	Q0EAB6
9796.ENSECAP00000009723	P38029
9796.ENSECAP00000000135	P08906
9796.ENSECAP00000014550	P08907
9796.ENSECAP00000016124	P60708
9796.ENSECAP00000010250	P00818
9796.ENSECAP00000005015	O77721
9796.ENSECAP00000017080	P00327
9796.ENSECAP00000018487	Q1XAA8
9796.ENSECAP00000016342	Q6W8P9
9796.ENSECAP00000017558	P15437
9796.ENSECAP00000010100	P30353
9796.ENSECAP00000009171	P35747
9796.ENSECAP00000015826	P12762
9796.ENSECAP00000000397	Q95182
9796.ENSECAP00000012495	P27104
9796.ENSECAP00000013992	Q8HZM6
9796.ENSECAP00000020478	Q5NU32
9796.ENSECAP00000008027	P83704
9796.ENSECAP00000021228	P79165
9796.ENSECAP00000003317	Q95MP2
9796.ENSECAP00000009625	Q2QLA4
9796.ENSECAP00000022397	P18907
9796.ENSECAP00000023105	P48662
9796.ENSECAP00000023104	P48663
9796.ENSECAP00000000811	P30441
9796.ENSECAP00000022609	Q6SJP2
9796.ENSECAP00000013517	Q0EAB7
9796.ENSECAP00000010490	A0MLS5
9796.ENSECAP00000007854	P00917
9796.ENSECAP00000006508	P07450
9796.ENSECAP00000006841	Q9N0T3
9796.ENSECAP00000005990	Q9N0V5
9796.ENSECAP00000007906	Q9GKK3
9796.ENSECAP00000001235	P82187
9796.ENSECAP00000021890	Q9TV13
9796.ENSECAP00000007115	Q2QLB0
9796.ENSECAP00000001953	Q2QLB1
9796.ENSECAP00000019129	Q2QLA8
9796.ENSECAP00000022430	Q8MKD0
9796.ENSECAP00000013646	Q9XT26
9796.ENSECAP00000017053	P37998
9796.ENSECAP00000008636	Q05078
9796.ENSECAP00000008270	Q2QLA3
9796.ENSECAP00000000166	P81908
9796.ENSECAP00000016845	Q2TU62
9796.ENSECAP00000005450	Q29482
9796.ENSECAP00000016838	Q9XS63
9796.ENSECAP00000006188	P48770
9796.ENSECAP00000010040	P02704
9796.ENSECAP00000010040	P02705
9796.ENSECAP00000005379	Q5H879
9796.ENSECAP00000023107	P48659
9796.ENSECAP00000023106	P48660
9796.ENSECAP00000023112	P48661
9796.ENSECAP00000015487	O46515
9796.ENSECAP00000008577	Q95328
9796.ENSECAP00000018821	O46512
9796.ENSECAP00000015118	Q68Y62
9796.ENSECAP00000005000	O19010
9796.ENSECAP00000016847	P02478
9796.ENSECAP00000022668	Q2QLA2
9796.ENSECAP00000001510	Q6WGK6
9796.ENSECAP00000010532	Q8MIN2
9796.ENSECAP00000023113	P48665
9796.ENSECAP00000012031	P00004
9796.ENSECAP00000005162	Q0W9P9
9796.ENSECAP00000018779	Q7YS54
9796.ENSECAP00000020841	J7FCF0
9796.ENSECAP00000020841	F6W2R2
9796.ENSECAP00000006438	Q4AEE3
9796.ENSECAP00000017330	Q9XTA0
