7165.AGAP004810-PA	Q93118
7165.AGAP004662-PB	O76762
7165.AGAP001356-PA	Q869C3
7165.AGAP000651-PA	P84185
7165.AGAP001497-PA	Q7PKQ5
7165.AGAP006782-PA	Q27238
7165.AGAP002358-PA	Q7PQV7
7165.AGAP010478-PA	Q7PRH1
7165.AGAP006938-PA	Q7QIL2
7165.AGAP009538-PA	Q7QG73
7165.AGAP008842-PA	Q7PWV1
7165.AGAP001043-PA	Q7QHW5
7165.AGAP009154-PA	Q7PVX8
7165.AGAP005782-PA	Q5TRE7
7165.AGAP003015-PA	Q7PR38
7165.AGAP005828-PA	Q7PNM6
7165.AGAP006186-PC	Q7PPA5
7165.AGAP004871-PA	Q7PPU9
7165.AGAP007128-PA	Q7PTC5
7165.AGAP003923-PA	Q7Q2B7
7165.AGAP009593-PA	O02350
7165.AGAP011801-PA	Q7PZ96
7165.AGAP005037-PA	Q7PQ25
7165.AGAP004240-PA	Q7QB13
7165.AGAP002440-PA	Q17031
7165.AGAP000693-PA	P82290
7165.AGAP000694-PA	Q8MUF4
7165.AGAP000692-PA	Q8MUF3
7165.AGAP000444-PA	Q7PS24
7165.AGAP007701-PA	Q7QJW7
7165.AGAP011851-PA	Q7PZD5
7165.AGAP009291-PA	Q7PVF6
7165.AGAP005199-PA	Q7Q9J8
7165.AGAP003675-PA	A0NDK8
7165.AGAP001958-PA	Q7PYI7
7165.AGAP006244-PA	Q7Q5R7
7165.AGAP006709-PA	Q27289
7165.AGAP006711-PA	Q17025
7165.AGAP005220-PA	Q7Q9I4
7165.AGAP005651-PA	A0NEF7
7165.AGAP001666-PA	Q17015
7165.AGAP007023-PA	Q7QIQ6
7165.AGAP009594-PA	Q7PK92
7165.AGAP011690-PA	Q7PZ25
7165.AGAP007199-PA	Q5TWR9
7165.AGAP011294-PA	Q17027
7165.AGAP005532-PA	Q7Q732
7165.AGAP008883-PA	Q7PWQ6
7165.AGAP007974-PA	Q7PN68
7165.AGAP009737-PA	Q7Q1K8
7165.AGAP002340-PA	Q7PGE8
7165.AGAP012140-PA	Q7PZY1
7165.AGAP004725-PA	Q7PMU8
7165.AGAP002337-PA	Q7QBW3
7165.AGAP006944-PA	Q7QIL8
7165.AGAP002935-PA	Q7QD36
7165.AGAP007668-PA	Q7QJV0
7165.AGAP009204-PA	Q7PVR3
7165.AGAP006607-PA	Q7PP77
7165.AGAP006613-PB	Q7Q566
7165.AGAP011580-PA	Q7QGK4
7165.AGAP006130-PA	Q7Q5Y8
7165.AGAP012281-PA	Q7Q068
7165.AGAP011291-PA	Q7QHP6
7165.AGAP003331-PA	Q7Q9C0
7165.AGAP004696-PA	Q7PMT1
7165.AGAP002062-PA	Q7PYQ5
7165.AGAP012460-PA	Q7QGL9
7165.AGAP011448-PA	Q7Q323
7165.AGAP006187-PA	Q17040
7165.AGAP004057-PA	Q7QH64
7165.AGAP012208-PA	Q7Q021
7165.AGAP009949-PA	Q7Q161
7165.AGAP012095-PA	Q7PD79
7165.AGAP009305-PB	Q5TNH5
7165.AGAP009999-PA	Q7PMG3
7165.AGAP001915-PA	Q7PYF4
7165.AGAP004164-PC	O77473
7165.AGAP004165-PA	Q94999
7165.AGAP004163-PB	O76483
7165.AGAP012894-PA	Q27442
7165.AGAP008023-PA	O02491
7165.AGAP008854-PA	Q7PWT9
7165.AGAP006646-PA	Q7Q547
7165.AGAP006958-PA	Q7PT10
7165.AGAP002539-PB	Q7PRB8
7165.AGAP008374-PA	Q7Q4F5
7165.AGAP007722-PA	Q7QJX9
7165.AGAP010519-PC	Q7PHR1
7165.AGAP011587-PA	Q7QGL0
7165.AGAP005948-PA	Q7Q6A7
7165.AGAP005250-PA	Q7Q9F6
7165.AGAP004817-PA	Q7PMS9
7165.AGAP003678-PA	Q7QAJ2
7165.AGAP007347-PA	Q17005
7165.AGAP001034-PA	Q5TW90
7165.AGAP001033-PA	Q7QHX4
7165.AGAP010219-PA	Q7Q0Q1
7165.AGAP006248-PA	Q7Q5R5
7165.AGAP005700-PA	Q7Q6S8
7165.AGAP009886-PA	Q5TP13
7165.AGAP009141-PA	Q7PVZ2
7165.AGAP010936-PA	Q7QGX9
7165.AGAP005604-PA	Q7Q6Y4
7165.AGAP002247-PA	Q7PTL0
7165.AGAP004191-PA	Q7QB45
7165.AGAP005906-PA	Q7Q6D9
7165.AGAP002664-PA	Q7QCJ9
7165.AGAP001237-PA	Q7PUD7
7165.AGAP004063-PA	Q7QH62
7165.AGAP010034-PA	Q7Q107
7165.AGAP002823-PA	Q7PR68
7165.AGAP005909-PA	Q7Q6D6
7165.AGAP002499-PA	Q7QC84
7165.AGAP004290-PA	Q5TT27
7165.AGAP013168-PA	Q7QAD7
7165.AGAP000555-PA	Q7QFL7
7165.AGAP001737-PA	Q7PY41
7165.AGAP000562-PC	Q7PS12
7165.AGAP005129-PA	Q7Q9N9
7165.AGAP001589-PA	Q7PKS9
7165.AGAP000470-PA	Q7PS09
7165.AGAP001954-PA	Q7PYI4
7165.AGAP009023-PA	Q7PWB8
7165.AGAP001195-PA	Q7PX35
7165.AGAP002547-PA	Q7QCB6
7165.AGAP009925-PA	Q08AA9
7165.AGAP003324-PA	Q7Q0G5
7165.AGAP004642-PA	Q7Q7R8
7165.AGAP004865-PA	Q7Q968
7165.AGAP011997-PA	Q7PV10
7165.AGAP010873-PA	Q7QGS3
7165.AGAP007283-PA	A0NBD9
7165.AGAP012659-PA	Q5TXN1
7165.AGAP012658-PA	A0NAZ8
7165.AGAP013182-PA	F5HK49
7165.AGAP006368-PA	Q7Q5L4
7165.AGAP012867-PA	Q5TYJ0
7165.AGAP012714-PA	A7UR17
7165.AGAP002426-PA	Q7PRB5
7165.AGAP009640-PA	Q8WTE7
7165.AGAP009519-PA	Q8WTE6
7165.AGAP002560-PA	Q7QCC7
7165.AGAP002292-PA	Q7PTL2
7165.AGAP004506-PA	Q566B3
7165.AGAP011756-PA	Q7PZ66
7165.AGAP006795-PA	O76217
7165.AGAP004038-PA	Q7QH73
7165.AGAP007112-PA	Q7QIX1
7165.AGAP007962-PA	Q7Q3N5
7165.AGAP007648-PA	Q7QJT4
7165.AGAP009082-PA	O61470
7165.AGAP005542-PA	Q7Q727
7165.AGAP004919-PA	P52818
7165.AGAP001459-PA	A0NGY0
7165.AGAP007580-PA	Q7QJM5
7165.AGAP010163-PA	Q7Q0U1
7165.AGAP005960-PA	O76732
7165.AGAP005802-PA	Q9U9L2
7165.AGAP010338-PA	Q5TUE9
7165.AGAP001937-PA	Q7PYH1
7165.AGAP009209-PA	Q7PVQ9
7165.AGAP009998-PA	P52812
7165.AGAP005947-PA	P52811
7165.AGAP000655-PA	Q7QEH1
7165.AGAP002346-PA	Q7QBX2
7165.AGAP004887-PA	Q9U9L1
7165.AGAP012100-PA	Q9GT45
7165.AGAP003532-PA	P52813
7165.AGAP010592-PA	P33514
7165.AGAP011777-PA	Q7PZ81
7165.AGAP008147-PA	Q7Q412
7165.AGAP000634-PA	Q7QEI1
7165.AGAP001584-PA	Q7PXU6
7165.AGAP004267-PA	A0NDG6
7165.AGAP006509-PA	Q7Q5D4
7165.AGAP000719-PA	O76757
7165.AGAP001654-PA	Q7PXY4
7165.AGAP001393-PA	Q7PXG4
7165.AGAP001487-PA	Q7PXN1
7165.AGAP002259-PA	Q5TXB2
7165.AGAP003534-PA	Q7PH91
7165.AGAP002451-PA	Q7QC49
7165.AGAP006416-PA	Q17004
7165.AGAP002334-PA	Q7QBW0
7165.AGAP002829-PA	Q7QCW2
7165.AGAP010382-PA	Q5TUF1
7165.AGAP010423-PA	Q7QDU4
7165.AGAP006459-PA	P42678
7165.AGAP002721-PA	O77457
7165.AGAP002667-PA	Q7QCK2
7165.AGAP012180-PA	A0NGI1
7165.AGAP008008-PA	Q7PNC0
7165.AGAP005563-PA	Q7PIR5
7165.AGAP006124-PA	Q7Q5Z3
7165.AGAP004752-PA	Q7Q2P7
7165.AGAP008296-PA	P35035
7165.AGAP008295-PA	P35036
7165.AGAP008294-PA	P35037
7165.AGAP008292-PA	P35038
7165.AGAP008291-PA	P35039
7165.AGAP008290-PA	P35040
7165.AGAP008293-PA	P35041
7165.AGAP002877-PA	Q7PRA4
7165.AGAP011959-PA	Q7PZK5
7165.AGAP003716-PA	Q7QG28
