226186.BT_3693	Q8A1G8
226186.BT_3359	Q8A2E6
226186.BT_1313	Q8A861
226186.BT_1871	Q8A6L0
226186.BT_0238	Q02550
226186.BT_3717	Q8A1E9
226186.BT_3267	Q8A2N8
226186.BT_0351	Q8AAW1
226186.BT_3395	Q8A2B0
226186.BT_3759	Q8A1A7
226186.BT_3762	Q8A1A4
226186.BT_3733	Q8A1D3
226186.BT_2084	Q8A602
226186.BT_3393	Q8A2B2
226186.BT_2129	Q8A5V7
226186.BT_2425	Q8A519
226186.BT_2423	Q8A521
226186.BT_0718	Q8A9U7
226186.BT_0711	Q8A9V4
226186.BT_0717	Q8A9U8
226186.BT_0716	Q8A9U9
226186.BT_0719	Q8A9U6
226186.BT_0715	Q8A9V0
226186.BT_1442	Q8A7T2
226186.BT_1445	Q8A7S9
226186.BT_1033	Q8A8Y4
226186.BT_2552	Q8A4P5
226186.BT_3324	C5G6D7
226186.BT_3324	Q8A2I1
226186.BT_1830	Q8A6P7
226186.BT_1829	Q8A6P8
226186.BT_4597	Q89YY3
226186.BT_3842	Q8A129
226186.BT_3843	Q8A128
226186.BT_3034	Q8A3C0
226186.BT_4594	Q89YY6
226186.BT_4366	Q89ZL1
226186.BT_4574	Q89Z03
226186.BT_4416	Q89ZG1
226186.BT_0413	Q8AAQ1
226186.BT_0414	Q8AAQ0
226186.BT_0415	Q8AAP9
226186.BT_0547	Q8AAB8
226186.BT_0548	Q8AAB7
226186.BT_1374	Q8A800
226186.BT_3713	Q8A1F3
226186.BT_0420	Q8AAP4
226186.BT_4425	Q89ZF2
226186.BT_3836	Q8A135
226186.BT_1970	P94598
226186.BT_2143	Q8A5U5
226186.BT_1244	Q8A8C3
226186.BT_4615	Q89YW6
226186.BT_0894	Q8A9C1
226186.BT_3265	Q8A2P0
226186.BT_3461	Q8A245
226186.BT_2002	Q8A684
226186.BT_4099	Q8A0C2
226186.BT_2729	Q8A474
226186.BT_3709	Q8A1F7
226186.BT_3878	Q8A0Z3
226186.BT_2740	Q8A463
226186.BT_4651	Q89YT0
226186.BT_1083	Q8A8T4
226186.BT_4572	Q89Z05
226186.BT_1228	Q8A8D9
226186.BT_0122	Q8ABI8
226186.BT_3834	Q8A137
226186.BT_3945	Q8A0S6
226186.BT_1607	Q8A7B8
226186.BT_0737	Q8A9S8
226186.BT_1273	Q9RQ13
226186.BT_4243	Q89ZX8
226186.BT_4252	Q89ZW9
226186.BT_2124	Q8A5W2
226186.BT_3931	Q8A0U0
226186.BT_2519	Q8A4S8
226186.BT_1147	Q8A8M0
226186.BT_4584	Q89YZ6
226186.BT_3595	Q8A1R4
226186.BT_3160	Q8A2Z5
226186.BT_4251	Q89ZX0
226186.BT_0554	Q8AAB1
226186.BT_2571	Q8A4M8
226186.BT_0738	Q8A9S7
226186.BT_0477	Q8AAI7
226186.BT_1105	Q8A8R2
226186.BT_1660	Q8A765
226186.BT_3419	Q8A287
226186.BT_1243	Q8A8C4
226186.BT_4265	Q89ZV6
226186.BT_2419	Q8A525
226186.BT_0687	Q8A9X8
226186.BT_4662	Q89YR9
226186.BT_0200	Q8ABB0
226186.BT_1377	Q8A7Z7
226186.BT_1379	Q8A7Z5
226186.BT_1380	Q8A7Z4
226186.BT_1378	Q8A7Z6
226186.BT_0203	Q8ABA7
226186.BT_0202	Q8ABA8
226186.BT_0201	Q8ABA9
226186.BT_3411	Q8A294
226186.BT_0897	Q8A9B8
226186.BT_2692	Q8A4B1
226186.BT_2705	Q8A498
226186.BT_3404	Q8A2A1
226186.BT_0423	Q8AAP1
226186.BT_2078	Q8A608
226186.BT_3923	Q8A0U8
226186.BT_0624	Q8AA41
226186.BT_3884	Q8A0Y7
226186.BT_2517	Q8A4T0
226186.BT_2061	Q8A625
226186.BT_3726	Q8A1E0
226186.BT_4387	Q89ZJ0
226186.BT_2060	Q8A626
226186.BT_0745	Q8A9S0
226186.BT_3231	Q8A2S4
226186.BT_4106	Q8A0B5
226186.BT_2009	Q8A677
226186.BT_2275	Q8A5G4
226186.BT_0632	Q8AA33
226186.BT_1857	Q8A6M0
226186.BT_1860	Q8A6L7
226186.BT_3118	Q8A337
226186.BT_4192	Q8A029
226186.BT_1089	Q8A8S8
226186.BT_3640	Q8A1M1
226186.BT_4207	Q8A014
226186.BT_1854	Q8A6M3
226186.BT_1880	Q8A6K1
226186.BT_4206	Q8A015
226186.BT_3911	Q8A0W0
226186.BT_4701	Q89YN0
226186.BT_4216	Q8A005
226186.BT_2413	Q8A531
226186.BT_3219	Q8A2T6
226186.BT_4203	Q8A018
226186.BT_4323	Q89ZQ3
226186.BT_3195	Q8A2W0
226186.BT_0155	Q8ABF5
226186.BT_3354	Q8A2F1
226186.BT_3888	Q8A0Y3
226186.BT_4551	Q89Z26
226186.BT_3268	Q8A2N7
226186.BT_4561	Q89Z16
226186.BT_3451	Q8A255
226186.BT_3456	Q8A250
226186.BT_4264	Q89ZV7
226186.BT_1195	Q8A8H2
226186.BT_2005	Q8A681
226186.BT_1368	Q8A806
226186.BT_3450	Q8A256
226186.BT_3452	Q8A254
226186.BT_3448	Q8A258
226186.BT_0133	Q8ABH7
226186.BT_3851	Q8A120
226186.BT_3121	Q8A334
226186.BT_2011	Q8A675
226186.BT_3917	Q8A0V4
226186.BT_4127	Q8A094
226186.BT_0634	Q8AA31
226186.BT_2975	Q8A3H9
226186.BT_1417	Q8A7V7
226186.BT_3128	Q8A327
226186.BT_4067	Q8A0F4
226186.BT_4066	Q8A0F5
226186.BT_4065	Q8A0F6
226186.BT_4064	Q8A0F7
226186.BT_4388	Q89ZI9
226186.BT_4395	Q89ZI2
226186.BT_0698	Q8A9W7
226186.BT_4308	Q89ZR8
226186.BT_4309	Q89ZR7
226186.BT_2790	Q8A414
226186.BT_4374	Q89ZK3
226186.BT_3361	Q8A2E4
226186.BT_1577	Q8A7E7
226186.BT_3918	Q8A0V3
226186.BT_4583	Q89YZ7
226186.BT_1102	Q8A8R5
226186.BT_2062	Q8A624
226186.BT_3356	Q8A2E9
226186.BT_1672	Q8A753
226186.BT_2563	Q8A4N6
226186.BT_1291	Q8A883
226186.BT_0314	Q8AAZ8
226186.BT_3729	Q8A1D7
226186.BT_3718	Q8A1E8
226186.BT_3719	Q8A1E7
226186.BT_2231	Q8A5K8
226186.BT_1321	Q8A853
226186.BT_4588	Q89YZ2
226186.BT_4217	Q8A004
226186.BT_3812	Q8A155
226186.BT_1843	Q8A6N4
226186.BT_0704	Q8A9W1
226186.BT_0742	Q8A9S3
226186.BT_0892	Q8A9C3
226186.BT_3731	Q8A1D5
226186.BT_4209	Q8A012
226186.BT_0590	Q8AA75
226186.BT_2242	Q8A5J7
226186.BT_0741	Q8A9S4
226186.BT_1566	Q8A7F8
226186.BT_4454	Q89ZC3
226186.BT_1564	Q8A7G0
226186.BT_4610	Q45791
226186.BT_4255	Q89ZW6
226186.BT_3431	Q8A275
226186.BT_1081	Q8A8T6
226186.BT_3882	Q8A0Y9
226186.BT_4210	Q8A011
226186.BT_3764	Q8A1A2
226186.BT_3763	Q8A1A3
226186.BT_3766	Q8A1A0
226186.BT_4177	Q8A044
