267671.LIC10846	Q72U18
267671.LIC20065	Q75FW6
267671.LIC13404	Q72LY9
267671.LIC13178	Q72ML5
267671.LIC20241	Q75FF2
267671.LIC10733	Q72UC6
267671.LIC20142	Q75FP0
267671.LIC20090	Q75FU1
267671.LIC11746	Q72RJ9
267671.LIC11767	Q72RH8
267671.LIC13271	P62062
267671.LIC11840	Q72RA8
267671.LIC12449	Q72PM1
267671.LIC20068	Q75FW3
267671.LIC10140	Q72W01
267671.LIC12949	Q72N87
267671.LIC13324	P61524
267671.LIC11930	Q72R21
267671.LIC10990	Q72TM7
267671.LIC10991	Q72TM6
267671.LIC10992	Q72TM5
267671.LIC11241	Q72SY1
267671.LIC11243	Q72SX9
267671.LIC11240	Q72SY2
267671.LIC11244	Q72SX8
267671.LIC11239	Q72SY3
267671.LIC11242	Q72SY0
267671.LIC11777	Q72RG8
267671.LIC11779	Q72RG6
267671.LIC12466	Q72PK5
267671.LIC12883	Q72NF1
267671.LIC20124	Q75FQ8
267671.LIC20132	P61986
267671.LIC11336	P61436
267671.LIC11335	P61438
267671.LIC12455	P62641
267671.LIC12061	P62642
267671.LIC11520	P62643
267671.LIC11521	Q72S65
267671.LIC20101	Q75FT0
267671.LIC12101	Q72QL2
267671.LIC12017	Q72QU2
267671.LIC11417	Q72SG6
267671.LIC11951	Q72R01
267671.LIC11815	Q72RD1
267671.LIC11418	Q72SG5
267671.LIC13325	Q72M66
267671.LIC13085	Q72MV4
267671.LIC12792	Q72NP0
267671.LIC20120	Q75FR2
267671.LIC13357	Q72M34
267671.LIC13356	Q72M35
267671.LIC10204	Q72VU2
267671.LIC10466	Q72V37
267671.LIC13448	Q72MJ6
267671.LIC12526	Q72PE5
267671.LIC12841	Q72NJ3
267671.LIC10842	Q72U22
267671.LIC10843	Q72U21
267671.LIC10074	Q72W63
267671.LIC10065	Q72W72
267671.LIC11855	Q72R93
267671.LIC11511	Q72S74
267671.LIC12417	Q72PQ1
267671.LIC11663	Q72RS7
267671.LIC20266	Q75FC8
267671.LIC10001	Q72WD6
267671.LIC10523	P61440
267671.LIC10524	P61442
267671.LIC13282	Q72MA6
267671.LIC13052	Q72MY7
267671.LIC12560	P61909
267671.LIC10856	Q72U08
267671.LIC10863	Q72U01
267671.LIC10272	Q72VM5
267671.LIC10851	Q72U13
267671.LIC12875	Q72NF9
267671.LIC10130	Q72W11
267671.LIC11954	Q72QZ8
267671.LIC11591	Q72RZ7
267671.LIC11590	Q72RZ8
267671.LIC11707	Q72RN8
267671.LIC11402	Q72SI0
267671.LIC11889	Q72R59
267671.LIC11327	Q72SP8
267671.LIC10297	Q72VK0
267671.LIC13449	Q72MJ5
267671.LIC11552	Q72S34
267671.LIC12026	Q72QT3
267671.LIC11061	Q72TG0
267671.LIC10162	Q72VY3
267671.LIC13105	Q72MT7
267671.LIC11461	Q72SC3
267671.LIC10221	Q72VS5
267671.LIC11460	Q72SC4
267671.LIC13405	Q72LY8
267671.LIC10310	Q72VI7
267671.LIC10309	Q72VI8
267671.LIC10311	Q72VI6
267671.LIC10445	Q72V57
267671.LIC12335	Q72PY2
267671.LIC11825	Q72RC1
267671.LIC13145	P61742
267671.LIC10383	Q72VB8
267671.LIC10525	P61444
267671.LIC20011	Q75G04
267671.LIC11812	Q72RD4
267671.LIC11831	Q72RB7
267671.LIC12245	Q72Q67
267671.LIC12445	P62382
267671.LIC20062	P62347
267671.LIC13016	P62392
267671.LIC10114	P62354
267671.LIC10113	P61780
267671.LIC11462	P62451
267671.LIC10112	P61660
267671.LIC12508	Q72PG3
267671.LIC11453	P62458
267671.LIC12564	P62359
267671.LIC12285	Q72Q29
267671.LIC11546	Q72S40
267671.LIC10526	P61446
267671.LIC11601	Q72RY7
267671.LIC11600	Q72RY8
267671.LIC12211	Q72QA1
267671.LIC20141	Q75FP1
267671.LIC12851	P61690
267671.LIC12705	Q72NX3
267671.LIC12463	Q72PK8
267671.LIC13393	Q72M00
267671.LIC11101	Q72TC0
267671.LIC13223	Q72MG4
267671.LIC12617	Q72P59
267671.LIC10426	Q72V75
267671.LIC10610	Q72UP7
267671.LIC10955	Q72TR2
267671.LIC11529	Q72S57
267671.LIC10854	Q72U10
267671.LIC12852	Q72NI2
267671.LIC11541	P61656
267671.LIC10625	Q72UN2
267671.LIC10429	Q72V73
267671.LIC12814	Q72NL9
267671.LIC12010	Q72QU8
267671.LIC11726	Q72RL9
267671.LIC11768	Q72RH7
267671.LIC11822	Q72RC4
267671.LIC11821	Q72RC5
267671.LIC12305	P61611
267671.LIC10096	Q72W44
267671.LIC11063	Q72TF8
267671.LIC11646	Q72RU2
267671.LIC12072	Q72QP1
267671.LIC12556	Q72PB6
267671.LIC13250	Q72MD8
267671.LIC12428	Q72PP0
267671.LIC10608	Q72UP9
267671.LIC11633	Q72RV5
267671.LIC12389	Q72PS8
267671.LIC11781	P61975
267671.LIC20171	Q75FL1
267671.LIC11354	Q72SM5
267671.LIC11853	Q72R95
267671.LIC12733	Q72NU6
267671.LIC12246	Q72Q66
267671.LIC12570	Q72PA4
267671.LIC12269	Q72Q44
267671.LIC10648	Q72UK9
267671.LIC10159	Q72VY6
267671.LIC13495	Q72LR0
267671.LIC11866	Q72R82
267671.LIC12800	Q72NN2
267671.LIC13399	Q72LZ4
267671.LIC11175	Q72T46
267671.LIC20226	Q75FG3
267671.LIC12718	Q72NW0
267671.LIC20227	Q75FG2
267671.LIC13138	Q72MQ5
267671.LIC12788	Q72NP4
267671.LIC11867	Q72R81
267671.LIC11864	Q72R84
267671.LIC11039	Q72TI2
267671.LIC12514	Q72PF7
267671.LIC11774	P61669
267671.LIC12964	Q72N73
267671.LIC12770	Q72NR0
267671.LIC13326	Q72M65
267671.LIC11684	Q72RR0
267671.LIC11587	Q72S00
267671.LIC10549	Q72UV8
267671.LIC12742	Q72NT7
267671.LIC12744	Q72NT5
267671.LIC12747	Q72NT2
267671.LIC10142	Q72VZ9
267671.LIC12749	Q72NT0
267671.LIC10404	Q72V97
267671.LIC12773	Q72NQ7
267671.LIC12474	Q72PJ7
267671.LIC11195	Q72T26
267671.LIC13163	Q72MN0
267671.LIC11454	Q72SD0
267671.LIC12074	Q72QN9
267671.LIC10216	Q72VT0
267671.LIC12520	Q72PF1
267671.LIC12091	P62414
267671.LIC12632	Q72P44
267671.LIC12443	Q72PM6
267671.LIC12416	Q72PQ2
267671.LIC12701	Q72NX7
267671.LIC12347	Q72PX0
267671.LIC12771	Q72NQ9
267671.LIC12772	Q72NQ8
267671.LIC11598	Q72RZ0
267671.LIC10472	Q72V31
267671.LIC11123	Q72T98
267671.LIC10679	Q72UH8
267671.LIC11655	Q72RT5
267671.LIC12565	Q72PA7
267671.LIC12402	Q72PR5
267671.LIC10681	Q72UH6
267671.LIC13413	Q72LY0
267671.LIC12839	Q72NJ5
267671.LIC11540	Q72S46
267671.LIC10852	Q72U12
267671.LIC10288	Q72VK9
267671.LIC11832	Q72RB6
267671.LIC12704	Q72NX4
267671.LIC11745	P62217
267671.LIC10003	Q72WD4
267671.LIC13476	Q72LS5
267671.LIC10102	Q72W38
267671.LIC10470	Q72V33
267671.LIC11557	Q72S29
267671.LIC12543	Q72PC8
267671.LIC12707	Q72NX1
267671.LIC10403	P61724
267671.LIC10751	Q72UB0
267671.LIC10749	P62436
267671.LIC12863	Q72NH1
267671.LIC12854	Q72NI0
267671.LIC12866	Q72NG8
267671.LIC12845	Q72NI9
267671.LIC12857	Q72NH7
267671.LIC11559	Q72S27
267671.LIC10750	Q72UB1
267671.LIC12461	Q72PL0
267671.LIC12776	Q72NQ4
267671.LIC12868	Q72NG6
267671.LIC12871	Q72NG3
267671.LIC12862	Q72NH2
267671.LIC10430	Q72V72
267671.LIC12774	Q72NQ6
267671.LIC11760	Q72RI5
267671.LIC12865	Q72NG9
267671.LIC12870	Q72NG4
267671.LIC12855	Q72NH9
267671.LIC12637	Q72P39
267671.LIC12444	Q72PM5
267671.LIC10154	Q72VZ0
267671.LIC12462	Q72PK9
267671.LIC12850	Q72NI4
267671.LIC12873	Q72NG1
267671.LIC12872	Q72NG2
267671.LIC12861	Q72NH3
267671.LIC12858	Q72NH6
267671.LIC10752	Q72UA9
267671.LIC12110	Q72QK3
267671.LIC12785	Q72NP7
267671.LIC20066	Q75FW5
267671.LIC12846	Q72NI8
267671.LIC10753	Q72UA8
267671.LIC10754	Q72UA7
267671.LIC11701	P61540
267671.LIC10853	Q72U11
267671.LIC12874	Q72NG0
267671.LIC12848	Q72NI6
267671.LIC10755	Q72UA6
267671.LIC12849	Q72NI5
267671.LIC12860	Q72NH4
267671.LIC12702	Q72NX6
267671.LIC11555	P62232
267671.LIC12864	Q72NH0
267671.LIC12111	Q72QK2
267671.LIC12869	Q72NG5
267671.LIC10448	Q72V55
267671.LIC11704	Q72RP1
267671.LIC10850	Q72U14
267671.LIC12867	Q72NG7
267671.LIC12847	Q72NI7
267671.LIC12856	Q72NH8
267671.LIC12113	Q72QK0
267671.LIC10756	Q72UA5
267671.LIC12859	Q72NH5
267671.LIC10762	Q72U99
267671.LIC13193	Q72MK0
267671.LIC13490	Q72LR3
267671.LIC11869	P62472
267671.LIC11148	Q72T73
267671.LIC12811	P61534
267671.LIC20083	Q75FU8
267671.LIC12453	Q72PL7
267671.LIC11944	Q72R08
267671.LIC10315	Q72VI2
267671.LIC10437	Q72V65
267671.LIC20239	Q75FF4
267671.LIC10564	Q72UU3
