39947.LOC_Os08g37490.1	Q84J55
39947.LOC_Os04g38870.1	Q7XTE8
39947.LOC_Os08g33370.1	Q6ZKC0
39947.LOC_Os11g34450.1	Q2R2W2
39947.LOC_Os02g36974.1	Q6EUP4
39947.LOC_Os03g50290.1	Q06967
39947.LOC_Os01g11110.1	Q5QNB8
39947.LOC_Os11g39540.1	Q2R1D5
39947.LOC_Os03g51740.1	Q10DK7
39947.LOC_Os06g36770.1	Q5Z8Z7
39947.LOC_Os02g13110.1	Q0E2P1
39947.LOC_Os08g14760.1	P17814
39947.LOC_Os02g46970.1	Q42982
39947.LOC_Os02g08100.1	Q6ETN3
39947.LOC_Os06g44620.1	Q67W82
39947.LOC_Os08g34790.1	Q6ZAC1
39947.LOC_Os03g05780.1	Q0DV32
39947.LOC_Os10g42800.1	Q336M7
39947.LOC_Os08g04770.1	Q6YYZ2
39947.LOC_Os03g04000.1	Q10S72
39947.LOC_Os01g67540.1	Q8RU95
39947.LOC_Os07g17970.1	Q69RG7
39947.LOC_Os07g44560.1	Q8GVF9
39947.LOC_Os04g24530.1	Q7XXL2
39947.LOC_Os06g02144.1	Q9LI00
39947.LOC_Os11g29400.1	Q2R480
39947.LOC_Os03g30300.1	Q75IV7
39947.LOC_Os07g41280.1	Q6Z4H0
39947.LOC_Os08g43370.1	Q6Z9C3
39947.LOC_Os09g35970.1	Q69NG5
39947.LOC_Os06g45480.1	Q655X8
39947.LOC_Os01g55540.1	P37833
39947.LOC_Os03g04920.1	Q10RX7
39947.LOC_Os03g54790.1	Q9FNU2
39947.LOC_Os03g17350.1	Q8H8V7
39947.LOC_Os02g47470.1	Q05JG2
39947.LOC_Os08g36860.1	Q6ZDE3
39947.LOC_Os09g28390.1	Q0J185
39947.LOC_Os05g28350.1	C7J2Z1
39947.LOC_Os01g43420.1	Q9AXA6
39947.LOC_Os01g37110.1	Q5JKN2
39947.LOC_Os01g13530.1	Q5NB83
39947.LOC_Os05g50800.1	Q6I588
39947.LOC_Os01g55560.1	Q5JMF2
39947.LOC_Os12g39660.1	Q2QMX9
39947.LOC_Os03g42020.1	Q6ATV4
39947.LOC_Os01g71240.1	Q8RUN1
39947.LOC_Os12g04220.1	Q2QY12
39947.LOC_Os11g04460.1	Q2RAS0
39947.LOC_Os11g18194.1	Q2R712
