4896.SPMTR.04.1	C7U331
4896.SPMTR.03.1	C7U330
4896.SPMTR.01.1	P10841
4896.SPMTR.02.1	P10842
4896.SPAC19G12.17.1	K7PD52
4896.SPAC694.03.1	S6B6T0
4896.SPAC1F7.02c.1	S6CCW7
4896.SPAC1F7.03.1	S6BDH3
4896.SPAC694.05c.1	S6CCW0
4896.SPAC694.04c.1	S6BME0
4896.SPAC694.06c.1	S6B6U0
4896.SPBC56F2.08c.1	A0A0A7E9K2
4896.SPCC1259.02c.1	H6WS79
4896.SPAC637.07.1	Q564N4
4896.SPAC1142.03c.1	H2FH12
4896.SPAPYUG7.02c.1	Q8X1T1
4896.SPAC22E12.16c.1	C5IGP7
4896.SPMIT.11.1	Q06Y82
4896.SPCC417.02.1	M1QBN5
4896.SPAC11E3.15.1	A4CYJ4
4896.SPBC839.15c.1	A9QAE1
4896.SPAC13A11.05.1	A0A075WJH4
4896.SPAC683.02c.1	S6BDF9
4896.SPBC3D6.13c.1	D0EJL8
4896.SPAC1F7.01c.1	S6BMF4
4896.SPBC839.15c.1	A9QGZ7
4896.SPAC1F7.05.1	S6BSK3
4896.SPCC18B5.11c.1	Q683Z9
4896.SPAC2F7.16c.1	E0WDE3
4896.SPCC1020.06c.1	P78865
4896.SPAPYUG7.06.1	L7SU69
4896.SPBC1773.02c.1	A9QUS1
4896.SPBC337.08c.1	O74819
4896.SPAC31G5.10.1	Q1L858
4896.SPAC1F7.04.1	S6BDG7
4896.SPAC1486.01.1	D7UTC9
4896.SPAC22E12.16c.1	C5IGP5
4896.SPBC9B6.02c.1	Q9UTF1
4896.SPAC1F7.14c.1	S6CCW2
4896.SPBC119.11c.1	Q152U6
4896.SPAC22E12.16c.1	C5IGP8
4896.SPMIT.05.1	Q35901
4896.SPAC1D4.09c.1	C1M2W1
4896.SPAC1142.03c.1	H2FH13
4896.SPAC1F3.09.1	P78893
4896.SPAC1F7.06.1	S6B6T7
4896.SPCC576.09.1	O14376
4896.SPAC664.07c.1	A6YRR9
4896.SPAC22E12.16c.1	C5IGP6
4896.SPAC1F7.01c.1	S6BSK0
4896.SPBC216.04c.1	J9USB3
4896.SPBC839.15c.1	A8DNH7
4896.SPBC28F2.12.1	G9JY47
4896.SPBC29B5.03c.1	U3PYE6
4896.SPMIT.11.1	Q7YFV0
4896.SPAC1F7.07c.1	S6BME7
4896.SPAC694.02.1	S6BSJ4
4896.SPCC74.03c.1	Q6LEP6
