260799.BAS2336	Q6HYJ1
260799.BAS4188	I3NPA1
260799.BAS0154	A0A0B5U704
260799.BAS2987	A0A0C4Z1S5
260799.BAS4319	A0A0B5YEB8
260799.BAS1553	A0A0C4Z782
260799.BAS4600	A0A0B5YCG2
260799.BAS5206	A0A0C4Z8M4
260799.BAS5207	A0A0C4ZCZ1
260799.BAS4044	A0A0B5USN3
260799.BAS4335	A0A0B5NID1
260799.BAS0678	A0A0C4YWQ8
260799.BAS2945	A0A0B5T0I6
260799.BAS1032	A0A0C4YXJ1
260799.BAS0444	A0A0C4YZS3
260799.BAS0225	A0A0C4YVK0
260799.BAS5232	A0A0C4ZD11
260799.BAS0216	A0A0C4YZ95
260799.BAS4048	A0A0C4Z5C5
260799.BAS1694	A0A0B6BYS2
260799.BAS3260	A0A0B5PIH1
260799.BAS3462	A0A0C4Z695
260799.BAS2741	A0A0B5XYX0
260799.BAS2118	A0A0B6C0Y2
260799.BAS3042	A0A0B5UTX6
260799.BAS2869	A0A0B5Y8S7
260799.BAS1674	A0A0C4Z2Z1
260799.BAS0202	A0A0C4YXN5
260799.BAS3477	A0A0C4Z6A0
260799.BAS4728	A0A0C4ZF26
260799.BAS5205	A0A0C4Z126
260799.BAS0344	A0A0C4YXZ1
260799.BAS4127	A0A0B6C179
260799.BAS4120	A0A0C4ZDP9
260799.BAS4188	Q44702
260799.BAS2512	A0A0B5XXN2
260799.BAS0478	A0A0C4YYB4
260799.BAS1960	A0A0B5N671
260799.BAS0352	A0A0B5TEV4
260799.BAS1715	A0A0B5Y9F2
260799.BAS3386	A0A0B5NC21
260799.BAS3639	A0A0B5THN9
260799.BAS1751	A0A0B5PCB8
260799.BAS2925	A0A0B5P9W9
260799.BAS1672	A0A0C4Z7J0
260799.BAS4188	Q9S3P5
260799.BAS2281	Q2HQ55
260799.BAS2030	Q6HZE5
260799.BAS2630	Q6HXP9
260799.BAS1732	Q6I091
260799.BAS2946	Q6HWT4
260799.BAS2415	Q6HYB3
260799.BAS4043	Q6HTP5
260799.BAS4727	Q6HRR7
260799.BAS4255	Q6HT35
260799.BAS0743	Q6I311
260799.BAS3685	Q6HUQ2
260799.BAS3026	Q6HWK5
260799.BAS2479	Q6HY49
