208964.PA1024	Q9I4V0
208964.PA4010	Q9HX17
208964.PA1268	Q9I476
208964.PA0065	Q9I767
208964.PA3182	Q9X2N2
208964.PA3139	P72173
208964.PA3639	Q9HXZ2
208964.PA4848	P37798
208964.PA3112	Q9HZA7
208964.PA2634	Q9I0K4
208964.PA1376	Q9I3W8
208964.PA0836	Q9I5A4
208964.PA1562	Q9I3F5
208964.PA1787	Q9I2V5
208964.PA2966	O54439
208964.PA1869	O52658
208964.PA0887	Q9I558
208964.PA4733	Q9HV66
208964.PA0954	Q9I504
208964.PA0148	Q9I6Y4
208964.PA1978	P29369
208964.PA0292	Q9I6J9
208964.PA0140	Q9I6Z2
208964.PA0904	O69077
208964.PA0555	Q9I5Y1
208964.PA3542	Q9HY69
208964.PA3541	Q52463
208964.PA3551	P07874
208964.PA5483	P23747
208964.PA5322	P26276
208964.PA3540	P11759
208964.PA3544	P18895
208964.PA3550	Q06062
208964.PA3545	Q51371
208964.PA0405	Q9RQ16
208964.PA3548	Q51392
208964.PA3549	Q51393
208964.PA3543	P96956
208964.PA3547	Q06749
208964.PA5253	P15276
208964.PA5255	P15275
208964.PA5261	P26275
208964.PA3546	Q51372
208964.PA2574	Q9I0R2
208964.PA1525	Q6H941
208964.PA3181	O68283
208964.PA1514	Q9I3J9
208964.PA1515	Q9I3J8
208964.PA4930	Q9HUN4
208964.PA5302	Q9HTQ2
208964.PA3365	Q51416
208964.PA3364	P27017
208964.PA3366	P11436
208964.PA3363	P10932
208964.PA3362	Q51417
208964.PA3831	O68822
208964.PA4110	P24735
208964.PA4109	P24734
208964.PA0666	Q9I5Q5
208964.PA1544	P23926
208964.PA0892	O30506
208964.PA0591	Q9I5U6
208964.PA0590	Q9I5U7
208964.PA3247	Q9HYZ3
208964.PA1249	Q03023
208964.PA1246	Q03024
208964.PA1247	Q03025
208964.PA1248	Q03027
208964.PA1543	Q04633
208964.PA4034	Q9HWZ3
208964.PA5171	P13981
208964.PA5173	P13982
208964.PA5170	P18275
208964.PA5204	P22567
208964.PA5323	Q9HTN2
208964.PA0662	Q9I5Q9
208964.PA4402	Q9HW04
208964.PA4363	Q9HW38
208964.PA5263	P50987
208964.PA3554	Q9HY63
208964.PA3552	Q9HY65
208964.PA3553	Q9HY64
208964.PA3555	Q9HY62
208964.PA3557	Q9HY60
208964.PA3558	Q9HY59
208964.PA3556	Q9HY61
208964.PA5038	P34002
208964.PA1681	Q9I344
208964.PA0025	P43904
208964.PA5039	P34003
208964.PA4846	O30557
208964.PA0245	Q9I6P3
208964.PA0183	P51691
208964.PA0895	O30508
208964.PA4976	Q9HUI9
208964.PA4977	Q9HUI8
208964.PA4983	Q9HUI2
208964.PA4982	Q9HUI3
208964.PA5429	Q9HTD7
208964.PA3505	Q9HYA4
208964.PA1337	Q9I407
208964.PA3525	Q9HY84
208964.PA0896	P80357
208964.PA0899	O50175
208964.PA0898	O50174
208964.PA0901	O50177
208964.PA0897	P80358
208964.PA2618	Q9I0M0
208964.PA1633	P57683
208964.PA1634	P57698
208964.PA1635	P57686
208964.PA2001	Q9I2A8
208964.PA5560	Q9HT14
208964.PA5556	Q9HT18
208964.PA5554	Q9HT20
208964.PA5557	Q9HT17
