10090.ENSMUSP00000018470	Q9CQV8
10090.ENSMUSP00000070993	P62259
10090.ENSMUSP00000019109	P68510
10090.ENSMUSP00000051223	P61982
10090.ENSMUSP00000050374	O70456
10090.ENSMUSP00000100067	P68254
10090.ENSMUSP00000022894	P63101
10090.ENSMUSP00000036268	A2AIG8
10090.ENSMUSP00000097281	Q3UX83
10090.ENSMUSP00000070726	Q6PD03
10090.ENSMUSP00000021447	Q61151
10090.ENSMUSP00000082053	Q60996
10090.ENSMUSP00000007708	Q76MZ3
10090.ENSMUSP00000034560	Q7TNP2
10090.ENSMUSP00000086640	Q6P1F6
10090.ENSMUSP00000025377	Q6ZWR4
10090.ENSMUSP00000040321	Q925E7
10090.ENSMUSP00000031003	Q8BG02
10090.ENSMUSP00000102630	P24815
10090.ENSMUSP00000102635	P26149
10090.ENSMUSP00000088246	P26150
10090.ENSMUSP00000136588	Q61767
10090.ENSMUSP00000041442	Q61694
10090.ENSMUSP00000029463	O35469
10090.ENSMUSP00000036245	Q9EQC1
10090.ENSMUSP00000052181	P55194
10090.ENSMUSP00000112554	Q06649
10090.ENSMUSP00000072872	Q99LH9
10090.ENSMUSP00000089517	Q9Z131
10090.ENSMUSP00000000687	Q78JT3
10090.ENSMUSP00000031788	Q99L13
10090.ENSMUSP00000020528	Q04841
10090.ENSMUSP00000030739	P48193
10090.ENSMUSP00000033880	Q60876
10090.ENSMUSP00000020288	P70445
10090.ENSMUSP00000039298	Q80VV3
10090.ENSMUSP00000105676	Q9EST3
10090.ENSMUSP00000130194	P10852
10090.ENSMUSP00000022235	Q64264
10090.ENSMUSP00000050898	P28334
10090.ENSMUSP00000086052	Q61224
10090.ENSMUSP00000063136	Q02284
10090.ENSMUSP00000047774	P35363
10090.ENSMUSP00000027431	Q02152
10090.ENSMUSP00000043936	P34968
10090.ENSMUSP00000003826	P23979
10090.ENSMUSP00000008734	Q9JHJ5
10090.ENSMUSP00000027560	P97288
10090.ENSMUSP00000038884	P30966
10090.ENSMUSP00000057212	P31387
10090.ENSMUSP00000068333	Q9R1C8
10090.ENSMUSP00000126847	P32304
10090.ENSMUSP00000069422	A3KFX0
10090.ENSMUSP00000002456	Q91YE9
10090.ENSMUSP00000031793	Q9D020
10090.ENSMUSP00000090360	Q3UFY7
10090.ENSMUSP00000130898	Q3V1L4
10090.ENSMUSP00000034992	Q61503
10090.ENSMUSP00000021719	P56379
10090.ENSMUSP00000081141	Q9DCD0
10090.ENSMUSP00000034264	Q9CQ60
10090.ENSMUSP00000024005	P12961
10090.ENSMUSP00000059983	P53368
10090.ENSMUSP00000095187	Q3UKZ7
10090.ENSMUSP00000007977	Q571I9
10090.ENSMUSP00000108815	Q8C0J2
10090.ENSMUSP00000112500	Q6KAU8
10090.ENSMUSP00000030044	Q60590
10090.ENSMUSP00000074810	P07361
10090.ENSMUSP00000006687	Q63805
10090.ENSMUSP00000072652	P07758
10090.ENSMUSP00000093101	P22599
10090.ENSMUSP00000073695	Q00896
10090.ENSMUSP00000077909	Q00897
10090.ENSMUSP00000082130	Q00898
10090.ENSMUSP00000021490	Q9DCQ7
10090.ENSMUSP00000094151	Q19LI2
10090.ENSMUSP00000075235	Q5YD48
10090.ENSMUSP00000048704	Q61247
10090.ENSMUSP00000032203	Q6GQT1
10090.ENSMUSP00000107760	Q61838
10090.ENSMUSP00000030585	Q3V1N9
10090.ENSMUSP00000057999	Q67BJ4
10090.ENSMUSP00000005406	P12023
10090.ENSMUSP00000096882	Q3UD01
10090.ENSMUSP00000043522	Q60612
10090.ENSMUSP00000101060	Q60613
10090.ENSMUSP00000018644	Q60614
10090.ENSMUSP00000000574	Q61618
10090.ENSMUSP00000001854	P63115
10090.ENSMUSP00000029325	Q99PG0
10090.ENSMUSP00000044604	P58742
10090.ENSMUSP00000104136	P51912
10090.ENSMUSP00000031445	Q9D2R0
10090.ENSMUSP00000078436	Q9WVM8
10090.ENSMUSP00000021938	Q9D1A0
10090.ENSMUSP00000048595	Q8R2R3
10090.ENSMUSP00000086948	Q3UHJ0
10090.ENSMUSP00000031486	Q9R078
10090.ENSMUSP00000036410	Q6PAM0
10090.ENSMUSP00000132499	O54950
10090.ENSMUSP00000030784	Q91WG5
10090.ENSMUSP00000080342	Q8BGM7
10090.ENSMUSP00000115672	Q8R0P4
10090.ENSMUSP00000063166	Q5EG47
10090.ENSMUSP00000030243	Q8BRK8
10090.ENSMUSP00000029158	Q9D2V5
10090.ENSMUSP00000087479	Q811W1
10090.ENSMUSP00000067912	Q3THG9
