593117.TGAM_1786	C5A1L9
593117.TGAM_0731	C5A4S1
593117.TGAM_1501	C5A6Z1
593117.TGAM_1592	C5A782
593117.TGAM_1596	C5A786
593117.TGAM_1594	C5A784
593117.TGAM_2070	C5A2F3
593117.TGAM_0419	C5A3V9
593117.TGAM_0273	C5A3G3
593117.TGAM_0535	C5A475
593117.TGAM_0538	C5A478
593117.TGAM_0725	C5A4R5
593117.TGAM_1673	C5A7G3
593117.TGAM_0490	C5A430
593117.TGAM_0176	C5A366
593117.TGAM_1764	C5A1J7
593117.TGAM_1020	C5A5L0
593117.TGAM_1776	C5A1K9
593117.TGAM_0314	C5A3K4
593117.TGAM_0482	C5A422
593117.TGAM_1054	C5A5P4
593117.TGAM_0165	C5A355
593117.TGAM_1397	C5A6N7
593117.TGAM_2056	C5A2D9
593117.TGAM_0077	C5A2S7
593117.TGAM_1199	C5A639
593117.TGAM_0463	C5A403
593117.TGAM_0920	C5A5B0
593117.TGAM_0903	C5A593
593117.TGAM_1701	C5A7J1
593117.TGAM_1700	C5A7J0
593117.TGAM_0350	C5A3P0
593117.TGAM_1175	C5A615
593117.TGAM_1305	C5A6E5
593117.TGAM_2095	C5A2H8
593117.TGAM_1790	C5A1M3
593117.TGAM_1322	C5A6G2
593117.TGAM_1078	C5A5R8
593117.TGAM_1867	C5A1V0
593117.TGAM_1607	C5A797
593117.TGAM_1612	C5A7A2
593117.TGAM_1614	C5A7A4
593117.TGAM_1013	C5A5K3
593117.TGAM_0233	C5A3C3
593117.TGAM_0809	C5A4Z9
593117.TGAM_2025	C5A2A8
593117.TGAM_1035	C5A5M5
593117.TGAM_1682	C5A7H2
593117.TGAM_1188	C5A628
593117.TGAM_1978	C5A261
593117.TGAM_0940	C5A5D0
593117.TGAM_0271	C5A3G1
593117.TGAM_1808	C5A1P1
593117.TGAM_1769	C5A1K2
593117.TGAM_0577	C5A4B7
593117.TGAM_2137	C5A2X8
593117.TGAM_0239	C5A3C9
593117.TGAM_1728	C5A7L8
593117.TGAM_0621	C5A4G1
593117.TGAM_0288	C5A3H8
593117.TGAM_0232	C5A3C2
593117.TGAM_0810	C5A500
593117.TGAM_0325	C5A3L5
593117.TGAM_1408	C5A6P8
593117.TGAM_1046	C5A5N6
593117.TGAM_0629	C5A4G9
593117.TGAM_0630	C5A4H0
593117.TGAM_1098	C5A5T8
593117.TGAM_1495	C5A6Y5
593117.TGAM_2039	C5A2C2
593117.TGAM_1721	C5A7L1
593117.TGAM_2052	C5A2D5
593117.TGAM_0750	C5A4U0
593117.TGAM_0637	C5A4H7
593117.TGAM_0952	C5A5E2
593117.TGAM_0756	C5A4U6
593117.TGAM_2088	C5A2H1
593117.TGAM_1900	C5A1Y3
593117.TGAM_1661	C5A7F1
593117.TGAM_0361	C5A3Q1
593117.TGAM_2089	C5A2H2
593117.TGAM_2074	C5A2F7
593117.TGAM_1844	C5A1S7
593117.TGAM_1257	C5A697
593117.TGAM_2010	C5A293
593117.TGAM_0488	C5A428
593117.TGAM_0486	C5A426
593117.TGAM_1974	C5A257
593117.TGAM_1800	C5A1N3
593117.TGAM_1681	C5A7H1
593117.TGAM_1983	C5A266
593117.TGAM_0907	C5A597
593117.TGAM_2001	C5A284
593117.TGAM_1874	C5A1V7
593117.TGAM_1996	C5A279
593117.TGAM_2000	C5A283
593117.TGAM_1923	C5A206
593117.TGAM_1683	C5A7H3
593117.TGAM_1985	C5A268
593117.TGAM_1976	C5A259
593117.TGAM_0804	C5A4Z4
593117.TGAM_1739	C5A1H2
593117.TGAM_1684	C5A7H4
593117.TGAM_2003	C5A286
593117.TGAM_1958	C5A241
593117.TGAM_2002	C5A285
593117.TGAM_1986	C5A269
593117.TGAM_1876	C5A1V9
593117.TGAM_0596	C5A4D6
593117.TGAM_1806	C5A1N9
593117.TGAM_1082	C5A5S2
593117.TGAM_1924	C5A207
593117.TGAM_1927	C5A210
593117.TGAM_1961	C5A244
593117.TGAM_1003	C5A5J3
593117.TGAM_2036	C5A2B9
593117.TGAM_2035	C5A2B8
593117.TGAM_1055	C5A5P5
593117.TGAM_1967	C5A250
593117.TGAM_0855	C5A545
593117.TGAM_1999	C5A282
593117.TGAM_0502	C5A442
593117.TGAM_0503	C5A443
593117.TGAM_1489	C5A6X9
593117.TGAM_0862	C5A552
593117.TGAM_1997	C5A280
593117.TGAM_1968	C5A251
593117.TGAM_1634	C5A7C4
593117.TGAM_1920	C5A203
593117.TGAM_0646	C5A4I6
