192222.Cj0443	Q9PI62
192222.Cj0689	Q9PPL8
192222.Cj1409	Q9PMP8
192222.Cj0441	Q9PI64
192222.Cj1537c	Q9PMD2
192222.Cj0597	Q0PAS0
192222.Cj0905c	Q9PP26
192222.Cj0929	Q9PP04
192222.Cj0927	Q9PP06
192222.Cj0226	Q9PIR8
192222.Cj0224	Q9PIS0
192222.Cj0227	Q9PIR7
192222.Cj0931c	Q46104
192222.Cj0895c	P0C630
192222.Cj1008c	Q9PNT2
192222.Cj1634c	Q9PM41
192222.Cj0066c	Q9PJ53
192222.Cj0665c	Q9PHK7
192222.Cj1035c	Q9PNQ6
192222.Cj1204c	Q0P952
192222.Cj0105	Q9PJ21
192222.Cj0107	Q0PC30
192222.Cj0104	Q0PC33
192222.Cj0108	Q9PJ18
192222.Cj0106	Q9PJ20
192222.Cj0936	Q0P9W3
192222.Cj1685c	Q0P7U6
192222.Cj0308c	Q9PIJ1
192222.Cj1494c	Q9PMG8
192222.Cj0279	Q9PIL7
192222.Cj1521c	Q0P899
192222.Cj1523c	Q0P897
192222.Cj1385	Q59296
192222.Cj0596	Q0PAS1
192222.Cj0079c	Q0PC56
192222.Cj1220	P56970
192222.Cj1221	O69289
192222.Cj0923c	Q0P9X6
192222.Cj1118c	P0C635
192222.Cj0509c	Q9PI02
192222.Cj0192c	P54413
192222.Cj1107	Q9PNI7
192222.Cj0275	Q9PIM0
192222.Cj0590	Q0PAS7
192222.Cj0976	Q0P9S6
192222.Cj0767c	Q9PPF2
192222.Cj1530	Q9PMD9
192222.Cj0394c	Q0PBB6
192222.Cj0726c	Q9PPI1
192222.Cj0517	Q9PHZ4
192222.Cj0912c	P71128
192222.Cj0806	Q9PPB4
192222.Cj0197c	Q9PIT2
192222.Cj1605c	Q0P823
192222.Cj1048c	Q0P9K4
192222.Cj1531	Q9PMD8
192222.Cj0913c	Q46121
192222.Cj0314	Q9PII5
192222.Cj1292	Q9PN07
192222.Cj1243	Q9PN54
192222.Cj0798c	Q9PPC2
192222.Cj0191c	Q9PIT8
192222.Cj0386	Q9PIB6
192222.Cj1023c	Q59291
192222.Cj0001	Q9PJB0
192222.Cj1638	Q9PM37
192222.Cj1260c	O85213
192222.Cj0759	O69298
192222.Cj0586	Q0PAT1
192222.Cj0718	Q9PPI9
192222.Cj1534c	Q0P891
192222.Cj0603c	Q9PHR3
192222.Cj0865	Q0PA25
192222.Cj1346c	Q9PMV3
192222.Cj0321	Q9PIH8
192222.Cj0493	Q9PI16
192222.Cj0551	Q9PHW3
192222.Cj1181c	Q9PNB4
192222.Cj0470	O69303
192222.Cj0650	Q9PHL7
192222.Cj1672c	P42448
192222.Cj0661c	Q9PHL1
192222.Cj0325	Q9PIH4
192222.Cj0840c	Q0PA50
192222.Cj1303	Q9PMZ6
192222.Cj0328c	Q9PIH1
192222.Cj0273	Q9PIM2
192222.Cj1398	Q9PMQ9
192222.Cj1339c	P56963
192222.Cj0720c	P96747
192222.Cj1338c	P56964
192222.Cj0687c	Q9PPM0
192222.Cj1462	Q9PMJ8
192222.Cj0064c	O52908
192222.Cj0548	Q9PHW6
192222.Cj0526c	Q9PHY8
192222.Cj1075	Q0P9H9
192222.Cj0098	Q9PJ28
192222.Cj0855	Q0PA35
192222.Cj0612c	Q46106
192222.Cj0886c	Q0PA12
192222.Cj1364c	O69294
192222.Cj0400	P0C631
192222.Cj1535c	Q9PMD4
192222.Cj1059c	Q9PNN2
192222.Cj1197c	Q9PN98
192222.Cj0398	Q9PIA5
192222.Cj0194	P51594
192222.Cj0360	Q9PIE2
192222.Cj1366c	Q9PMT4
192222.Cj0821	Q9PPA2
192222.Cj0402	P24531
192222.Cj1149c	Q9PNE6
192222.Cj1424c	Q9PMN3
192222.Cj1152c	Q6TG07
192222.Cj1196c	Q9PN99
192222.Cj0434	Q9PI71
192222.Cj0287c	Q9PIK9
192222.Cj0758	O69297
192222.Cj0853c	Q9PP70
192222.Cj0705	Q9PPK2
192222.Cj1248	Q9PN49
192222.Cj1027c	Q03470
192222.Cj0003	O87667
192222.Cj0542	Q9PHX2
192222.Cj0545	Q9PHW9
192222.Cj0503c	Q9PI08
192222.Cj0241c	Q9PIQ3
192222.Cj0985c	P45493
192222.Cj1597	Q9PM78
192222.Cj1604	Q9PM71
192222.Cj1601	Q9PM74
192222.Cj1315c	Q0P8U2
192222.Cj1600	Q9PM75
192222.Cj1603	Q9PM72
192222.Cj1314c	Q0P8U3
192222.Cj1599	Q9PM76
192222.Cj0317	Q9PII2
192222.Cj1598	Q9PM77
192222.Cj1150c	Q6TG09
192222.Cj0065c	Q9PJ54
192222.Cj0757	Q9PPG2
