6239.M117.2.1	P41932
6239.F52D10.3a.2	Q20655
6239.F48E8.5.3	Q09543
6239.K06A4.5	Q19341
6239.B0250.5	Q9XTI0
6239.F25B5.3b	Q09315
6239.T25B9.9.2	Q17761
6239.Y57G11C.3a	O18229
6239.F02E8.5	Q19124
6239.K06A1.5.1	Q09406
6239.C42D8.8a.2	Q10651
6239.PAR2.3a	P45894
6239.T01C8.1b	Q95ZQ4
6239.F10B5.2	Q09305
6239.T01C8.5.1	Q22067
6239.C50F2.9	G5EGC4
6239.C50F2.10	G5EC68
6239.M79.1a	P03949
6239.T08G2.3.1	Q22347
6239.W02F12.2	O45145
6239.C44E4.6.1	O01805
6239.F47B10.7	Q20507
6239.W09B12.1.2	P38433
6239.F25G6.3a	P48180
6239.F59B1.9	G5EG88
6239.T08G11.5.2	P48181
6239.K03B8.9.1	P54244
6239.T26H10.1	O76554
6239.F21F3.5	Q23022
6239.Y110A7A.3	Q9N587
6239.F09E8.7a	Q27218
6239.Y48B6A.4	Q9U298
6239.D1005.1.2	P53585
6239.C15B12.5b	Q18007
6239.Y40H4A.1b.1	Q9U7D5
6239.Y71D11A.3b	Q8T8B9
6239.C42D8.5a.1	Q18581
6239.ZK455.1.2	Q23500
6239.F54H12.1a	P34455
6239.C48B4.1.2	P34355
6239.ZK563.6.2	Q23534
6239.K11G12.2	P48182
6239.K11G12.7	Q93149
6239.K03F8.2	P54246
6239.T09A5.3	P45963
6239.T04C12.6.3	P0DM41
6239.T04C12.5.2	P10984
6239.T04C12.6.3	P0DM42
6239.M03F4.2a	P10986
6239.C44B7.12	Q8IG39
6239.Y50D7A.7	O45218
6239.F39C12.2b	Q9U9K0
6239.F57F5.4a.1	Q20952
6239.C38C3.5b.1	Q07750
6239.K12G11.3	Q17334
6239.K12G11.4	O45687
6239.H24K24.3b.1	Q17335
6239.C50D2.7.2	Q86S40
6239.T20H4.4.1	Q22618
6239.C43G2.1.2	Q94177
6239.C56G2.7.1	Q09289
6239.C44B7.3	G5EGL9
6239.B0334.8	Q94125
6239.T01B11.2a.2	P91408
6239.C25A1.11a	O02219
6239.C41G7.5a	O44712
6239.B0207.4	O01427
6239.C12D8.10b.1	Q17941
6239.F28H6.1a	Q9XTG7
6239.F01F1.6.2	P46562
6239.T05D4.1.2	P54216
6239.F01F1.12a.1	P46563
6239.ZC513.5	Q23361
6239.C08B11.8	Q09226
6239.C08H9.3a	P52887
6239.T22H6.2b	P54889
6239.BE10.2	O17554
6239.R10E12.1b	P34552
6239.T19B4.1	P83388
6239.R166.3	Q22004
6239.ZK353.6.1	P34629
6239.C05E11.4	P54145
6239.F49E11.3	Q20605
6239.M195.3	Q21565
6239.R13G10.2	Q21988
6239.F33H2.3	O62220
6239.T19H12.2	O01615
6239.ZK973.6	Q9N4M4
6239.Y49E10.19.2	Q9XTT4
6239.K10B2.5	Q09994
6239.Y43F8C.14	Q9XWN6
6239.R11A8.7a	Q21920
6239.Y55F3BR.8a	H2KZB2
6239.C34E10.5.3	P46580
6239.W06D4.4.1	Q9XW42
6239.K11D2.3a.1	P35602
6239.R160.1a	P35603
6239.Y37H9A.6.1	Q9U2M7
6239.K06H7.6	P34514
6239.VF36H2L.1	O45876
6239.T05H10.2.1	Q10002
6239.Y39B6A.34	Q8MYM9
6239.K04G2.8b	Q21227
6239.T19B4.3.1	P91455
6239.K08D9.3	P41990
6239.ZK1321.3.1	Q09369
6239.C43H8.1.1	Q9TZN1
6239.ZK643.1a	P30647
6239.F45E4.1	Q94231
6239.B0336.2.1	Q10943
6239.T12E12.1	Q22431
6239.Y37E3.5a	H2L0N8
6239.F54C9.10.2	Q20758
6239.F22B5.1	Q19705
6239.F19H8.3	O45379
6239.ZK632.8	P34212
6239.C38D4.8	Q18510
6239.Y54G2A.23.2	Q9N3B0
6239.K07C5.1.2	P53489
6239.Y71F9AL.16	Q9N4I0
6239.C08B11.6.2	Q09443
6239.Y6D11A.2.2	Q8WTM6
6239.Y37D8A.1	Q9XWV3
6239.C35D10.16	P58798
6239.C46H11.3	P91167
6239.F53H8.2	P51485
6239.K11D2.2.1	O45686
6239.C03D6.5	Q17603
6239.F10G7.3	Q19326
6239.ZK770.1	O01635
6239.T28F4.2	Q22851
6239.B0252.2	Q10916
6239.ZK455.4.1	Q23498
6239.W03G1.7a	Q9UAY4
6239.ZK637.5	P30632
6239.H22K11.1	P55956
6239.F21F8.7.2	O01530
6239.R04B3.2	Q21697
6239.K10B2.4	Q09993
6239.C17E4.9.3	Q93235
6239.F55F3.3.2	Q9XUY5
6239.Y82E9BR.3.3	Q9BKS0
6239.F54B3.3	Q20748
6239.F57H12.7	O45100
6239.W06B11.1	Q23192
6239.D2007.5.2	P34379
6239.K10B3.9.1	P37209
6239.B0546.1.1	O44441
6239.K10E9.1	Q9N3Q4
6239.ZC262.5	P34539
6239.H28O16.1a	Q9XXK1
6239.C34E10.6.2	P46561
6239.F58F12.1.1	Q09544
6239.R53.4.1	Q22021
6239.K07A12.3.2	P90921
6239.C53B7.4.2	Q18803
6239.B0041.7	Q9U7E0
6239.T06E4.3a	Q22258
6239.F28F8.6.1	O17850
6239.F44B9.5.2	P34426
6239.K02B12.4b	Q3LRZ3
6239.B0464.7	Q03565
6239.F57B10.11	O44739
6239.C54D1.6	Q18825
6239.K04C2.4.3	Q21209
6239.C08C3.2	P34324
6239.W02A11.5	Q9XUM6
6239.Y75B12B.4	Q9XWB9
6239.F52H3.3	Q20681
6239.F25H9.4	P90846
6239.Y105E8B.4.1	Q9NF14
6239.F37A4.9.2	P41886
6239.C50C3.8.1	P34371
6239.T16H12.5a	P34568
6239.F29C12.5	Q9XV51
6239.T07H3.1	O76612
6239.F58A4.14a	Q5CZ52
6239.T13C5.5	Q22460
6239.K02A4.1	P54688
6239.ZK1127.4.2	Q23402
6239.C28H8.1	Q09242
6239.B0564.3.1	Q17528
6239.B0564.4	Q17529
6239.C07A9.8	P34319
6239.C09B9.3a.1	Q17851
6239.C43G2.4.1	Q94175
6239.Y17G7B.18b	Q9U2R0
6239.T20G5.10	Q22616
6239.Y73B6BL.30.1	Q95XD3
6239.T24H7.4.1	Q22756
6239.C34D4.13	Q18446
6239.F57C9.3	O01822
6239.C09G5.6	Q09457
6239.K04F10.4d.3	P51559
6239.F25D7.3a	Q93560
6239.T04A11.6	O18017
6239.C14F5.1a	Q09969
6239.D2089.5	Q19000
6239.Y48B6A.1	Q9U2A9
6239.R05D3.4b	P34537
6239.Y39E4B.9c	Q6QMT2
6239.B0464.4.1	Q03562
6239.Y73E7A.7	Q9GUM2
6239.T12G3.8a	Q95US5
6239.B0507.2	Q22885
6239.K12H4.3.2	P34524
6239.F14H3.2	O45363
6239.F32B6.9	O45435
6239.F32G8.4.1	Q19978
6239.R13.3	Q21973
6239.T19C3.1	Q22566
6239.T20G5.4a	P34577
6239.ZC518.1a	Q23369
6239.ZK688.2	P34672
6239.ZK849.4	O18303
6239.ZK849.5	O18304
6239.Y57A10B.3	Q9XWH8
6239.C56C10.8.1	Q18885
6239.R06C7.8	Q21776
6239.R08D7.1	P30640
6239.C07A9.2.2	P34313
6239.F57B9.5.1	Q20932
6239.F23F12.9a	P46505
6239.T10B9.8	Q27520
6239.T10B9.7	Q27518
6239.T10B9.5	Q27517
6239.T10B9.1	Q27513
6239.T10B9.2	Q27514
6239.T10B9.3	Q27515
6239.T10B9.10	Q27519
6239.T10B9.4	Q27516
6239.ZK1320.4	Q09653
6239.F02C12.5a	O17624
6239.F17A9.2	O16216
6239.B0361.2a	Q10946
6239.C38H2.2	Q18515
6239.F35C8.5	Q20027
6239.Y37H9A.3.2	Q9U2M8
6239.C34B7.3	P90771
6239.T07C4.7.1	P41956
6239.C23H4.1.3	Q93249
6239.ZK112.7	P34616
6239.F25F2.2a	Q19319
6239.F54D8.4	Q20781
6239.D1022.8	Q18932
6239.K05G3.3	Q27504
6239.R173.1	Q10462
6239.C13C12.1	P04630
6239.T21H3.3.1	O16305
6239.Y38A10A.5.1	P27798
6239.ZK632.6.1	P34652
6239.LLC1.1	Q22036
6239.Y102A5A.1	G5ED41
6239.C06G4.2a.2	P34308
6239.ZK897.1c	Q23658
6239.D2024.6.2	P34685
6239.M106.5.1	P34686
6239.Y54F10AM.4a.2	Q8IA98
6239.Y54G11A.5.2	Q27487
6239.Y54G11A.6	O61235
6239.W03H9.4a	G5EG14
6239.T13F2.8a	Q94051
6239.C56A3.7a	Q18879
6239.R10E11.1b	P34545
6239.F56H1.5	O76373
6239.EEED8.6	Q09296
6239.ZK1307.9	Q09651
6239.ZK177.5.2	Q09660
6239.F59E12.10	O01901
6239.T06D8.6.2	P53703
6239.ZK507.6	P34638
6239.ZC168.4.2	Q10653
6239.T06E6.2a.2	Q10654
6239.H14E04.5	Q9TYP2
6239.C37A2.4a	O01501
6239.F44B9.4a.2	P34425
6239.F44B9.3a	P34424
6239.T23F11.3b.2	Q22695
6239.C17G10.4b.3	P81299
6239.W08F4.8b	O02108
6239.R07G3.1.2	Q05062
6239.F35F11.1.1	Q9N5U5
6239.C15B12.7b	Q95QW4
6239.B0285.1b	P46551
6239.T05G5.3.2	P34556
6239.Y39G10AL.3.2	G5EFV5
6239.F39H11.3	P90866
6239.H25P06.2b	Q9TVL3
6239.Y92H12BL.1	Q8MXQ7
6239.F56F10.3	Q20893
6239.C33H5.18b	P53439
6239.ZK1236.2	P34618
6239.T09A5.8	P45968
6239.ZK512.3	P34641
6239.Y106G6E.5.1	Q8STE5
6239.Y47H9C.4a	Q9XWD6
6239.Y41D4B.13	Q9NHC3
6239.C48D1.2a	P42573
6239.C35D10.9b	P30429
6239.F56D2.7	O76337
6239.C48B4.4d	P34358
6239.F08F1.5	O17386
6239.T07C4.8	P41958
6239.K02F3.6	G5EBI4
6239.K07C5.5a	G5EDL5
6239.F52B5.5a.1	Q20646
6239.T10B11.2	Q9TZI1
6239.ZK909.4	Q94126
6239.F56D1.6	Q10131
6239.T09A5.1a	P45961
6239.C54C6.6	Q86D25
6239.T23D8.8	O02326
6239.C07H6.5.2	Q95YF3
6239.ZK1127.10.1	P55216
6239.Y38C9A.2.2	Q18905
6239.T06C12.10.2	O18037
6239.F20B4.6	G5EC84
6239.F59G1.1b.2	Q21054
6239.Y22D7AL.5a.2	P50140
6239.T14G8.1	Q22516
6239.F59C6.7a	Q93833
6239.C55B7.12b	Q966L8
6239.C25A8.4	Q18143
6239.C04F6.3.1	Q11174
6239.Y39H10A.7a.3	Q9N3Z3
6239.Y60A3A.12	Q9U1Y5
6239.M03C11.2	Q21489
6239.PAR2.4a.1	P45895
