10116.ENSRNOP00000016981	P35213
10116.ENSRNOP00000007100	P62260
10116.ENSRNOP00000024388	P68511
10116.ENSRNOP00000001954	P61983
10116.ENSRNOP00000011501	P68255
10116.ENSRNOP00000030885	P63102
10116.ENSRNOP00000040184	P22282
10116.ENSRNOP00000059428	Q4QQT4
10116.ENSRNOP00000015318	P36876
10116.ENSRNOP00000023139	P56932
10116.ENSRNOP00000026306	Q62878
10116.ENSRNOP00000026290	P27364
10116.ENSRNOP00000025933	O35048
10116.ENSRNOP00000026389	Q91Y80
10116.ENSRNOP00000043835	P46953
10116.ENSRNOP00000011069	P29266
10116.ENSRNOP00000027940	P23571
10116.ENSRNOP00000016885	Q62622
10116.ENSRNOP00000025196	Q794F9
10116.ENSRNOP00000061430	Q63003
10116.ENSRNOP00000013618	P19327
10116.ENSRNOP00000017411	P28564
10116.ENSRNOP00000016047	P28565
10116.ENSRNOP00000000907	P30940
10116.ENSRNOP00000013408	P14842
10116.ENSRNOP00000023829	P30994
10116.ENSRNOP00000060345	P08909
10116.ENSRNOP00000008965	P35563
10116.ENSRNOP00000009574	Q9JJ16
10116.ENSRNOP00000025892	Q62758
10116.ENSRNOP00000009317	P35364
10116.ENSRNOP00000003441	P35365
10116.ENSRNOP00000064366	P31388
10116.ENSRNOP00000025450	P32305
10116.ENSRNOP00000022430	Q6AYP7
10116.ENSRNOP00000015057	P21588
10116.ENSRNOP00000067503	D3Z9R8
10116.ENSRNOP00000024827	P85971
10116.ENSRNOP00000010679	P27682
10116.ENSRNOP00000001700	P53369
10116.ENSRNOP00000027992	Q3T1L0
10116.ENSRNOP00000010454	P02764
10116.ENSRNOP00000012577	P17475
10116.ENSRNOP00000006273	Q9EPH1
10116.ENSRNOP00000062802	Q923K9
10116.ENSRNOP00000040516	P14046
10116.ENSRNOP00000009467	Q63041
10116.ENSRNOP00000019346	P06238
10116.ENSRNOP00000007851	A0A4Z3
10116.ENSRNOP00000064362	Q9JI93
10116.ENSRNOP00000041613	P08592
10116.ENSRNOP00000004602	P25099
10116.ENSRNOP00000001759	P30543
10116.ENSRNOP00000003966	P29276
10116.ENSRNOP00000046340	P28647
10116.ENSRNOP00000015205	P63116
10116.ENSRNOP00000064056	Q9QZH8
10116.ENSRNOP00000001292	Q9JMI1
10116.ENSRNOP00000015974	Q64602
10116.ENSRNOP00000011385	Q9R0Z7
10116.ENSRNOP00000044665	P0C1X8
10116.ENSRNOP00000001508	P80386
10116.ENSRNOP00000062137	Q9QZH4
10116.ENSRNOP00000020093	P80385
10116.ENSRNOP00000017626	P54645
10116.ENSRNOP00000010680	Q09137
10116.ENSRNOP00000006257	Q91ZF7
10116.ENSRNOP00000028047	Q5XI97
10116.ENSRNOP00000057271	A2VCW9
10116.ENSRNOP00000022309	P13221
10116.ENSRNOP00000000258	Q9QYW0
10116.ENSRNOP00000015956	P00507
10116.ENSRNOP00000024576	Q5XIJ5
10116.ENSRNOP00000047508	Q6AY17
10116.ENSRNOP00000020339	Q9ESR9
10116.ENSRNOP00000005848	Q8CF82
10116.ENSRNOP00000063805	Q7TNJ2
10116.ENSRNOP00000025627	O70595
10116.ENSRNOP00000003739	Q704E8
10116.ENSRNOP00000012222	Q5RKI8
10116.ENSRNOP00000051058	Q9QYJ4
10116.ENSRNOP00000064279	O70127
10116.ENSRNOP00000028696	Q09429
10116.ENSRNOP00000021064	Q9QY44
10116.ENSRNOP00000016739	P16970
10116.ENSRNOP00000001049	Q6MG08
10116.ENSRNOP00000002327	Q66H39
10116.ENSRNOP00000009546	Q80W57
10116.ENSRNOP00000007174	Q99PE7
10116.ENSRNOP00000058587	P58428
10116.ENSRNOP00000010640	Q6AYT7
10116.ENSRNOP00000020735	P38483
10116.ENSRNOP00000034180	Q6AXX9
10116.ENSRNOP00000009339	Q5RK23
10116.ENSRNOP00000000239	Q6QA69
10116.ENSRNOP00000012271	Q5XI64
10116.ENSRNOP00000043990	Q5I0K5
10116.ENSRNOP00000016056	Q5I0C4
10116.ENSRNOP00000016504	Q6DGG1
10116.ENSRNOP00000001121	Q6MG55
10116.ENSRNOP00000020210	Q5XIL6
10116.ENSRNOP00000054381	Q9QZM5
10116.ENSRNOP00000055116	Q6KC51
10116.ENSRNOP00000010539	Q8K4K7
10116.ENSRNOP00000023648	Q4KLM5
10116.ENSRNOP00000021445	Q5XIU1
10116.ENSRNOP00000038218	O08764
10116.ENSRNOP00000049438	P11497
10116.ENSRNOP00000017686	P15650
10116.ENSRNOP00000013238	P08503
10116.ENSRNOP00000001556	P15651
10116.ENSRNOP00000024973	P45953
10116.ENSRNOP00000030250	Q5FVC7
10116.ENSRNOP00000013392	Q6AYY8
10116.ENSRNOP00000004163	Q6DGF9
10116.ENSRNOP00000066254	A0FKI7
10116.ENSRNOP00000004772	Q5RJK8
10116.ENSRNOP00000016104	Q924N5
10116.ENSRNOP00000066937	A1L1K7
10116.ENSRNOP00000066874	P11030
10116.ENSRNOP00000036574	B3DMA2
10116.ENSRNOP00000027999	P70584
10116.ENSRNOP00000056334	Q4FZR5
10116.ENSRNOP00000047913	Q5EGZ1
10116.ENSRNOP00000010627	P47820
10116.ENSRNOP00000027506	Q9JLB5
10116.ENSRNOP00000023475	P12389
10116.ENSRNOP00000019307	P04757
10116.ENSRNOP00000009041	P09483
10116.ENSRNOP00000062227	P20420
10116.ENSRNOP00000016452	P43143
10116.ENSRNOP00000045255	Q05941
10116.ENSRNOP00000003382	P43144
10116.ENSRNOP00000024706	P25108
10116.ENSRNOP00000028200	P12390
10116.ENSRNOP00000016656	P12391
10116.ENSRNOP00000051052	P12392
10116.ENSRNOP00000019947	P25109
10116.ENSRNOP00000026504	P25110
10116.ENSRNOP00000005050	P09660
10116.ENSRNOP00000026529	P18916
10116.ENSRNOP00000002411	Q5U2X5
10116.ENSRNOP00000026343	O09027
10116.ENSRNOP00000026558	O89039
10116.ENSRNOP00000001910	P86173
10116.ENSRNOP00000022395	Q641W9
10116.ENSRNOP00000022291	Q4QR76
10116.ENSRNOP00000023447	P16638
10116.ENSRNOP00000024785	P08482
10116.ENSRNOP00000065178	P10980
10116.ENSRNOP00000067435	P08483
10116.ENSRNOP00000023586	P08485
10116.ENSRNOP00000008387	P08911
10116.ENSRNOP00000005206	Q8R5M5
10116.ENSRNOP00000056642	Q5FVR5
10116.ENSRNOP00000021675	Q99NB7
10116.ENSRNOP00000008337	Q63270
10116.ENSRNOP00000018447	P07308
10116.ENSRNOP00000067809	Q6P7B9
10116.ENSRNOP00000029144	Q9ER34
10116.ENSRNOP00000013729	O88267
10116.ENSRNOP00000013515	O55171
10116.ENSRNOP00000020740	Q8VHK0
10116.ENSRNOP00000051538	P07872
10116.ENSRNOP00000010260	P97562
10116.ENSRNOP00000042002	Q63448
10116.ENSRNOP00000043843	P13676
10116.ENSRNOP00000024618	Q6AY33
10116.ENSRNOP00000046900	P29293
10116.ENSRNOP00000004673	Q499N5
10116.ENSRNOP00000014235	P18163
10116.ENSRNOP00000020161	Q63151
10116.ENSRNOP00000026057	O35547
10116.ENSRNOP00000022126	O88813
10116.ENSRNOP00000055608	P33124
10116.ENSRNOP00000020587	O70490
10116.ENSRNOP00000020039	Q6SKG1
10116.ENSRNOP00000031354	Q7TN78
10116.ENSRNOP00000011773	P62738
10116.ENSRNOP00000044296	P60711
10116.ENSRNOP00000011773	P68035
10116.ENSRNOP00000044296	P63259
10116.ENSRNOP00000050322	P63269
10116.ENSRNOP00000037574	Q6AY16
10116.ENSRNOP00000061058	Q9Z1P2
10116.ENSRNOP00000027773	Q9QXQ0
10116.ENSRNOP00000024084	P68136
10116.ENSRNOP00000053759	Q5XIK1
10116.ENSRNOP00000026792	P85515
10116.ENSRNOP00000009345	P80202
10116.ENSRNOP00000056047	P70539
10116.ENSRNOP00000008673	P80203
10116.ENSRNOP00000006963	P80201
10116.ENSRNOP00000015852	Q6AYS7
10116.ENSRNOP00000050760	Q9R1T5
10116.ENSRNOP00000024112	Q5M876
10116.ENSRNOP00000061028	P35745
10116.ENSRNOP00000021066	Q10743
10116.ENSRNOP00000039351	Q9QYV0
10116.ENSRNOP00000010648	Q9Z1K9
10116.ENSRNOP00000023805	P97776
10116.ENSRNOP00000012736	P43140
10116.ENSRNOP00000028877	P23944
10116.ENSRNOP00000066242	P22909
10116.ENSRNOP00000018584	P19328
10116.ENSRNOP00000012322	P22086
10116.ENSRNOP00000023282	Q3KR54
10116.ENSRNOP00000061122	Q63202
10116.ENSRNOP00000055132	Q5BK84
10116.ENSRNOP00000019209	Q63180
10116.ENSRNOP00000053112	Q9JK15
10116.ENSRNOP00000002111	Q9EQR2
10116.ENSRNOP00000014151	Q920P6
10116.ENSRNOP00000036948	Q5BJQ0
10116.ENSRNOP00000028290	Q6AY19
10116.ENSRNOP00000038994	P26769
10116.ENSRNOP00000005389	P21932
10116.ENSRNOP00000027719	P26770
10116.ENSRNOP00000046488	Q04400
10116.ENSRNOP00000016624	Q03343
10116.ENSRNOP00000006789	P40146
10116.ENSRNOP00000004326	Q9Z286
10116.ENSRNOP00000018072	Q63028
10116.ENSRNOP00000021491	Q05764
10116.ENSRNOP00000043399	Q62847
10116.ENSRNOP00000016346	P06757
10116.ENSRNOP00000016891	Q64563
10116.ENSRNOP00000030638	Q5XI95
10116.ENSRNOP00000015870	P41682
10116.ENSRNOP00000017252	P12711
10116.ENSRNOP00000043877	Q8CGZ2
10116.ENSRNOP00000016709	Q64640
10116.ENSRNOP00000051266	P61312
10116.ENSRNOP00000035811	P43145
10116.ENSRNOP00000014595	Q9JKL8
10116.ENSRNOP00000008062	B2RYJ4
10116.ENSRNOP00000034815	Q02589
10116.ENSRNOP00000004560	Q5M886
10116.ENSRNOP00000022813	P18090
10116.ENSRNOP00000026098	P10608
10116.ENSRNOP00000016907	P26255
10116.ENSRNOP00000010087	Q9JMB5
