5833.PF14_0425	P14223
5833.PF10_0203	Q94650
5833.MAL13P1.63	P04931
5833.PFE0805w	Q04956
5833.PF14_0323	P24044
5833.PF11_0224	P04923
5833.MAL7P1.27	Q9N623
5833.PF14_0553	P25805
5833.PF10_0155	Q27727
5833.PF13_0280	P33948
5833.PF11_0224	P04926
5833.PFD0420c	Q9GZ01
5833.PF14_0341	P18240
5833.PFI0875w	P12794
5833.PF14_0187	Q8MU52
5833.PFF0860c	P40282
5833.MAL7P1.231	P05227
5833.MAL13P1.480	P05228
5833.PF08_0054	P11144
5833.MAL7P1.228	P12078
5833.PFF1155w	Q02155
5833.PFB0100c	P13817
5833.PFL0955c	P54189
5833.PFF0615c	P19259
5833.PF14_0076	P39898
5833.PF14_0077	P46925
5833.PF13_0287	Q9U8D3
5833.PFE0040c	P08116
5833.PF11_0183	P38545
5833.PFI0265c	P11459
5833.PF13_0150	P27625
5833.PF08_0071	Q9TW89
5833.PF14_0324	P25407
5833.PF10_0084	P14140
5833.PFE0305w	P32086
5833.PF14_0322	P25408
5833.PF14_0378	Q07412
5833.PF14_0358	P15847
5833.PF13_0065	Q03498
5833.PFD0305c	Q25691
5833.PFI1685w	O15906
5833.PF13_0238	A0A0A7RAP1
5833.PF13_0238	A0A0B4U5F1
5833.PF13_0238	A0A0A7RAU3
5833.PF13_0238	A0A0A7RG35
5833.PF13_0238	A0A0B4U5L0
5833.PF13_0238	A0A0B4U4Y4
5833.PF10_0355	A0A0A7MFU0
5833.PFD0830w	D9N170
5833.PF13_0238	A0A0A7RCC4
5833.PFD0830w	A7UD81
5833.PFC0915w	A0T1H2
5833.PF13_0141	Q71T02
5833.PF13_0238	A0A0B4U3K0
5833.PF13_0238	A0A0B4U4B4
5833.PF14_0164	O96940
5833.PF13_0238	A0A0B4U4C7
5833.PF13_0238	A0A0B4U5I8
5833.PF13_0238	A0A0B4U3K6
5833.PF13_0128	Q965D7
5833.PF13_0238	A0A0B4U4D1
5833.MAL7P1.206	Q8IAJ9
5833.PF13_0238	A0A0A7RGY6
5833.PF13_0238	A0A0A7RBC2
5833.PF13_0238	A0A0A7RAV0
5833.PF13_0238	A0A0A7RG88
5833.PF13_0238	A0A0A7RAX1
5833.PF10_0225	Q8T6J6
5833.PF13_0238	A0A0C5G6B3
5833.PF13_0238	A0A0B4U3Z6
5833.PF13_0238	A0A0B4U4Y2
5833.PFD0100c	A0A060N3R3
5833.PF11_0344	B2LV75
5833.PF11_0344	C5IDV5
5833.PF11_0344	I4CGN8
5833.PFA0310c	I6Q2K0
5833.PFC0210c	T2CB41
5833.PF10_0346	C6FDY6
5833.PFC0210c	C6FH02
5833.PFC0210c	C6FH44
5833.PFC0210c	C6FH78
5833.PFA0310c	E1CC03
5833.PFA0310c	E1CC33
5833.PFC0210c	C6FGZ3
5833.PF11_0344	I4CGJ1
5833.PFE1150w	A0A060D2Q0
5833.PFC0210c	C6FGZ4
5833.PF11_0344	D9MXK7
5833.PFB0295w	O15918
5833.PFC0210c	C6FHE3
5833.PF11_0344	D9MXR6
5833.PF11_0344	I4CG82
5833.PF14_0075	Q17SB3
5833.PFC0210c	C6FHG4
5833.PF11_0344	D9MXQ7
5833.PF10_0346	C6FDY1
5833.PF10_0346	C6FDY3
5833.PF11_0344	D9MXI3
5833.PF11_0344	D9MXJ2
5833.PFC0210c	C6FGZ6
5833.PF11_0344	I4CGB2
5833.PF13_0238	A0A0A0WDQ1
5833.PF13_0271	I6Q5H4
5833.PFD0830w	A0A060D5W7
5833.PF11_0344	C5IEF3
5833.PFC0210c	C6FH64
5833.PF11_0344	D9MXS2
5833.PF13_0133	Q17SA8
5833.PFD0830w	A0A060DBU4
5833.PF10_0346	C6FDZ1
5833.PF10_0346	C6FDZ3
5833.PFC0210c	C6FH00
5833.PFC0805w	C6F0A4
5833.PF11_0344	I4CGX7
5833.PFE1150w	A0A060CT89
5833.PF11_0344	D9MXW5
5833.PF11_0344	D9MXH9
5833.MAL13P1.60	Q8T9N3
5833.PFC0210c	C6FGZ2
5833.PF11_0344	D9MXI8
5833.PFA0310c	E1CC99
5833.PF14_0260	I6Q2L5
5833.PFD0830w	A0A060DC70
5833.PF11_0344	B2LUZ5
5833.PF08_0095	A0A023PPL4
5833.PF08_0095	A0A023PQ25
5833.PF11_0344	B2LUX0
5833.PFA0310c	E1CBY4
5833.PFA0310c	E1CCC2
5833.PFD0830w	A0A023PNQ2
5833.PF11_0344	D7GLP6
5833.PFB0310c	Q70IF6
5833.PF11_0344	B6CMK6
5833.PF11_0344	Q95NU4
5833.PF11_0344	D9MXG0
5833.PF11_0344	M1V198
5833.PFC0210c	C6FH79
5833.PFC0210c	Q27246
5833.PF14_0495	B9A598
5833.PF11_0344	D9MXI0
5833.PF11_0344	D9MY10
5833.PFE0395c	F6N6B7
5833.PFE0395c	F6N6B8
5833.PFC0210c	M1V9I4
5833.PF11_0344	D7GLM3
5833.PF11_0344	D7GLP7
5833.PFA0310c	E1CBZ4
5833.PFA0310c	E1CCC4
5833.PF11_0344	I4CG50
5833.PF11_0344	B6CMK2
5833.PF11_0344	C5IE57
5833.PF11_0344	C5IDV1
5833.PF11_0344	C5IDW9
5833.PF11_0344	C5HWA1
5833.PF10_0348	C5HWZ5
5833.PF13_0338	C5HX96
5833.PF11_0344	M1V1D6
5833.PFI1475w	M1V981
5833.PF11_0344	M1VAC7
5833.PF11_0344	M1VH00
5833.PFI1475w	M1VKP5
5833.PF11_0344	M1VQ90
5833.PF11_0344	B2LV07
5833.MAL13P1.60	C0L3E2
5833.PF13_0348	C5HEX8
5833.PF13_0338	C5HX66
5833.PF13_0338	C5HXB4
5833.PFE0395c	C5HXE1
5833.PFE0395c	C5HXE3
5833.PF08_0095	A0A023PQ21
5833.PF13_0271	I6Q2K6
5833.PF14_0652	Q867W4
5833.MAL13P1.60	Q66PL8
5833.PFA0125c	Q6RKC8
5833.PF11_0344	B2LUV4
5833.PFA0310c	Q5R2K7
5833.PF07_0037	Q9BH38
5833.PFA0590w	A0A076Q2X9
5833.PF14_0598	O96369
5833.MAL8P1.132	Q2KNR4
5833.PF13_0238	A0A077H071
5833.PF11_0344	A0A089Q7C7
5833.PF11_0344	Q94661
5833.PFE1150w	A0A060D214
5833.PF13_0197	C5HWI4
5833.PF14_0102	I6M288
5833.PF13_0238	A0A077H371
5833.PF13_0238	A0A0A0WFB9
5833.PF07_0006	B0Z887
5833.PF11_0344	C5IEG3
5833.PF13_0338	C5HX89
5833.PF11_0344	B2LV34
5833.PFI1475w	M1VP84
5833.PFI1475w	M1VP90
5833.PFC0210c	M1VPP6
5833.PF13_0238	A0A077GY49
5833.PF10_0348	C5HEJ0
5833.PF11_0344	C5HW67
5833.MAL7P1.208	C5HXN1
5833.PF11_0344	M1VM27
5833.PF13_0197	Q95VZ1
5833.PFA0590w	A0A076Q2S6
5833.PF10_0320a	Q2TFX0
5833.PF11_0344	C5HW72
5833.PFC0210c	M1V0M5
5833.PF11_0344	B2LUX1
5833.PF10_0303	A0A0A0REH6
5833.PFE0395c	C5HXE0
5833.PF11_0344	M1VGW5
5833.PF11_0344	Q967I5
5833.PFF0670w	A0A097PT90
5833.PFI1090w	Q9GN14
5833.PF13_0238	A0A077GZ77
5833.PF11_0344	B2LUW1
5833.PFE0395c	C5HXE6
5833.PFE0395c	F6N6C5
5833.PF13_0238	A0A077H340
5833.PFE1150w	A0A088AX63
5833.PF11_0344	C5HW92
5833.PF10_0348	C5HWZ9
5833.PFC0210c	M1VFN0
5833.PFD0830w	A0A060DAX8
5833.PFA0590w	A0A076Q0J9
5833.PF11_0344	C5IDU8
5833.PF11_0344	I4CGQ9
5833.PF11_0344	B2LUW3
5833.PF11_0344	B2LUY7
5833.PF11_0344	B2LV63
5833.PFF0995c	C5HDU1
5833.PFE0395c	C5HE00
5833.PF13_0338	C5HX95
5833.PF11_0344	M1VGH5
5833.PFI1475w	M1VKQ7
5833.PFC0210c	M1VPN0
5833.PF11_0344	B2LUX6
5833.PFB0295w	E1CDI1
5833.PF11_0165	A0A077H017
5833.PF13_0271	I6Q0Y6
5833.PF14_0075	Q17SB2
5833.PF11_0344	B2LUU6
5833.PF11_0344	B2LUW9
5833.PF11_0344	C5HW68
5833.PF11_0344	C5HW93
5833.PF13_0348	C5HXX5
5833.PFC0210c	M1V9K0
5833.PF11_0344	M1VM84
5833.PF11_0344	C5IE86
5833.PF11_0344	B2LV18
5833.PF13_0348	C5HXV0
5833.PFE0395c	F6N6E6
5833.PFC0210c	M1VPM1
5833.PF11_0344	B2LV15
5833.PFE1150w	A0A060D223
5833.PF11_0344	B2LUX3
5833.PF11_0344	B2LUY1
5833.PF10_0348	C5HWZ8
5833.PF11_0344	M1VM19
5833.PFC0210c	Q8I9G7
5833.PF11_0344	B2LV33
