224308.Bsubs1_010100014651	O05413
224308.Bsubs1_010100001018	P37878
224308.Bsubs1_010100020846	P94378
224308.Bsubs1_010100020281	P70994
224308.Bsubs1_010100011201	P68522
224308.Bsubs1_010100021616	P12013
224308.Bsubs1_010100013091	P80859
224308.Bsubs1_010100007211	O34499
224308.Bsubs1_010100014646	P17585
224308.Bsubs1_010100014806	O06005
224308.Bsubs1_010100012301	P53001
224308.Bsubs1_010100020361	P39643
224308.Bsubs1_010100005351	O07587
224308.Bsubs1_010100008026	P39758
224308.Bsubs1_010100000185	P08874
224308.Bsubs1_010100015931	O34847
224308.Bsubs1_010100013351	P49787
224308.Bsubs1_010100010051	O34544
224308.Bsubs1_010100015936	C0SP93
224308.Bsubs1_010100020091	P45867
224308.Bsubs1_010100013241	P45857
224308.Bsubs1_010100010061	O34421
224308.Bsubs1_010100016081	P37877
224308.Bsubs1_010100009911	P09339
224308.Bsubs1_010100004488	O31404
224308.Bsubs1_010100004493	O34591
224308.Bsubs1_010100004498	O31550
224308.Bsubs1_010100004508	O31551
224308.Bsubs1_010100009426	Q7PC63
224308.Bsubs1_010100002618	P96618
224308.Bsubs1_010100008781	P80643
224308.Bsubs1_010100016196	P39062
224308.Bsubs1_010100016201	P39065
224308.Bsubs1_010100016206	P39066
224308.Bsubs1_010100016211	P39067
224308.Bsubs1_010100004268	O35031
224308.Bsubs1_010100001023	P19219
224308.Bsubs1_010100001028	P19220
224308.Bsubs1_010100005881	P23478
224308.Bsubs1_010100005876	P23477
224308.Bsubs1_010100017331	P71073
224308.Bsubs1_010100014766	C0SPA5
224308.Bsubs1_010100014741	O06012
224308.Bsubs1_010100014756	O06008
224308.Bsubs1_010100012961	P54570
224308.Bsubs1_010100007196	O34508
224308.Bsubs1_010100016501	O34645
224308.Bsubs1_010100021621	P80239
224308.Bsubs1_010100009231	Q04795
224308.Bsubs1_010100015551	P08495
224308.Bsubs1_010100002143	P94417
224308.Bsubs1_010100020191	P71011
224308.Bsubs1_010100020196	P71010
224308.Bsubs1_010100020201	P71009
224308.Bsubs1_010100020206	P71008
224308.Bsubs1_010100020211	P71007
224308.Bsubs1_010100020216	P71006
224308.Bsubs1_010100020221	P71005
224308.Bsubs1_010100019471	Q04777
224308.Bsubs1_010100001368	P42236
224308.Bsubs1_010100020501	P39616
224308.Bsubs1_010100021496	P46329
224308.Bsubs1_010100010661	O34660
224308.Bsubs1_010100004118	O06478
224308.Bsubs1_010100020956	P94358
224308.Bsubs1_010100020066	P13243
224308.Bsubs1_010100012166	P50846
224308.Bsubs1_010100017581	O32137
224308.Bsubs1_010100017646	O32149
