449447.MAE_57530	B0JI13
449447.MAE_02800	B0JMT8
449447.MAE_62000	B0JL23
449447.MAE_42630	B0JSC7
449447.MAE_40610	B0JR14
449447.MAE_24410	B0JHB1
449447.MAE_19530	B0JXE8
449447.MAE_19870	B0JXI2
449447.MAE_26120	B0JID6
449447.MAE_19100	B0JWQ2
449447.MAE_37780	B0JPM6
449447.MAE_21510	B0JFW8
449447.MAE_02090	B0JM14
449447.MAE_59800	B0JJ94
449447.MAE_59870	B0JJA1
449447.MAE_50110	B0JWU6
449447.MAE_50160	B0JWV1
449447.MAE_00920	B0JFM7
449447.MAE_50150	B0JWV0
449447.MAE_00930	B0JFM8
449447.MAE_50140	B0JWU9
449447.MAE_50170	B0JWV2
449447.MAE_50120	B0JWU7
449447.MAE_50130	B0JWU8
449447.MAE_00170	B0JFP4
449447.MAE_50720	B0JX07
449447.MAE_40370	B0JQZ0
449447.MAE_25170	B0JHI7
449447.MAE_01900	B0JLZ5
449447.MAE_46070	B0JUI1
449447.MAE_53860	B0JGE2
449447.MAE_16230	B0JVB1
449447.MAE_16790	B0JVG7
449447.MAE_62730	B0JL96
449447.MAE_06810	B0JPJ2
449447.MAE_57120	B0JHX2
449447.MAE_44400	B0JTF9
449447.MAE_16000	B0JV88
449447.MAE_22910	B0JGA8
449447.MAE_07320	B0JQ95
449447.MAE_10330	B0JRV5
449447.MAE_22830	B0JGA0
449447.MAE_11820	P19129
449447.MAE_33570	B0JM94
449447.MAE_56280	P00112
449447.MAE_19230	B0JXB8
449447.MAE_31330	B0JL16
449447.MAE_46460	B0JUM0
449447.MAE_62680	B0JL91
449447.MAE_59440	B0JJ58
449447.MAE_31290	B0JL12
449447.MAE_24510	B0JHC1
449447.MAE_61230	B0JK91
449447.MAE_00810	B0JFL6
449447.MAE_22890	B0JGA6
449447.MAE_49440	B0JW23
449447.MAE_08510	B0JQL4
449447.MAE_13280	B0JTW2
449447.MAE_50310	B0JWW6
449447.MAE_62650	B0JL88
449447.MAE_56930	B0JHV3
449447.MAE_44940	B0JTL3
449447.MAE_42760	B0JSE0
449447.MAE_35090	B0JMP6
449447.MAE_23860	B0JH56
449447.MAE_19470	B0JXE2
449447.MAE_58190	B0JIT3
449447.MAE_30020	B0JKN5
449447.MAE_52860	B0JY70
449447.MAE_46740	B0JUP8
449447.MAE_16590	B0JVE7
449447.MAE_11950	B0JSX3
449447.MAE_49030	B0JVY2
449447.MAE_32670	B0JLR5
449447.MAE_49170	B0JVZ6
449447.MAE_59680	B0JJ82
449447.MAE_49310	B0JW10
449447.MAE_37760	B0JPM4
449447.MAE_38800	B0JPX8
449447.MAE_32370	B0JLN5
