283166.BH00340	Q6G581
283166.BH05070	Q6G461
283166.BH05360	Q6G442
283166.BH15410	Q6G1W0
283166.BH00690	Q6G552
283166.BH02010	Q6G5T6
283166.BH00950	Q6G545
283166.BH16370	Q6G1N8
283166.BH04320	Q6G4D4
283166.BH00030	Q6G5A9
283166.BH16360	Q6G1N9
283166.BH01210	Q6G523
283166.BH04110	Q6G5L2
283166.BH15340	Q6G1W7
283166.BH15320	Q6G1W9
283166.BH15350	Q6G1W6
283166.BH15310	Q6G1X0
283166.BH04130	Q6G5L0
283166.BH04140	Q6G5K9
283166.BH15330	Q6G1W8
283166.BH13370	Q6G2A9
283166.BH11590	Q6G5M0
283166.BH01150	Q6G529
283166.BH04740	Q6G494
283166.BH13530	O33963
283166.BH06380	P51033
283166.BH05880	Q6G3Z3
283166.BH06170	Q6G5D4
283166.BH05890	Q6G3Z2
283166.BH10110	Q6G304
283166.BH00040	Q6G5A8
283166.BH04400	Q6G4C6
283166.BH07520	Q6G3L5
283166.BH05000	Q6G468
283166.BH12440	Q6G2G3
283166.BH00720	Q6G549
283166.BH00520	Q6G567
283166.BH16600	Q6G1L7
283166.BH11210	Q6G2Q8
283166.BH00760	Q6G5F0
283166.BH04770	P54925
283166.BH04080	Q6G5J7
283166.BH09970	Q6G317
283166.BH01180	Q6G526
283166.BH00660	Q6G553
283166.BH00650	Q6G554
283166.BH11140	Q6G2R5
283166.BH14690	Q6G202
283166.BH04350	Q6G4D1
283166.BH10540	Q8KQB3
283166.BH15020	Q6G1Z7
283166.BH06230	Q6G5C8
283166.BH10530	Q8KHX9
283166.BH12420	Q6G2G5
283166.BH05720	Q8L202
283166.BH12220	Q6G2I3
283166.BH04340	Q6G4D2
283166.BH07630	Q6G3K4
283166.BH06300	Q8VQ22
283166.BH00750	Q6G5F1
283166.BH03940	Q6G4F1
283166.BH02510	Q6G4T2
283166.BH01370	Q8L1Z9
283166.BH08240	Q6G3E9
283166.BH05950	Q6G3Y7
283166.BH08230	Q6G3F0
283166.BH07690	Q6G3J8
283166.BH12830	Q6G2F0
