546414.Deide_23220	C1D087
546414.Deide_04450	C1D023
546414.Deide_05740	C1D0N8
546414.Deide_04190	C1CZZ4
546414.Deide_13250	C1CVP5
546414.Deide_07080	C1D141
546414.Deide_01490	C1CYD7
546414.Deide_00760	C1CXS0
546414.Deide_00720	C1CXR6
546414.Deide_00700	C1CXR4
546414.Deide_08310	C1D1H5
546414.Deide_22590	C1CZP1
546414.Deide_19430	C1CXY3
546414.Deide_19780	C1CY24
546414.Deide_08120	C1D1F5
546414.Deide_13910	C1CVW7
546414.Deide_20510	C1CYN7
546414.Deide_09150	C1D1R8
546414.Deide_20570	C1CYP4
546414.Deide_23290	C1D094
546414.Deide_17690	C1CX26
546414.Deide_00010	C1CXJ1
546414.Deide_21970	C1CZH9
546414.Deide_12290	C1CVC7
546414.Deide_09760	C1CUI9
546414.Deide_18990	C1CXH0
546414.Deide_03300	C1CZB4
546414.Deide_13190	C1CVN9
546414.Deide_00030	C1CXJ3
546414.Deide_18500	C1CXC1
546414.Deide_05700	C1D0N4
546414.Deide_17080	C1CWW2
546414.Deide_08620	C1D1L2
546414.Deide_04140	C1CZY8
546414.Deide_05330	C1D0J7
546414.Deide_04950	C1D0F6
546414.Deide_04960	C1D0F7
546414.Deide_17340	C1CWY8
546414.Deide_11310	C1CV18
546414.Deide_15140	C1CWA3
546414.Deide_20930	C1CYT8
546414.Deide_15910	C1CWI8
546414.Deide_05580	C1D0M2
546414.Deide_12520	C1CVF4
546414.Deide_01510	C1CYD9
546414.Deide_12910	C1CVJ5
546414.Deide_09180	C1D1S1
546414.Deide_15220	C1CWB4
546414.Deide_15230	C1CWB5
546414.Deide_10370	C1CUQ9
546414.Deide_06380	C1D0V9
546414.Deide_16830	C1CWT7
546414.Deide_03030	C1CZ84
546414.Deide_18740	C1CXE5
546414.Deide_22220	C1CZK3
546414.Deide_06660	C1D0Z6
546414.Deide_12400	C1CVE0
546414.Deide_01300	C1CYB4
546414.Deide_20240	C1CY73
546414.Deide_19790	C1CY25
546414.Deide_21090	C1CYV3
546414.Deide_23420	C1D0A9
546414.Deide_14680	C1CW54
546414.Deide_08661	C1D1L7
546414.Deide_18010	C1CX71
546414.Deide_14550	C1CW40
546414.Deide_07830	C1D1C3
546414.Deide_04740	C1D0D5
546414.Deide_19360	C1CXX6
546414.Deide_05100	C1D0H2
546414.Deide_05160	C1D0H8
546414.Deide_05170	C1D0H9
546414.Deide_05190	C1D0I1
546414.Deide_12270	C1CVC5
546414.Deide_18280	C1CX98
546414.Deide_08220	C1D1G6
546414.Deide_06601	C1D0Z0
