9615.ENSCAFP00000014770	Q5IFP1
9615.ENSCAFP00000041578	Q6Q7P4
9615.ENSCAFP00000037035	Q6XXX9
9615.ENSCAFP00000019638	P11614
9615.ENSCAFP00000043222	Q60F97
9615.ENSCAFP00000012583	Q28280
9615.ENSCAFP00000015121	P11616
9615.ENSCAFP00000020374	P11617
9615.ENSCAFP00000026712	Q6W3F4
9615.ENSCAFP00000031533	Q28309
9615.ENSCAFP00000021562	Q7YR70
9615.ENSCAFP00000036568	Q9TQX6
9615.ENSCAFP00000017975	P11613
9615.ENSCAFP00000023597	O18840
9615.ENSCAFP00000014989	P61162
9615.ENSCAFP00000012820	O77621
9615.ENSCAFP00000043083	P11615
9615.ENSCAFP00000017783	P30803
9615.ENSCAFP00000013079	P30804
9615.ENSCAFP00000011183	O77559
9615.ENSCAFP00000035025	P79148
9615.ENSCAFP00000027094	P54833
9615.ENSCAFP00000009245	O02662
9615.ENSCAFP00000040421	P43240
9615.ENSCAFP00000020480	Q75W64
9615.ENSCAFP00000023700	Q5VK71
9615.ENSCAFP00000026805	A3RF36
9615.ENSCAFP00000004489	P49822
9615.ENSCAFP00000029242	O18873
9615.ENSCAFP00000029233	O18874
9615.ENSCAFP00000017681	P79143
9615.ENSCAFP00000025783	Q8HY67
9615.ENSCAFP00000024499	Q9TT90
9615.ENSCAFP00000024316	P16859
9615.ENSCAFP00000024318	P07499
9615.ENSCAFP00000000993	Q60FC1
9615.ENSCAFP00000012670	A0A8J8
9615.ENSCAFP00000001437	Q29471
9615.ENSCAFP00000024537	Q6TEQ7
9615.ENSCAFP00000004907	P50994
9615.ENSCAFP00000021307	P58027
9615.ENSCAFP00000021330	Q7YRB7
9615.ENSCAFP00000003144	Q76HI7
9615.ENSCAFP00000013540	Q7YRF1
9615.ENSCAFP00000009806	Q9GL23
9615.ENSCAFP00000019630	P02648
9615.ENSCAFP00000018988	E2RAK7
9615.ENSCAFP00000019615	E2RE76
9615.ENSCAFP00000032584	P56595
9615.ENSCAFP00000037541	P12278
9615.ENSCAFP00000019635	P12279
9615.ENSCAFP00000006888	P18649
9615.ENSCAFP00000016597	P33703
9615.ENSCAFP00000032282	Q1PCT2
9615.ENSCAFP00000002638	P61797
9615.ENSCAFP00000004614	Q9N2J4
9615.ENSCAFP00000039918	P79144
9615.ENSCAFP00000035976	Q865S3
9615.ENSCAFP00000037005	E2R9X2
9615.ENSCAFP00000017366	Q28281
9615.ENSCAFP00000016319	Q32KH9
9615.ENSCAFP00000016435	Q32KH8
9615.ENSCAFP00000026778	Q32KH7
9615.ENSCAFP00000011713	Q32KH0
9615.ENSCAFP00000030238	Q8HYV8
9615.ENSCAFP00000034367	Q5UK76
9615.ENSCAFP00000016776	P62286
9615.ENSCAFP00000038629	P50997
