7955.ENSDARP00000027118	Q5PRD0
7955.ENSDARP00000101100	Q7T356
7955.ENSDARP00000074935	Q6PC29
7955.ENSDARP00000099721	Q6NY64
7955.ENSDARP00000091014	Q5U3F8
7955.ENSDARP00000060989	Q98TT6
7955.ENSDARP00000124389	Q7SYN4
7955.ENSDARP00000051081	Q6AZW2
7955.ENSDARP00000119785	Q568L5
7955.ENSDARP00000118280	Q7ZVB2
7955.ENSDARP00000053867	Q802W2
7955.ENSDARP00000105653	Q8JG70
7955.ENSDARP00000071372	Q8JG69
7955.ENSDARP00000002180	A3QK15
7955.ENSDARP00000036675	Q502H1
7955.ENSDARP00000011878	Q6DEJ5
7955.ENSDARP00000075766	Q7ZVZ7
7955.ENSDARP00000117778	Q6PFT9
7955.ENSDARP00000073658	Q56A55
7955.ENSDARP00000095479	Q08C93
7955.ENSDARP00000035450	Q802V6
7955.ENSDARP00000067326	Q05AK6
7955.ENSDARP00000091982	Q6DRD9
7955.ENSDARP00000076697	Q32LS6
7955.ENSDARP00000075671	Q1LV46
7955.ENSDARP00000062930	Q6TGV7
7955.ENSDARP00000117266	Q502L1
7955.ENSDARP00000075696	A5WV69
7955.ENSDARP00000057641	Q4V8X4
7955.ENSDARP00000120885	Q568I2
7955.ENSDARP00000052988	Q9DDE3
7955.ENSDARP00000021860	Q98880
7955.ENSDARP00000081474	Q0P4F7
7955.ENSDARP00000118390	Q5RG49
7955.ENSDARP00000054986	Q7ZVI7
7955.ENSDARP00000122263	Q7ZVF9
7955.ENSDARP00000068606	A8KB34
7955.ENSDARP00000052906	Q6DHI0
7955.ENSDARP00000108439	Q6DHQ3
7955.ENSDARP00000059868	Q90WY4
7955.ENSDARP00000110714	Q90WY5
7955.ENSDARP00000101388	Q90WY6
7955.ENSDARP00000067287	Q4V9P6
7955.ENSDARP00000061472	Q5RIV4
7955.ENSDARP00000018770	Q8JFW4
7955.ENSDARP00000005284	Q6DG22
7955.ENSDARP00000024635	Q5RGU1
7955.ENSDARP00000013965	A3QJU3
7955.ENSDARP00000094804	A1A5X5
7955.ENSDARP00000096471	Q7T291
7955.ENSDARP00000110701	Q6NZ09
7955.ENSDARP00000088240	Q08C57
7955.ENSDARP00000022060	Q7SXV2
7955.ENSDARP00000096429	Q4V8Y7
7955.ENSDARP00000095520	A3KQS5
7955.ENSDARP00000011155	Q7ZW00
7955.ENSDARP00000086246	A3KPK0
7955.ENSDARP00000094251	Q5RZ65
7955.ENSDARP00000026849	Q6PBN2
7955.ENSDARP00000080415	Q1L8G6
