7460.GB18323-PA	P15450
7460.GB19738-PA	P15856
7460.GB12546-PA	Q5BLY5
7460.GB19783-PA	P83563
7460.GB30252-PA	P85797
7460.GB15018-PA	P56682
7460.GB18161-PA	P01500
7460.GB17782-PA	P35581
7460.GB13473-PB	Q06602
7460.GB19071-PB	P85829
7460.GB11959-PB	A2VB89
7460.GB18730-PA	C9D7C2
7460.GB17245-PA	Q5DW47
7460.GB19293-PA	P00038
7460.GB10036-PA	Q5MQL3
7460.GB30228-PA	P17722
7460.GB17064-PA	P85830
7460.GB11994-PA	Q1L6Q1
7460.GB10560-PA	P19039
7460.GB12207-PA	P0CY46
7460.GB16259-PA	P15858
7460.GB12880-PA	P31508
7460.GB10820-PA	B2D0J5
7460.GB20104-PA	P91849
7460.GB18552-PA	P15857
7460.GB15566-PB	P09076
7460.GB11694-PA	P09075
7460.GB18543-PA	Q08169
7460.GB19977-PA	P31504
7460.GB17538-PA	Q10416
7460.GB10973-PA	O61367
7460.GB16053-PA	P31507
7460.GB15055-PA	P09355
7460.GB19017-PA	Q17058
7460.GB17328-PA	Q95YM8
7460.GB13285-PA	P01499
7460.GB10355-PA	P01501
7460.GB14888-PA	O18330
7460.GB16246-PA	O77061
7460.GB16459-PA	Q17060
7460.GB11768-PA	Q17061
7460.GB10622-PA	O97432
7460.GB14259-PA	P85527
7460.GB19297-PA	H9KQJ7
7460.GB13493-PA	P90680
7460.GB19657-PA	Q17053
7460.GB18171-PA	O61303
7460.GB11752-PA	P85832
7460.GB13351-PA	P00630
7460.GB18468-PA	A8CL69
7460.GB19117-PA	A2VB90
7460.GB13380-PA	Q6QEJ7
7460.GB13218-PA	P85798
7460.GB10356-PA	P85799
7460.GB14512-PA	P85828
7460.GB18206-PA	P85831
7460.GB10903-PA	Q8WRF3
7460.GB13741-PA	O76756
7460.GB13491-PA	P15859
7460.GB15549-PA	P86905
7460.GB11552-PA	Q8MQS8
7460.GB12290-PA	Q868G6
7460.GB16316-PA	A8J4S9
7460.GB14710-PA	C9WMM5
7460.GB14496-PA	B2D0J4
7460.GB13999-PA	Q868N5
7460.GB18520-PA	R4U385
7460.GB18520-PA	R4TW30
7460.GB18520-PA	R4U7N3
7460.GB11566-PA	G8FU54
7460.GB16894-PA	Q1W644
7460.GB30403-PA	F8J1L0
7460.GB15460-PA	Q1W633
7460.GB11412-PA	D9MX52
7460.GB15483-PA	H9KEI2
7460.GB20104-PA	H9KL77
7460.GB19405-PA	Q7YU97
7460.GB16752-PA	Q6TLC7
7460.GB13022-PA	B7ZKE3
7460.GB10211-PA	A4GKG5
7460.GB16007-PA	D2U6U8
7460.GB17819-PA	A0EIZ8
7460.GB11211-PA	B4F7K7
7460.GB15866-PA	Q1W643
7460.GB30242-PA	Q1W647
7460.GB11515-PA	A1XDA8
7460.GB17818-PA	B6V6A0
7460.GB12348-PA	B6V6A3
7460.GB13325-PA	Q3LBA4
7460.GB13938-PA	Q1W645
7460.GB13633-PA	Q27SJ7
7460.GB11299-PA	X2JFT9
7460.GB20021-PA	Q5UAF0
7460.GB12115-PA	Q5KSL4
7460.GB16959-PA	C3VMN1
7460.GB16324-PA	Q4ZJX1
7460.GB15790-PA	Q76L94
7460.GB18426-PA	A8WEC0
7460.GB10708-PA	G9F9Z6
7460.GB16826-PA	Q1W638
7460.GB15327-PA	Q76LA5
7460.GB19695-PA	H9KRP4
7460.GB14639-PA	Q6TGR0
7460.GB20117-PA	B0LUE8
7460.GB16857-PA	Q1XBG3
7460.GB30211-PB	Q86DH6
7460.GB16377-PA	Q9XZJ1
7460.GB16459-PA	D3Y5T0
7460.GB10869-PA	Q6J4Q1
7460.GB11889-PA	A0A088A0N5
7460.GB13484-PA	I7LST5
7460.GB18518-PA	Q6QHT2
7460.GB16648-PA	Q9NG48
7460.GB10526-PA	A0A088AF37
7460.GB19783-PA	Q27SJ8
7460.GB11169-PA	A1A685
7460.GB15177-PA	Q58NA4
7460.GB18762-PA	C6YBD0
7460.GB18527-PA	H9KNB7
7460.GB14460-PA	Q15KK9
7460.GB19336-PA	Q2YD66
7460.GB17499-PA	Q6VQ13
7460.GB14804-PA	Q2PZC2
7460.GB17931-PA	D9MWM7
7460.GB19242-PA	Q3LBA6
7460.GB16337-PA	Q147S1
7460.GB18363-PA	Q1W641
7460.GB17875-PA	Q3LBA7
7460.GB18047-PA	A1X3A8
7460.GB10015-PA	A0A088ACX2
7460.GB13299-PA	Q1W642
7460.GB18913-PA	J7ETA9
7460.GB11135-PA	Q8WRW5
7460.GB12948-PA	H9K759
7460.GB19453-PA	Q3LBA8
7460.GB19585-PA	B6V6A1
7460.GB13594-PA	I7KJQ1
7460.GB11637-PB	Q1MU16
7460.GB18552-PA	B0M288
7460.GB11774-PA	Q5TLD7
7460.GB13613-PA	A6YLP8
7460.GB14620-PA	H9K244
7460.GB11092-PA	Q1W637
7460.GB18313-PA	Q86MV4
7460.GB18819-PA	Q8I6X7
7460.GB12522-PA	H9K5X4
7460.GB16049-PA	U3KR34
7460.GB17991-PA	Q9NG02
7460.GB10389-PA	Q0MRM3
7460.GB10623-PA	G8FU59
7460.GB12607-PA	Q25BT8
7460.GB19657-PA	Q2YD67
7460.GB18010-PA	Q5FAN1
7460.GB20134-PA	Q9U9J5
7460.GB15371-PA	R4U1C4
7460.GB13999-PA	G5D451
7460.GB11031-PA	G5D1J0
7460.GB19870-PA	G5D4M9
7460.GB15688-PA	R4U342
7460.GB15688-PA	R4TVW6
7460.GB16868-PA	D9MZC7
7460.GB13999-PA	G5D338
7460.GB13999-PA	G5D3I0
7460.GB13999-PA	G5D3Q1
7460.GB14690-PA	G5D4G9
7460.GB12344-PA	R4TU15
7460.GB18394-PA	G5D186
7460.GB11031-PA	G5D1C4
7460.GB11031-PA	G5D1F4
7460.GB13999-PA	G5D355
7460.GB13999-PA	G5D388
7460.GB13999-PA	G5D3D9
7460.GB13999-PA	G5D3G4
7460.GB13999-PA	G5D499
7460.GB13999-PA	G5D4D8
7460.GB15371-PA	R4U7V3
7460.GB17050-PA	I2CJC7
7460.GB13999-PA	G5D395
7460.GB13999-PA	G5D3V4
7460.GB13999-PA	G5D491
7460.GB11031-PA	G5D1M3
7460.GB13999-PA	G5D3R1
7460.GB17888-PA	I2CKS6
7460.GB11031-PA	G5D2D1
7460.GB17050-PA	I2CJG2
7460.GB13727-PA	A8CMG8
7460.GB18394-PA	G5D0N0
7460.GB13999-PA	G5D3I9
7460.GB13999-PA	G5D309
7460.GB13999-PA	G5D4C2
7460.GB15485-PA	G5D4J6
7460.GB13999-PA	G5D3G1
7460.GB13999-PA	G5D3K6
7460.GB11031-PA	G5D199
7460.GB12200-PA	Q2YD70
7460.GB11031-PA	G5D2G8
7460.GB11031-PA	G5D2C8
7460.GB11031-PA	G5D1F0
7460.GB18394-PA	G5D0K2
7460.GB14690-PA	G5D4G1
7460.GB18394-PA	G5D0Q7
7460.GB13999-PA	G5D3H3
7460.GB13999-PA	G5D3L7
7460.GB13999-PA	G5D378
7460.GB13999-PA	G5D376
7460.GB13999-PA	G5D365
7460.GB18921-PA	I2CJS2
7460.GB18447-PB	I2CK12
7460.GB13999-PA	G5D3L9
7460.GB18394-PA	G5D0E2
7460.GB13999-PA	G5D342
7460.GB13999-PA	G5D4B5
7460.GB14867-PA	Q6VMG8
7460.GB20077-PA	G5D4X4
7460.GB11031-PA	G5D2S2
7460.GB19870-PA	I2CLG1
7460.GB18426-PA	A8D440
7460.GB13999-PA	G5D3C5
7460.GB13999-PA	G5D324
7460.GB13999-PA	G5D2U6
7460.GB18767-PA	R4U6R1
7460.GB18520-PA	R4UA35
7460.GB12344-PA	R4U5P9
7460.GB12636-PA	D3XL75
7460.GB13884-PA	I2CL05
7460.GB18394-PA	G5D0P6
7460.GB13999-PA	G5D419
7460.GB13999-PA	G5D3Z6
7460.GB13999-PA	G5D3A1
7460.GB13999-PA	G5D468
7460.GB18394-PA	G5D178
7460.GB13999-PA	G5D423
7460.GB14690-PA	G5D4G0
7460.GB13999-PA	G5D3A6
7460.GB13999-PA	G5D4C4
7460.GB11031-PA	G5D1A3
7460.GB13999-PA	G5D3Z3
7460.GB19870-PA	G5D4Q9
7460.GB11031-PA	G5D1G6
7460.GB18394-PA	G5D0S0
7460.GB14690-PA	G5D4H8
7460.GB15371-PA	R4TRV8
7460.GB19066-PA	R4TTH2
7460.GB10231-PA	R4TTS3
7460.GB18520-PA	R4U3B6
7460.GB13999-PA	G5D3M6
7460.GB18767-PA	R4TSP8
7460.GB19961-PA	R4U544
7460.GB14690-PA	G5D4H3
7460.GB18313-PA	R4TUZ6
7460.GB14044-PA	R4TVT4
7460.GB16970-PA	R4TUL6
7460.GB13999-PA	G5D449
7460.GB15485-PA	G5D4K8
7460.GB13999-PA	G5D319
7460.GB18394-PA	G5D0P4
7460.GB13999-PA	G5D3H6
7460.GB17888-PA	I2CKR1
7460.GB14349-PA	H9KB88
7460.GB13999-PA	G5D2V0
7460.GB13999-PA	G5D3D4
7460.GB13999-PA	G5D393
7460.GB13999-PA	G5D3Y9
7460.GB11438-PA	I2CL77
7460.GB14690-PA	I2CLW0
7460.GB15485-PA	G5D4L2
7460.GB13999-PA	G5D3J3
7460.GB18394-PA	G5D125
7460.GB13999-PA	G5D4C7
7460.GB13999-PA	G5D3Y4
7460.GB13999-PA	G5D2V8
7460.GB13598-PA	I2CKF5
7460.GB19870-PA	I2CLE7
7460.GB13999-PA	G5D3S9
7460.GB15169-PA	I2CJP2
7460.GB17888-PA	I2CKS0
7460.GB11031-PA	G5D1W5
7460.GB13999-PA	G5D350
7460.GB18394-PA	G5D095
7460.GB13999-PA	G5D3T1
7460.GB13999-PA	G5D479
7460.GB11167-PA	Q6Q081
7460.GB13999-PA	G5D3I6
7460.GB15485-PA	G5D4K4
7460.GB17050-PA	I2CJE5
7460.GB11031-PA	G5D2C2
7460.GB13999-PA	G5D3K7
7460.GB15485-PA	G5D4J9
7460.GB18394-PA	G5D0Q0
7460.GB11502-PA	I2CLA0
7460.GB13999-PA	G5D3F7
7460.GB11031-PA	G5D1H7
7460.GB13999-PA	G5D3L2
7460.GB15688-PA	R4U359
7460.GB14044-PA	R4TVR0
7460.GB13999-PA	G5D4D6
7460.GB13999-PA	G5D302
7460.GB15485-PA	G5D4M6
7460.GB11031-PA	G5D1H6
7460.GB13999-PA	G5D3X9
7460.GB15485-PA	G5D4L0
7460.GB18394-PA	G5D140
7460.GB13999-PA	G5D3E6
7460.GB13999-PA	G5D3E9
7460.GB13999-PA	G5D3K4
7460.GB18426-PA	A8WEC1
7460.GB13999-PA	G5D3H2
7460.GB11031-PA	G5D1P0
7460.GB11031-PA	G8HBR9
7460.GB19870-PA	I2CLJ0
7460.GB13999-PA	G5D3B0
7460.GB13999-PA	G5D457
7460.GB13999-PA	G5D3G0
7460.GB14690-PA	G5D4F8
7460.GB20077-PA	G5D4W3
7460.GB13999-PA	G5D2W8
7460.GB13999-PA	G5D3E4
7460.GB13999-PA	G5D4B2
7460.GB13999-PA	G5D359
7460.GB15485-PA	G5D4J2
7460.GB11031-PA	G5D1B5
7460.GB15485-PA	G5D4L6
7460.GB18394-PA	G5D0J9
7460.GB18394-PA	G5D0M4
7460.GB13999-PA	G5D445
7460.GB14690-PA	G5D4I3
7460.GB19870-PA	I2CLI7
7460.GB12344-PA	R4U5J8
7460.GB13999-PA	G5D2W6
7460.GB11031-PA	G5D1E4
7460.GB18394-PA	G5D0T4
7460.GB20077-PA	G5D4Y5
7460.GB13999-PA	G5D2V1
7460.GB14690-PA	G5D4F1
7460.GB13999-PA	G5D437
7460.GB13999-PA	G5D4A7
7460.GB20077-PA	G5D4Y4
7460.GB18767-PA	R4TSX9
7460.GB16868-PA	Q2F402
7460.GB11031-PA	G5D239
7460.GB20077-PA	G5D4Y6
7460.GB11031-PA	G5D2Q4
7460.GB19870-PA	G5D4N6
7460.GB11031-PA	G5D1M7
7460.GB13999-PA	G5D418
7460.GB13999-PA	G5D430
7460.GB20077-PA	G5D4Z3
7460.GB11031-PA	G5D1F1
7460.GB11031-PA	G5D272
7460.GB11031-PA	G8HBP7
7460.GB18767-PA	R4TV71
7460.GB17188-PA	R4U1E2
7460.GB11031-PA	G5D1C1
7460.GB13999-PA	G5D463
7460.GB13999-PA	G5D4A2
