158878.SAV2344	P65414
158878.SAV0725	P66840
158878.SAV1511	Q931R3
158878.SAVP026	P0A0C0
158878.SAVP026	P0A0C1
158878.SAV1700	Q99TG3
158878.SAV1701	Q99TG2
158878.SAV1711	Q931P6
158878.SAV1350	P63433
158878.SAV2071	P63468
158878.SAV1232	P0A001
158878.SAV1735	P64375
158878.SAV1404	Q99U83
158878.SAV0967	Q99VC3
158878.SAV0966	Q99VC4
158878.SAV0605	Q99W07
158878.SAV2039	Q931H9
158878.SAV2036	P61636
158878.SAV0381	P0A0B5
158878.SAV0380	P66012
158878.SAV2122	Q99SD6
158878.SAV0167	Q99X54
158878.SAV2606	P67472
158878.SAV2125	P67477
158878.SAV2070	P63479
158878.SAV1399	P63482
158878.SAV1635	P68778
158878.SAV0552	P63549
158878.SAV2635	P63553
158878.SAV1170	Q99UU0
158878.SAV2632	P63555
158878.SAV2631	Q99R06
158878.SAV0182	P63559
158878.SAV0184	P63564
158878.SAV2164	P60087
158878.SAV0183	P63575
158878.SAV1520	P63579
158878.SAV1415	P0C000
158878.SAV1414	Q7A2R7
158878.SAV0960	P63582
158878.SAV1464	P63584
158878.SAV1465	P63617
158878.SAV1466	P63613
158878.SAV0829	P63586
158878.SAV1596	P63593
158878.SAV1538	P63605
158878.SAV1774	P63619
158878.SAV2182	P0A0P6
158878.SAV0961	P63644
158878.SAV2077	Q99SH9
158878.SAV0072	P0A056
158878.SAV0072	P0A058
158878.SAV0073	P0A007
158878.SAV2076	P63683
158878.SAV2075	P65213
158878.SAV0074	P0A059
158878.SAV0074	P0A060
158878.SAV1052	Q931U5
158878.SAV2109	Q99SE9
158878.SAV2105	P63675
158878.SAV2103	P63679
158878.SAV2106	P63658
158878.SAV2102	P63664
158878.SAV2107	Q99SF1
158878.SAV2104	Q99SF4
158878.SAV2108	Q99SF0
158878.SAV0762	Q99VL4
158878.SAV2555	Q7A2K9
158878.SAV0560	Q99W49
158878.SAV0211	Q932K5
158878.SAV2612	P60336
158878.SAV2425	Q99RK7
158878.SAV2423	P67549
158878.SAV0034	Q99XE5
158878.SAV0034	Q7DJ53
158878.SAV1407	Q99U80
158878.SAV1306	P64290
158878.SAV0126	P66775
158878.SAV2584	Q99R54
158878.SAV2664	P63858
158878.SAV1202	P63729
158878.SAV1203	P63739
158878.SAV1334	Q99UE2
158878.SAV1457	Q99U32
158878.SAV1736	P67655
158878.SAV0970	Q99VC0
158878.SAV1261	Q99UL1
158878.SAV2030	P0A012
158878.SAV2029	P63766
158878.SAV2541	P60645
158878.SAV2540	P60637
158878.SAV0811	Q932C5
158878.SAV2630	Q99R07
158878.SAV0975	Q99VB5
158878.SAV0525	Q99W78
158878.SAV2548	Q99R88
158878.SAV0768	P63785
158878.SAV1674	P63789
158878.SAV2088	P63800
158878.SAV1125	P63818
158878.SAV1688	P63830
158878.SAV2130	Q99SC8
158878.SAV1255	P63843
158878.SAV2557	Q99R80
158878.SAV2558	Q99R79
158878.SAV1116	Q99UY7
158878.SAV1783	P61382
158878.SAV1784	P61383
158878.SAV2562	Q99R75
158878.SAV2561	Q99R76
158878.SAV2565	Q99R72
158878.SAV2564	Q99R73
158878.SAV2563	Q99R74
158878.SAV0844	P63518
158878.SAV2081	Q99SH6
158878.SAV1402	Q7A2R8
158878.SAV1115	Q7A2S8
158878.SAV1420	Q99U67
158878.SAV0522	Q99W81
158878.SAV1391	Q99U93
158878.SAV1429	Q931R7
158878.SAV0529	P67764
158878.SAV0513	P63870
158878.SAV1750	P63511
158878.SAV1898	Q99SY8
158878.SAV1395	P63947
158878.SAV1396	P63893
158878.SAV2006	Q931I4
158878.SAV1397	Q7A2S0
158878.SAV1473	Q99U17
158878.SAV1834	P67419
158878.SAV2083	P63891
158878.SAV1215	P63921
158878.SAV1091	P68825
158878.SAV0139	P63925
158878.SAV0138	P61108
158878.SAV2137	P61084
158878.SAV1475	P64059
158878.SAV1439	P63478
158878.SAV1709	Q931P7
158878.SAV0958	Q99VD0
158878.SAV0514	P64141
158878.SAV1455	Q99U34
158878.SAV1096	P0A0E6
158878.SAV0932	P68876
158878.SAV0934	P0A018
158878.SAV0001	P68865
158878.SAV1562	P63964
158878.SAV1579	P63970
158878.SAV1580	P64407
158878.SAV1904	Q99SY3
158878.SAV1703	P63979
158878.SAV0002	P0A022
158878.SAV1264	P63981
158878.SAV1895	P63991
158878.SAV2688	Q99QV3
158878.SAV1633	P0A025
158878.SAV0089	P67716
158878.SAV1426	P0A016
158878.SAV1434	Q931R6
158878.SAV1435	Q99U53
158878.SAV1481	Q99U09
158878.SAV1481	Q53630
158878.SAV2222	Q99S47
158878.SAV2221	Q99S48
158878.SAV0343	Q99WN4
158878.SAV0547	P68788
158878.SAV1528	P64038
158878.SAV1257	P64054
158878.SAV0548	P64028
158878.SAV0813	Q99VJ2
158878.SAV1557	P63537
158878.SAV1673	P64070
158878.SAV0776	P64078
158878.SAV2009	P34071
158878.SAV2009	P0A0L3
158878.SAV2009	P0A0L5
158878.SAV1567	P64084
158878.SAV1655	P0A0H1
158878.SAV1655	P0A0H3
158878.SAV0283	Q99WU3
158878.SAV0285	Q99WU1
158878.SAV0289	Q99WT8
158878.SAV0284	Q99WU2
158878.SAV0286	Q99WU0
158878.SAV0287	Q932J9
158878.SAV0282	Q99WU4
158878.SAV0290	Q99WT7
158878.SAV1948	P0A0L2
158878.SAV1824	P0A0L6
158878.SAV1824	P0A0L8
158878.SAV1523	P67449
158878.SAV1522	P67460
158878.SAV1717	P64002
158878.SAV2516	Q99RB9
158878.SAV1230	Q99UN8
158878.SAV0984	Q99VA6
158878.SAV1231	P0A0H9
158878.SAV0983	P68795
158878.SAV2098	P64107
158878.SAV1228	P67619
158878.SAV2280	P64120
158878.SAV2309	Q931G2
158878.SAV1374	Q99UA7
