3055.EDO96857	P52908
3055.EDO98923	P53498
3055.EDP01885	P27080
3055.EDP08623	Q8S339
3055.EDO97897	Q42690
3055.EDP05986	A8IEF3
3055.EDP05163	A8INQ0
3055.EDP04612	P14217
3055.DAA00951	P26526
3055.EDP04740	P38482
3055.DAA00958	P06541
3055.EDO97493	Q42687
3055.DAA00924	P07891
3055.DAA00955	Q8HTL5
3055.EDP08312	P12113
3055.DAA00954	Q37304
3055.DAA00962	O63075
3055.EDP00272	A8J785
3055.EDP06418	A8ID74
3055.EDP04241	P20507
3055.EDP04240	P24258
3055.EDP06102	P04352
3055.EDP09399	Q9STD3
3055.EDP09913	Q9ZWM5
3055.EDO98562	P05434
3055.EDP00448	Q93WD2
3055.EDP01611	P14273
3055.EDP04876	A8IQE0
3055.EDP04735	A8IQT2
3055.EDO98958	A8JB22
3055.EDO95734	Q8GTZ9
3055.DAA00929	P48269
3055.DAA00953	Q37050
3055.EDP03967	A8IU92
3055.EDO99120	A8JAF2
3055.EDP01978	A8J1V4
3055.EDP06767	A8I9E8
3055.EDP06555	A8ICS9
3055.EDP05376	A8ILK1
3055.EDP04486	A8IRJ7
3055.EDP00642	A8J666
3055.EDP08857	A8HUA1
3055.EDP04030	A8ITV9
3055.EDP03844	A8IUG5
3055.DAA00906	P36437
3055.EDP04965	Q94FT3
3055.DAA00912	Q00469
3055.DAA00956	P29683
3055.EDP02714	A8IZG4
3055.DAA00910	P42380
3055.AAB93443	P08681
3055.EDP02778	A6Q0K5
3055.EDP04035	Q9LD46
3055.EDP05494	Q9AR22
3055.EDO97463	A8JF71
3055.DAA00911	Q00471
3055.AAB93440	P23662
3055.EDO99527	P08197
3055.EDP00604	P15451
3055.DAA00904	P23577
3055.EDP09771	Q09JZ4
3055.EDP02304	Q7XA07
3055.EDP00400	Q9XF62
3055.EDP06769	Q9XHH2
3055.EDO99088	A8JAM0
3055.EDO96546	Q9SMH3
3055.EDP03736	Q9MBF8
3055.EDP01520	Q39610
3055.EDP01834	Q39565
3055.EDP08405	Q9SMH5
3055.EDO97301	Q39575
3055.EDP03447	Q39578
3055.EDP05451	P27766
3055.EDO96760	Q39580
3055.EDP04502	Q39579
3055.EDP09987	Q39584
3055.EDO98142	Q39591
3055.EDP00552	Q39592
3055.EDP05669	A8IGK2
3055.DAA00908	P17746
3055.EDO96709	P31683
3055.EDP08350	Q08354
3055.EDO95966	Q08356
3055.EDP01507	A8J2Z9
3055.EDP00292	P53991
3055.EDP03827	P07839
3055.EDO97387	P46869
3055.EDP03452	A8IVJ1
3055.EDP09609	P50362
3055.EDO96575	P49644
3055.EDO99650	P25387
3055.EDO96296	P31178
3055.EDP07598	Q42688
3055.EDP03611	Q42689
3055.EDP01896	Q9FPQ6
3055.EDP06633	P83564
3055.EDP00181	Q39566
3055.EDP08720	P50567
3055.EDO98164	P50565
3055.EDP08976	P54345
3055.EDP04649	P54346
3055.EDP08526	P54347
3055.EDP08975	Q42681
3055.EDP08975	Q6LCW8
3055.EDP08975	P50564
3055.EDP08530	P50566
3055.EDP06754	Q42682
3055.EDP07269	P12811
3055.EDO97621	P25840
3055.EDP01599	A1JHN0
3055.EDO97971	Q39604
3055.EDP04848	Q5DM57
3055.EDP09407	A8HME3
3055.EDP08000	B8LIX8
3055.EDP09483	A8HN58
3055.EDP08630	A8HYP5
3055.EDO96191	A2T2X4
3055.EDO99269	A8JA42
3055.EDP08141	Q2XQY7
3055.EDP09301	Q6RCE1
3055.EDP00479	Q68RJ5
3055.EDP06356	Q93Y52
3055.EDP02064	Q949J1
3055.EDP06592	P46870
3055.EDP02974	P19824
3055.EDO97051	A8JGF7
3055.EDP07358	A8I2V9
3055.EDP00859	Q9FNS4
3055.EDO96543	Q42686
3055.EDP08638	A8HYU5
3055.EDO96035	A8JJB2
3055.EDO99355	A6YCJ2
3055.EDP01015	Q8W1K8
3055.EDP08046	Q9LEM8
3055.AAB93446	P11658
3055.AAB93444	P08740
3055.AAB93441	P20113
3055.AAB93442	P08739
3055.AAB93445	P10329
3055.EDO97433	A8JF70
3055.EDP00231	A8J6X7
3055.EDO98904	A8JBB2
3055.DAA00905	P23230
3055.DAA00946	Q08362
3055.DAA00968	P50369
3055.EDP03032	Q42496
3055.EDO99536	P0C1D4
3055.EDO96861	Q9LLC6
3055.EDP00902	B5BUZ8
3055.EDP09457	P37836
3055.EDO98586	P41758
3055.EDO96805	P18068
3055.EDP03649	A8IW99
3055.EDP09202	Q39617
3055.EDP08368	Q94EY1
3055.DAA01471	P12154
3055.DAA00949	P09144
3055.DAA00967	Q00914
3055.EDO99874	Q39615
3055.EDP06390	P12352
3055.EDP00906	P12356
3055.EDO96591	P14224
