243159.AFE_1462	B7JA39
243159.AFE_1404	B7J9K5
243159.AFE_1909	B7JC10
243159.AFE_2818	B7J911
243159.AFE_2201	B7J5I9
243159.AFE_0181	B7J3S7
243159.AFE_2738	B7J8G8
243159.AFE_3073	B7JAI2
243159.AFE_0901	B7J781
243159.AFE_0733	B7J629
243159.AFE_1972	B7JC67
243159.AFE_2857	B7J950
243159.AFE_3205	B7JB86
243159.AFE_3206	B7JB87
243159.AFE_3207	B7JB88
243159.AFE_3204	B7JB85
243159.AFE_3208	B7JB89
243159.AFE_0259	B7J403
243159.AFE_0243	B7J3Y7
243159.AFE_0543	B7J562
243159.AFE_0542	B7J561
243159.AFE_0911	B7J791
243159.AFE_2926	B7J9Q0
243159.AFE_3122	B7JAM6
243159.AFE_2358	B7J6C4
243159.AFE_1819	B7JBS5
243159.AFE_2660	B7J7X4
243159.AFE_1937	B7JC34
243159.AFE_2664	B7J7X8
243159.AFE_2665	B7J7X9
243159.AFE_0757	B7J653
243159.AFE_1450	B7J9P7
243159.AFE_0324	B7J464
243159.AFE_0851	B7J6R6
243159.AFE_1445	B7J9P2
243159.AFE_0849	B7J6R4
243159.AFE_3067	B7JAH6
243159.AFE_2959	B7J9T2
243159.AFE_0020	B7J3C1
243159.AFE_1877	B7JBX9
243159.AFE_2758	B7J8I7
243159.AFE_2112	B7J4X0
243159.AFE_3201	B7JB82
243159.AFE_0295	B7J439
243159.AFE_2126	B7J4Y4
243159.AFE_2666	B7J7Y0
243159.AFE_3303	B7JBI1
243159.AFE_3300	B7JBH8
243159.AFE_0923	B7J7A0
243159.AFE_3040	B7JA13
243159.AFE_3045	B7JA18
243159.AFE_3046	B7JA19
243159.AFE_3043	B7JA16
243159.AFE_0677	B7J5X3
243159.AFE_2748	B7J8H7
243159.AFE_3158	B7JAR2
243159.AFE_3287	B7JBG5
243159.AFE_0747	B7J643
243159.AFE_0370	B7J4C0
243159.AFE_1933	B7JC30
243159.AFE_3258	B7JBD6
243159.AFE_0848	B7J6R3
243159.AFE_0491	B7J514
243159.AFE_1753	B7JBL0
243159.AFE_1397	B7J9J8
243159.AFE_0624	B7J5E0
243159.AFE_0626	B7J5S3
243159.AFE_1868	B7JBX0
243159.AFE_2570	B7J7N7
243159.AFE_0223	B7J3W7
243159.AFE_0489	B7J512
243159.AFE_0288	B7J432
243159.AFE_0532	B7J551
243159.AFE_0293	B7J437
243159.AFE_1928	B7JC25
243159.AFE_0596	B7J5B2
243159.AFE_0011	B7J3B2
243159.AFE_0680	B7J5X6
243159.AFE_3214	B7JB95
243159.AFE_0209	B7J3V5
243159.AFE_0215	B7J3W1
243159.AFE_3039	B7JA12
243159.AFE_0205	B7J3V1
243159.AFE_0206	B7J3V2
243159.AFE_2948	B7J9S1
243159.AFE_0451	B7J4J4
243159.AFE_1929	B7JC26
243159.AFE_2205	B7J5J3
243159.AFE_1522	B7JA99
243159.AFE_1504	B7JA81
243159.AFE_0460	B7J4K3
243159.AFE_0296	B7J440
243159.AFE_2411	B7J6H2
243159.AFE_2628	B7J7U3
243159.AFE_2620	B7J7T5
243159.AFE_2617	B7J7T2
243159.AFE_0283	B7J427
243159.AFE_1771	B7JBM8
243159.AFE_1770	B7JBM7
243159.AFE_0165	B7J3R1
243159.AFE_1403	B7J9K4
243159.AFE_3250	B7JBC8
243159.AFE_0395	B7J4D8
243159.AFE_2146	B7J502
243159.AFE_2355	B7J6C1
243159.AFE_2260	B7J5P7
243159.AFE_3059	B7JAG8
243159.AFE_2264	B7J5Q1
243159.AFE_0847	B7J6R2
243159.AFE_0752	B7J648
243159.AFE_0392	B7J4D5
243159.AFE_1691	B7JB30
243159.AFE_3051	B7JA24
243159.AFE_1690	P28896
243159.AFE_0932	B7J7A9
243159.AFE_1402	B7J9K3
243159.AFE_1921	B7JC18
243159.AFE_0933	B7J7B0
243159.AFE_0479	B7J4M2
243159.AFE_0127	B7J3M4
243159.AFE_0389	B7J4D2
243159.AFE_0300	B7J444
243159.AFE_0317	B7J457
243159.AFE_0315	B7J455
243159.AFE_3075	B7JAI4
243159.AFE_0337	B7J477
243159.AFE_0346	B7J486
243159.AFE_0334	B7J474
243159.AFE_0355	B7J4A5
243159.AFE_0343	B7J483
