7227.FBpp0087084	P32234
7227.FBpp0082370	P81928
7227.FBpp0082987	P92177
7227.FBpp0087500	P29310
7227.FBpp0077928	P16909
7227.FBpp0297239	P36179
7227.FBpp0081665	P36872
7227.FBpp0290722	Q9V785
7227.FBpp0085821	Q9V8M5
7227.FBpp0085697	Q9V8R9
7227.FBpp0085108	P20905
7227.FBpp0085761	P28285
7227.FBpp0303089	P28286
7227.FBpp0072168	Q9W197
7227.FBpp0072036	P27091
7227.FBpp0070368	P41572
7227.FBpp0073235	Q9VZ64
7227.FBpp0073249	P13368
7227.FBpp0082035	P16375
7227.FBpp0082035	P16376
7227.FBpp0079321	O46197
7227.FBpp0079747	O46203
7227.FBpp0079854	O46227
7227.FBpp0080607	Q9V3R1
7227.FBpp0080699	P18487
7227.FBpp0298292	P14599
7227.FBpp0086228	O46199
7227.FBpp0072255	P91927
7227.FBpp0072820	O46202
7227.FBpp0073038	O46200
7227.FBpp0070269	O46341
7227.FBpp0075572	P05623
7227.FBpp0074805	Q9VVW1
7227.FBpp0083946	P16548
7227.FBpp0078929	Q9VM95
7227.FBpp0082829	P29555
7227.FBpp0082826	P09087
7227.FBpp0300634	Q24093
7227.FBpp0303166	P00522
7227.FBpp0304816	Q24174
7227.FBpp0076520	Q9VSA3
7227.FBpp0303611	Q9VIP7
7227.FBpp0076624	P42281
7227.FBpp0305608	Q9VLJ6
7227.FBpp0289713	P07140
7227.FBpp0080129	Q10714
7227.FBpp0303342	P09478
7227.FBpp0084023	P17644
7227.FBpp0073155	P04755
7227.FBpp0084061	P25162
7227.FBpp0072275	P16395
7227.FBpp0088517	Q7KML2
7227.FBpp0099967	O46204
7227.FBpp0078067	Q9VP61
7227.FBpp0088615	Q9VLL0
7227.FBpp0100124	P10987
7227.FBpp0085365	P02572
7227.FBpp0071448	P53501
7227.FBpp0078131	P02574
7227.FBpp0082253	P10981
7227.FBpp0082597	P83967
7227.FBpp0070331	P18091
7227.FBpp0086174	P45891
7227.FBpp0082121	P45889
7227.FBpp0080132	P56544
7227.FBpp0082628	Q9VF36
7227.FBpp0084917	Q9VAC5
7227.FBpp0081451	Q9VHH7
7227.FBpp0300329	Q9NII1
7227.FBpp0292773	Q9V778
7227.FBpp0080150	Q9V3R6
7227.FBpp0293288	Q9VW60
7227.FBpp0303284	P05552
7227.FBpp0099544	P91615
7227.FBpp0081767	P46415
7227.FBpp0100048	P00334
7227.FBpp0083675	Q9VCY8
7227.FBpp0087272	Q9V3T9
7227.FBpp0073280	Q26365
7227.FBpp0292527	P37193
7227.FBpp0303189	P39413
7227.FBpp0077318	Q9VQI9
7227.FBpp0075313	Q9VUQ5
7227.FBpp0289159	Q7PLK0
7227.FBpp0075543	Q9VU95
7227.FBpp0077504	Q9VQ79
7227.FBpp0075318	Q9VUR3
7227.FBpp0073665	Q9VY77
7227.FBpp0073069	P61855
7227.FBpp0076560	Q9VS59
7227.FBpp0082682	Q8INB9
7227.FBpp0087538	Q7K4V4
7227.FBpp0085632	A1ZBR5
7227.FBpp0302781	P07764
7227.FBpp0075946	Q8T8L8
7227.FBpp0081608	Q9VH78
7227.FBpp0079234	Q9VLQ1
7227.FBpp0079595	Q9VKX7
7227.FBpp0070931	Q9W3V8
7227.FBpp0084119	Q9VC44
7227.FBpp0077713	Q06453
7227.FBpp0081135	P15364
7227.FBpp0074571	Q24049
7227.FBpp0080631	Q9Y0A7
7227.FBpp0071266	Q9U4H5
7227.FBpp0086155	P08144
7227.FBpp0086155	P81641
7227.FBpp0086263	O18408
7227.FBpp0289639	Q9V895
7227.FBpp0289728	Q26307
7227.FBpp0084976	P21663
7227.FBpp0071992	Q24239
7227.FBpp0293580	Q9VCA8
7227.FBpp0087986	Q9V4P1
7227.FBpp0088810	Q9U6Y9
7227.FBpp0113056	Q9W1V1
7227.FBpp0081161	P02833
7227.FBpp0291143	P22465
7227.FBpp0306158	Q9VXG4
7227.FBpp0088506	P22464
7227.FBpp0088945	P91926
7227.FBpp0073673	P54362
7227.FBpp0086107	Q9V831
7227.FBpp0289288	Q9VTU1
7227.FBpp0077400	Q9VQG2
7227.FBpp0085095	Q24238
7227.FBpp0080554	Q9V431
7227.FBpp0302921	A1Z9X0
7227.FBpp0111839	A8JR14
7227.FBpp0088252	Q9V496
7227.FBpp0070300	Q9W549
7227.FBpp0085394	P29673
7227.FBpp0083172	Q8MSG8
7227.FBpp0088438	P12426
7227.FBpp0303808	Q9V5Z7
7227.FBpp0082786	Q9VES1
7227.FBpp0075640	Q24248
7227.FBpp0083515	Q9VD92
7227.FBpp0289184	P61209
7227.FBpp0088256	P40945
7227.FBpp0086507	P40946
7227.FBpp0297199	Q94981
7227.FBpp0071688	O76924
7227.FBpp0075272	P25160
7227.FBpp0081328	Q06849
7227.FBpp0081290	Q9VHV5
7227.FBpp0085950	Q7K486
7227.FBpp0082735	Q9XZ63
7227.FBpp0100102	Q6J5K9
7227.FBpp0089035	P18824
7227.FBpp0081483	O15945
7227.FBpp0302793	P45888
7227.FBpp0076460	P32392
7227.FBpp0082979	Q9VEC3
7227.FBpp0073983	P45890
7227.FBpp0074318	Q9VX09
7227.FBpp0080890	Q9VIM5
7227.FBpp0298351	P15372
7227.FBpp0076326	P19107
7227.FBpp0074715	Q9V464
7227.FBpp0073861	Q9VXT7
7227.FBpp0297151	Q9VW15
7227.FBpp0084040	Q94545
7227.FBpp0088029	Q7JWD3
7227.FBpp0289202	Q5LJP9
7227.FBpp0271751	Q8MR45
7227.FBpp0071652	Q9W2C3
7227.FBpp0084071	Q9VC45
7227.FBpp0081197	O97069
7227.FBpp0070073	P09774
7227.FBpp0070072	P10084
7227.FBpp0070071	P10083
7227.FBpp0070074	P09775
7227.FBpp0076884	Q9VRJ8
7227.FBpp0077617	Q9VPW1
7227.FBpp0082713	Q9VEX5
7227.FBpp0305149	Q9V727
7227.FBpp0076134	Q94516
7227.FBpp0076209	Q9VSY4
7227.FBpp0070034	Q9W5X9
7227.FBpp0291188	Q86P48
7227.FBpp0072125	P22700
7227.FBpp0085627	O96539
7227.FBpp0081333	Q9VHR6
7227.FBpp0071023	Q9W3R7
7227.FBpp0084036	Q9VC57
7227.FBpp0110174	Q5EAK6
7227.FBpp0088502	P13607
7227.FBpp0081318	P48987
7227.FBpp0083141	Q24251
7227.FBpp0305911	Q24407
7227.FBpp0100179	P00850
7227.FBpp0100178	P84345
7227.FBpp0071794	P35381
7227.FBpp0079012	Q24046
