64091.VNG0309C	Q9HSB8
64091.VNG0683C	Q9HRI2
64091.VNG2610C	Q9HMC3
64091.VNG2436G	Q9HMQ3
64091.VNG1232G	Q9HQC1
64091.VNG1230G	Q9HQC2
64091.VNG0314G	Q9HSB4
64091.VNG0382G	Q9HS68
64091.VNG1245C	Q9HQB0
64091.VNG2437G	Q9HMQ2
64091.VNG1959G	Q9HNT1
64091.VNG2627C	Q9HMA9
64091.VNG0180G	P0DMH7
64091.VNG1467G	P02945
64091.VNG1660G	P0DMH8
64091.VNG1764G	P71411
64091.VNG1464G	Q9HPU8
64091.VNG2136G	Q9HNE6
64091.VNG1465G	Q9HPU7
64091.VNG1466H	Q9HPU6
64091.VNG1370G	Q9HQ19
64091.VNG1371Gm	Q9HQ18
64091.VNG1369G	Q9HQ20
64091.VNG2259C	Q9HN43
64091.VNG1815G	Q9HP42
64091.VNG1814G	Q9HP43
64091.VNG1573G	Q9HPL7
64091.VNG1634G	Q9HPH5
64091.VNG1550G	Q9HPN4
64091.VNG1093C	Q9HQM3
64091.VNG1583C	Q9HPK9
64091.VNG0137G	Q9HSP6
64091.VNG2271G	Q9HN34
64091.VNG2411G	Q9HMS3
64091.VNG1224G	Q9HQC7
64091.VNG0045C	Q9HSW6
64091.VNG1667G	Q9HPF0
64091.VNG0973G	P0DMI2
64091.VNG1576G	Q9HPL5
64091.VNG1580H	Q9HPL2
64091.VNG1935C	Q9HNV0
64091.VNG1429C	Q9HPX4
64091.VNG2586C	Q9HME1
64091.VNG1937C	Q9HNU9
64091.VNG1938C	Q9HNU8
64091.VNG1760G	Q9HP84
64091.VNG0657G	P33518
64091.VNG0666G	Q9HRJ8
64091.VNG1919H	Q9HNW2
64091.VNG1921H	Q9HNW1
64091.VNG2137G	Q9HNE5
64091.VNG2471G	Q9HMM6
64091.VNG2679G	P0DME1
64091.VNG0444G	Q9HS19
64091.VNG0245G	Q9HSG3
64091.VNG1859G	Q9HP08
64091.VNG0610G	Q9HRP0
64091.VNG0628G	Q9HRM7
64091.VNG0628G	Q5MBG2
64091.VNG0161G	P0DMG4
64091.VNG0161G	P0DMG3
64091.VNG1204G	Q9HQE1
64091.VNG1204G	F2Z610
64091.VNG0310C	Q9HSB6
64091.VNG1310G	Q9HQ63
64091.VNG1432G	Q9HPX2
64091.VNG2220G	Q9HN74
64091.VNG0829G	Q9HR74
64091.VNG0830G	Q9HR73
64091.VNG0831G	Q9HR72
64091.VNG0832C	Q9HR71
64091.VNG0826C	Q9HR76
64091.VNG1784C	Q9HP65
64091.VNG0489G	Q9HRY3
64091.VNG0491G	Q9HRY2
64091.VNG0881G	Q9HR35
64091.VNG2338G	Q9HMX8
64091.VNG2417G	Q9HMR7
64091.VNG1118G	Q9HQK6
64091.VNG1014G	Q9HQT4
64091.VNG2443G	Q9HMP7
64091.VNG0378C	Q9HS70
64091.VNG2570G	Q9HMF3
64091.VNG2649G	Q9HM89
64091.VNG1173G	Q9HQG6
64091.VNG2654Gm	Q9HM85
64091.VNG0183G	Q9HSK7
64091.VNG2210G	Q9HN82
64091.VNG2587C	Q9HME0
64091.VNG1142G	Q9HQI9
64091.VNG0684G	Q9HRI1
64091.VNG1359G	Q9HQ27
64091.VNG2293G	P00216
64091.VNG1008G	P61118
64091.VNG1009G	P13075
64091.VNG0960G	P61116
64091.VNG0961G	P13077
64091.VNG0962G	P13078
64091.VNG1176G	Q9HQG3
64091.VNG0412G	Q9HS44
64091.VNG1416G	Q9HPY4
64091.VNG0376G	Q9HS71
64091.VNG0192G	P0DMR7
64091.VNG1356G	Q9HQ29
64091.VNG0406C	Q9HS49
64091.VNG0095G	Q9HSS7
64091.VNG1992G	Q9HNQ6
64091.VNG0872G	Q9HR43
64091.VNG0345G	Q9HS93
64091.VNG0870G	Q9HR44
64091.VNG1844G	Q9HP20
64091.VNG1352G	Q9HQ32
64091.VNG1011Cm	Q9HQT7
64091.VNG1021C	Q9HQS9
64091.VNG1397C	Q9HPZ9
64091.VNG1605G	Q9HPJ8
64091.VNG1603G	Q9HPJ9
64091.VNG1601G	Q9HPK0
64091.VNG1606G	Q9HPJ7
64091.VNG0252C	Q9HSF8
64091.VNG0446G	Q9HS17
64091.VNG2288G	Q9HN20
64091.VNG0006G	Q9HT00
64091.VNG2093G	Q9HNI2
64091.VNG1971G	Q9HNS3
64091.VNG1967G	Q9HNS5
64091.VNG1414G	Q9HPY5
64091.VNG2286G	Q9HN21
64091.VNG1887G	Q9HNY7
64091.VNG0494G	Q9HRY0
64091.VNG2326G	Q9HMY8
64091.VNG1766C	Q9HP80
64091.VNG0228G	Q9HSH4
64091.VNG1829G	Q9HP33
64091.VNG2368G	Q9HMV6
64091.VNG1774G	Q9HP72
64091.VNG2330G	Q9HMY5
64091.VNG2247G	Q9HN53
64091.VNG2596G	Q9HMD4
64091.VNG2284G	Q9HN23
64091.VNG2294G	Q9HN14
64091.VNG2087G	Q9HNI6
64091.VNG0862G	Q9HR52
64091.VNG2295G	Q9HN13
64091.VNG1033G	Q9HQS0
64091.VNG1444G	Q9HPW5
64091.VNG1505G	Q9HPR6
64091.VNG0559G	Q9HRT1
64091.VNG0129G	Q9HSQ2
64091.VNG1659G	P0DMI3
64091.VNG1765G	Q9HP81
64091.VNG0806G	P0DMI4
64091.VNG1759G	P0DMI5
64091.VNG1395G	Q9HQ00
64091.VNG1209G	Q9HQD7
64091.VNG1212Gm	Q9HQD5
64091.VNG1211G	Q9HQD6
64091.VNG1208G	Q9HQD8
64091.VNG1818G	Q9HP40
64091.VNG2234G	Q9HN64
64091.VNG1756G	Q9HP87
64091.VNG0549G	Q9HRT8
