9031.ENSGALP00000006578	Q5ZLQ6
9031.ENSGALP00000004182	Q5ZMT0
9031.ENSGALP00000027989	Q5F3W6
9031.ENSGALP00000026461	Q5ZMD1
9031.ENSGALP00000028746	Q5ZKC9
9031.ENSGALP00000012221	Q5ZIY5
9031.ENSGALP00000002021	P12264
9031.ENSGALP00000019881	Q5ZID6
9031.ENSGALP00000005776	Q5ZKF6
9031.ENSGALP00000013294	Q5ZIZ4
9031.ENSGALP00000000223	P49892
9031.ENSGALP00000027991	O13076
9031.ENSGALP00000004568	Q5ZLG0
9031.ENSGALP00000012086	P00504
9031.ENSGALP00000038336	Q5ZIM6
9031.ENSGALP00000003646	P00508
9031.ENSGALP00000024382	Q5ZJ01
9031.ENSGALP00000010347	Q5ZJX1
9031.ENSGALP00000012240	Q5ZL23
9031.ENSGALP00000013877	Q5ZIN0
9031.ENSGALP00000027178	Q5ZJL8
9031.ENSGALP00000011390	Q5ZK62
9031.ENSGALP00000012143	Q5ZHQ6
9031.ENSGALP00000002679	Q5ZKR7
9031.ENSGALP00000037108	Q9PRL8
9031.ENSGALP00000036827	Q5ZHT1
9031.ENSGALP00000039731	Q10751
9031.ENSGALP00000004750	P09481
9031.ENSGALP00000009302	P09482
9031.ENSGALP00000004767	P26152
9031.ENSGALP00000036997	P49581
9031.ENSGALP00000006509	P22770
9031.ENSGALP00000023037	Q9PTS8
9031.ENSGALP00000022703	P09479
9031.ENSGALP00000024774	P43679
9031.ENSGALP00000004740	P26153
9031.ENSGALP00000012809	P02717
9031.ENSGALP00000012818	P02713
9031.ENSGALP00000020999	P30372
9031.ENSGALP00000017509	P49578
9031.ENSGALP00000013605	P17200
9031.ENSGALP00000003381	Q90875
9031.ENSGALP00000039176	P53478
9031.ENSGALP00000015988	P08023
9031.ENSGALP00000039176	P60706
9031.ENSGALP00000015988	P68034
9031.ENSGALP00000039176	Q5ZMQ2
9031.ENSGALP00000015988	P63270
9031.ENSGALP00000015409	P05094
9031.ENSGALP00000023309	P20111
9031.ENSGALP00000015988	P68139
9031.ENSGALP00000020469	Q90ZK6
9031.ENSGALP00000036932	P07032
9031.ENSGALP00000013246	P07031
9031.ENSGALP00000006620	Q5ZKP6
9031.ENSGALP00000017088	Q5ZMT7
9031.ENSGALP00000012606	Q9DGG6
9031.ENSGALP00000019979	P23991
9031.ENSGALP00000038969	Q98SH3
9031.ENSGALP00000037173	Q5ZIV9
9031.ENSGALP00000035656	P13216
9031.ENSGALP00000025034	Q90738
9031.ENSGALP00000003521	Q5ZLG4
9031.ENSGALP00000003515	Q5ZMW0
9031.ENSGALP00000039379	P31696
9031.ENSGALP00000039674	P79785
9031.ENSGALP00000032496	Q5ZK84
9031.ENSGALP00000023838	Q90655
9031.ENSGALP00000005721	Q5ZJJ5
9031.ENSGALP00000033786	O93344
9031.ENSGALP00000019031	P19121
9031.ENSGALP00000025010	P07341
9031.ENSGALP00000017880	Q802T2
9031.ENSGALP00000027598	E1C2Q8
9031.ENSGALP00000003242	P81073
9031.ENSGALP00000018798	P50478
9031.ENSGALP00000002398	Q5ZMN0
9031.ENSGALP00000040136	Q5F4A3
9031.ENSGALP00000007266	P21805
9031.ENSGALP00000034287	P18908
9031.ENSGALP00000040224	P27043
