722438.MPNE_0359	E1QC64
722438.MPNE_0641	E1QCT1
722438.MPNE_0244	E1QBX4
722438.MPNE_0626	E2I9M6
722438.MPNE_0165	F8VA44
722438.MPNE_0626	E2I9M4
722438.MPNE_0165	I2FK90
722438.MPNE_0165	T2F981
722438.MPNE_0165	T2F9V1
722438.MPNE_0158	C0SKM2
722438.MPNE_0159	C0SKM3
722438.MPNE_0166	B2BDZ7
722438.MPNE_0157	C0SKM1
722438.MPNE_0604	Q6Y1K2
722438.MPNE_0165	T2F8R4
722438.MPNE_0165	I2FK89
722438.MPNE_0165	T2F9E9
722438.MPNE_0165	T2F9U5
722438.MPNE_0161	B2BDZ3
722438.MPNE_0165	Q50285
722438.MPNE_0528	B3F169
722438.MPNE_0165	B2BDZ6
722438.MPNE_0701	Q50343
722438.MPNE_0165	F8VA41
722438.MPNE_0165	C1J0N5
722438.MPNE_0165	F8VA42
722438.MPNE_0246	O07713
722438.MPNE_0165	D0UHD0
722438.MPNE_0165	C9W8P7
722438.MPNE_0163	B2BDZ4
722438.MPNE_0168	Q93Q06
722438.MPNE_0165	D0UHD2
722438.MPNE_0165	C1J0N4
722438.MPNE_0164	B2BDZ5
722438.MPNE_0165	F8VA43
722438.MPNE_0701	Q59551
722438.MPNE_0165	Q93Q04
722438.MPNE_0149	C0SKL7
722438.MPNE_0165	Q9S594
722438.MPNE_0156	C0SKM0
722438.MPNE_0165	Q93Q05
722438.MPNE_0165	T2F863
722438.MPNE_0165	T2F9F2
722438.MPNE_0165	T2F8R9
722438.MPNE_0539	B3F171
722438.MPNE_0165	T2F976
722438.MPNE_0165	T2F869
722438.MPNE_0531	B3F170
722438.MPNE_0165	C1J0N6
722438.MPNE_0604	C1JZU3
722438.MPNE_0183	E1QBS3
722438.MPNE_0475	E1QCF2
722438.MPNE_0457	E1QCE2
722438.MPNE_0499	E1QCH0
722438.MPNE_0071	E1QBJ2
722438.MPNE_0669	E1QCV1
722438.MPNE_0736	E1QD05
722438.MPNE_0732	E1QD00
722438.MPNE_0491	E1QCG2
722438.MPNE_0724	E1QCZ3
722438.MPNE_0733	E1QD02
722438.MPNE_0583	E1QCN2
722438.MPNE_0600	E1QCP7
722438.MPNE_0299	E1QC25
722438.MPNE_0691	E1QCW4
722438.MPNE_0419	E1QCB3
722438.MPNE_0413	E1QCB0
722438.MPNE_0375	E1QC75
722438.MPNE_0235	E1QBW5
722438.MPNE_0343	E1QC59
722438.MPNE_0273	E1QC01
722438.MPNE_0648	E1QCT5
722438.MPNE_0735	E1QD04
722438.MPNE_0760	E1QD22
722438.MPNE_0073	E1QBJ4
722438.MPNE_0113	E1QBM5
722438.MPNE_0325	E1QC44
722438.MPNE_0219	E1QBV5
722438.MPNE_0377	E1QC77
722438.MPNE_0441	E1QCC7
722438.MPNE_0212	E1QBU8
722438.MPNE_0027	E1QBF4
722438.MPNE_0243	E1QBX3
722438.MPNE_0248	E1QBX8
722438.MPNE_0268	E1QBZ6
722438.MPNE_0656	E1QCU3
722438.MPNE_0008	E1QBD7
722438.MPNE_0173	E1QBR6
722438.MPNE_0541	E1QCJ9
722438.MPNE_0041	E1QBG7
722438.MPNE_0050	E1QBH5
722438.MPNE_0253	E1QBY1
722438.MPNE_0158	E1QBQ2
722438.MPNE_0722	E1QCZ1
722438.MPNE_0396	E1QC94
722438.MPNE_0544	E1QCK1
722438.MPNE_0174	E1QBR8
722438.MPNE_0599	E1QCP6
722438.MPNE_0201	E1QBT8
722438.MPNE_0207	E1QBU3
722438.MPNE_0412	E1QCA9
722438.MPNE_0264	E1QBZ2
722438.MPNE_0047	E1QBH3
722438.MPNE_0662	E1QCU5
722438.MPNE_0011	E1QBE0
722438.MPNE_0344	E1QC60
722438.MPNE_0260	E1QBY8
722438.MPNE_0373	E1QC73
722438.MPNE_0440	E1QCC6
722438.MPNE_0409	E1QCA6
722438.MPNE_0563	E1QCL6
722438.MPNE_0195	E1QBT2
722438.MPNE_0585	E1QCN4
722438.MPNE_0204	E1QBU0
722438.MPNE_0256	E1QBY4
722438.MPNE_0385	E1QC85
722438.MPNE_0384	E1QC84
722438.MPNE_0286	E1QC13
722438.MPNE_0106	E1QBM1
722438.MPNE_0159	E1QBQ3
722438.MPNE_0282	E1QC09
722438.MPNE_0316	E1QC37
722438.MPNE_0276	E1QC04
722438.MPNE_0502	E1QCH3
722438.MPNE_0741	E1QD09
722438.MPNE_0121	E1QBM9
722438.MPNE_0252	E1QBY0
722438.MPNE_0211	E1QBU7
722438.MPNE_0218	E1QBV4
722438.MPNE_0555	E1QCK8
722438.MPNE_0261	E1QBY9
722438.MPNE_0366	E1QC68
722438.MPNE_0178	E1QBR9
722438.MPNE_0523	E1QCJ1
722438.MPNE_0773	E1QD33
722438.MPNE_0507	E1QCH8
722438.MPNE_0237	E1QBW7
722438.MPNE_0460	E1QCE4
722438.MPNE_0452	E1QCD7
722438.MPNE_0214	E1QBV0
722438.MPNE_0320	E1QC39
722438.MPNE_0098	E1QBL6
722438.MPNE_0267	E1QBZ5
722438.MPNE_0016	E1QBE4
722438.MPNE_0509	E1QCI0
722438.MPNE_0046	E1QBH1
722438.MPNE_0301	E1QC27
722438.MPNE_0022	E1QBE9
722438.MPNE_0617	E1QCQ7
722438.MPNE_0793	E1QD53
722438.MPNE_0048	E1QBH2
722438.MPNE_0737	E1QD06
722438.MPNE_0068	E1QBI9
722438.MPNE_0442	E1QCC8
722438.MPNE_0661	E1QCU6
722438.MPNE_0140	E1QBP0
722438.MPNE_0151	E1QBP8
