4081.Solyc01g009590.2.1	Q43495
4081.Solyc04g076060.2.1	P93207
4081.Solyc11g010470.1.1	P93206
4081.Solyc12g057110.2.1	P93208
4081.Solyc04g074510.2.1	P93209
4081.Solyc02g063070.2.1	P42652
4081.Solyc04g012120.2.1	P93210
4081.Solyc11g010200.1.1	P93211
4081.Solyc04g074230.2.1	P93212
4081.Solyc12g010860.1.1	P93213
4081.Solyc07g053260.2.1	P93214
4081.Solyc01g095080.2.1	P18485
4081.Solyc02g091990.2.1	Q42881
4081.Solyc05g050010.2.1	P29535
4081.Solyc02g090890.2.1	P93236
4081.Solyc01g007340.2.1	Q2MI91
4081.Solyc09g089580.2.1	P10967
4081.Solyc07g049530.2.1	P05116
4081.Solyc12g005940.1.1	P07920
4081.Solyc07g049550.2.1	P24157
4081.Solyc07g052480.2.1	P49297
4081.Solyc04g011500.2.1	Q96482
4081.Solyc11g005330.1.1	Q96483
4081.Solyc10g080500.1.1	Q96484
4081.Solyc04g071260.2.1	Q96481
4081.Solyc04g049360.2.1	Q6TAS3
4081.Solyc06g059740.2.1	P28032
4081.Solyc05g015750.2.1	Q42464
4081.Solyc11g068540.1.1	Q9XGI9
4081.Solyc02g071730.2.1	Q40168
4081.Solyc00g187050.2.1	Q10712
4081.Solyc12g010040.1.1	Q42876
4081.Solyc09g090730.1.1	P58905
4081.Solyc04g050440.2.1	O04161
4081.Solyc03g045070.1.1	Q9FVN0
4081.Solyc01g091190.2.1	P10748
4081.Solyc04g049350.2.1	Q42884
4081.Solyc04g009620.2.1	Q42885
4081.Solyc11g009080.1.1	P37215
4081.Solyc04g074480.2.1	P37216
4081.Solyc03g114600.2.1	Q9M6A3
4081.Solyc05g010280.2.1	Q8W4Y5
4081.Solyc04g071610.2.1	Q08655
4081.Solyc04g071580.2.1	P37219
4081.Solyc04g071590.1.1	P37220
4081.Solyc01g007320.2.1	Q2MI93
4081.Solyc01g007320.2.1	Q2MI94
4081.Solyc09g059660.1.1	Q2MIB3
4081.Solyc12g006530.1.1	E7DN63
4081.Solyc12g044880.1.1	P48980
4081.Solyc08g082820.2.1	P49118
4081.Solyc04g051510.1.1	Q8GUQ5
4081.Solyc02g089160.2.1	Q43147
4081.Solyc02g065750.1.1	Q50LE0
4081.Solyc03g098050.2.1	P27161
4081.Solyc12g094620.1.1	P30264
4081.Solyc02g082760.2.1	Q9XHH3
4081.Solyc05g056070.2.1	P12360
4081.Solyc10g006230.2.1	P10708
4081.Solyc10g007690.2.1	P27522
4081.Solyc12g011450.1.1	P27489
4081.Solyc07g047850.2.1	P14278
4081.Solyc12g006140.1.1	P14279
4081.Solyc02g071030.1.1	P14274
4081.Solyc02g071030.1.1	P07370
4081.Solyc02g070990.1.1	P14275
4081.Solyc02g071000.1.1	P10707
4081.Solyc03g005770.1.1	P14276
4081.Solyc03g005760.1.1	P14277
4081.Solyc03g005780.1.1	P07369
4081.Solyc01g105030.2.1	P27524
4081.Solyc01g105050.2.1	P27525
4081.Solyc01g007370.2.1	Q2MI88
4081.Solyc02g082920.2.1	Q05539
4081.Solyc02g082930.2.1	Q05540
4081.Solyc10g055810.1.1	Q05538
4081.Solyc02g061770.2.1	Q05537
4081.Solyc09g091510.2.1	P23418
4081.Solyc05g053550.2.1	P23419
4081.Solyc01g096480.2.1	Q9LKW0
4081.Solyc03g118340.2.1	P31541
4081.Solyc12g042060.1.1	P31542
4081.Solyc01g007490.2.1	Q2MI76
4081.Solyc03g123760.2.1	P28554
4081.Solyc10g081650.1.1	Q8S4R4
4081.Solyc08g074270.2.1	Q38JU2
4081.Solyc01g007530.2.1	Q2MI71
4081.Solyc01g103220.2.1	P00060
4081.Solyc01g007380.1.1	Q2MI87
4081.Solyc01g111170.2.1	P21568
4081.Solyc07g041900.2.1	Q40143
4081.Solyc12g088670.1.1	P20721
4081.Solyc08g076460.2.1	Q9SMC4
4081.Solyc12g006520.1.1	E7DN64
4081.Solyc03g098240.2.1	P54767
4081.Solyc04g078850.2.1	Q42463
4081.Solyc04g082030.1.1	O22616
4081.Solyc02g021650.2.1	Q6QNU4
4081.Solyc07g015860.2.1	Q9FUZ0
4081.Solyc02g086680.2.1	Q9FV54
4081.Solyc01g109140.2.1	Q9FPM6
4081.Solyc01g056340.2.1	Q9ZNU6
4081.Solyc10g086500.1.1	Q5K2N1
4081.Solyc02g085020.2.1	P51107
4081.Solyc06g072380.2.1	O04059
4081.Solyc10g078550.1.1	P93541
4081.Solyc02g083590.2.1	Q8RU74
4081.Solyc02g080800.2.1	Q9AXR0
4081.Solyc01g100030.2.1	P32518
4081.Solyc01g008620.2.1	Q01412
4081.Solyc01g060020.2.1	Q01413
4081.Solyc01g096190.2.1	Q42883
4081.Solyc06g009970.2.1	P17786
4081.Solyc05g005480.2.1	K4BW79
4081.Solyc09g009020.2.1	P26300
4081.Solyc03g093610.1.1	Q84XB3
4081.Solyc12g011330.2.1	Q41342
4081.Solyc07g056580.2.1	O49187
4081.Solyc10g044520.1.1	Q43517
4081.Solyc06g073390.2.1	P93227
4081.Solyc11g012860.1.1	Q8LLE5
4081.Solyc07g049140.2.1	P14903
4081.Solyc11g011260.1.1	Q7Y1B6
4081.Solyc02g089350.2.1	P27057
4081.Solyc07g043310.2.1	Q84P54
4081.Solyc12g006470.1.1	Q84P53
4081.Solyc12g006450.1.1	Q84P52
4081.Solyc06g083230.2.1	Q8VYU3
4081.Solyc07g056140.2.1	Q42882
4081.Solyc06g005260.2.1	Q9ZR41
4081.Solyc01g100830.1.1	Q947G8
4081.Solyc02g084980.2.1	C7G304
4081.Solyc05g005560.2.1	Q40161
4081.Solyc05g005550.2.1	P93217
4081.Solyc05g005540.2.1	P93218
4081.Solyc08g061220.2.1	P26981
4081.Solyc08g080940.2.1	O24031
4081.Solyc04g009200.2.1	Q40147
4081.Solyc08g081010.2.1	O22493
4081.Solyc01g098610.2.1	O22494
4081.Solyc09g066100.2.1	P37218
4081.Solyc01g099410.2.1	P25469
4081.Solyc06g074790.1.1	O65821
4081.Solyc11g066430.1.1	O65818
4081.Solyc11g007920.1.1	O65819
4081.Solyc11g072860.1.1	P35057
4081.Solyc03g071690.2.1	Q941P9
4081.Solyc02g038740.2.1	P48022
4081.Solyc03g082420.2.1	Q95661
4081.Solyc08g005170.2.1	Q40152
4081.Solyc06g076520.1.1	P30221
4081.Solyc06g076020.2.1	P24629
4081.Solyc10g086410.2.1	P27322
4081.Solyc07g065840.2.1	P36181
4081.Solyc06g068520.2.1	Q7XAD0
4081.Solyc08g061130.2.1	Q9SM50
4081.Solyc09g084470.2.1	P05118
4081.Solyc08g080630.2.1	P20076
4081.Solyc12g098350.1.1	Q94KR9
4081.Solyc03g115650.2.1	Q9AXQ6
4081.Solyc07g005560.2.1	Q9AXQ5
4081.Solyc01g011000.2.1	Q9AXQ4
4081.Solyc12g010060.1.1	Q9AXQ3
4081.Solyc06g009750.2.1	O22478
4081.Solyc04g014800.2.1	P54926
4081.Solyc03g044890.1.1	P54927
4081.Solyc11g012410.1.1	P54928
4081.Solyc03g083910.2.1	P29000
4081.Solyc11g021060.1.1	Q43710
4081.Solyc03g020050.2.1	Q43502
4081.Solyc01g009010.2.1	P93841
4081.Solyc11g010570.1.1	Q9FUY6
4081.Solyc04g077210.2.1	Q41330
4081.Solyc10g007270.2.1	P13447
4081.Solyc04g040190.1.1	Q43503
4081.Solyc12g008980.1.1	O65837
4081.Solyc10g078770.1.1	Q00747
4081.Solyc07g007120.2.1	O22300
4081.Solyc02g081120.2.1	O22299
4081.Solyc11g069040.2.1	Q42891
4081.Solyc01g081500.2.1	Q944N1
4081.Solyc08g014000.2.1	P38415
4081.Solyc01g099190.2.1	P38416
4081.Solyc04g078380.1.1	Q9M7N6
4081.Solyc00g231680.1.1	O48540
4081.Solyc06g064520.2.1	Q9FZ03
4081.Solyc01g008710.2.1	Q8L5J1
4081.Solyc06g064520.2.1	Q6YM50
4081.Solyc12g044600.2.1	P37222
4081.Solyc09g061390.1.1	Q2MIB9
4081.Solyc07g007250.2.1	P01076
4081.Solyc09g009390.2.1	Q43497
4081.Solyc01g101060.2.1	P43280
4081.Solyc12g099000.1.1	P43281
4081.Solyc09g008280.1.1	P43282
4081.Solyc03g120230.2.1	P93203
4081.Solyc07g066480.2.1	Q8LGM7
4081.Solyc01g104510.2.1	O22466
4081.Solyc03g111720.2.1	P54153
4081.Solyc04g058150.2.1	Q40157
4081.Solyc09g010800.2.1	Q40158
4081.Solyc04g058100.2.1	Q43512
4081.Solyc06g076140.2.1	Q43513
4081.Solyc01g100490.2.1	Q9XGI7
4081.Solyc01g007290.1.1	Q2MI97
4081.Solyc01g007300.1.1	Q2MI96
4081.Solyc01g089970.2.1	P47921
4081.Solyc08g005680.2.1	C1K5M2
4081.Solyc11g013810.1.1	P17570
4081.Solyc10g075110.1.1	P27056
4081.Solyc10g075090.1.1	P93224
4081.Solyc08g080640.1.1	P12670
4081.Solyc02g080280.1.1	Q2MI45
4081.Solyc01g007660.2.1	P0CD46
4081.Solyc01g007660.2.1	P0CD47
4081.Solyc01g007310.2.1	Q2MI95
4081.Solyc03g013600.1.1	Q2MI47
4081.Solyc11g066130.1.1	Q41350
4081.Solyc10g086220.1.1	Q9XG54
4081.Solyc07g007870.2.1	Q9FEW9
4081.Solyc01g103390.2.1	Q9FEX0
4081.Solyc08g043170.2.1	Q96480
4081.Solyc09g007910.2.1	P26600
4081.Solyc02g079500.2.1	P15003
4081.Solyc02g079510.2.1	P15004
4081.Solyc01g007540.2.1	Q2MI70
4081.Solyc01g007430.2.1	Q2MI81
4081.Solyc09g074540.2.1	Q2MI82
4081.Solyc10g080210.1.1	P05117
4081.Solyc01g059870.2.1	Q9ZS62
4081.Solyc08g081190.2.1	Q08451
4081.Solyc09g098160.2.1	Q9SEE4
4081.Solyc04g082010.1.1	P17340
4081.Solyc02g093580.2.1	P24396
4081.Solyc03g058910.2.1	P15721
4081.Solyc03g058890.2.1	P15722
4081.Solyc03g113400.2.1	P22180
4081.Solyc06g071100.2.1	P23980
4081.Solyc07g064170.2.1	P14280
4081.Solyc07g064180.2.1	P09607
4081.Solyc07g064190.1.1	Q96576
4081.Solyc03g123630.2.1	Q43143
4081.Solyc08g008670.2.1	Q1W377
4081.Solyc06g034110.2.1	P27061
4081.Solyc08g074680.2.1	Q08304
4081.Solyc08g074680.2.1	Q08306
4081.Solyc08g074620.1.1	Q08307
4081.Solyc08g074630.1.1	Q08296
4081.Solyc09g007010.1.1	Q04108
4081.Solyc00g174340.1.1	P04284
4081.Solyc01g106610.2.1	Q08697
4081.Solyc12g044630.1.1	Q41344
4081.Solyc08g066110.2.1	Q93YG7
4081.Solyc01g097240.2.1	P32045
4081.Solyc01g099760.2.1	P54776
4081.Solyc01g111450.2.1	O24030
4081.Solyc06g054260.1.1	P12372
4081.Solyc01g007350.2.1	Q2MI90
4081.Solyc01g067760.1.1	Q2MI80
4081.Solyc01g007500.2.1	Q2MI75
4081.Solyc09g055950.1.1	Q2MIA5
4081.Solyc01g007410.2.1	Q3SC83
4081.Solyc01g007520.2.1	Q2MI72
4081.Solyc01g007400.1.1	Q2MI86
4081.Solyc02g065400.2.1	P23322
4081.Solyc07g044860.2.1	P29795
4081.Solyc07g066310.2.1	Q40163
4081.Solyc06g060340.2.1	P54773
4081.Solyc01g102770.1.1	Q2MIA3
4081.Solyc03g031860.2.1	P08196
4081.Solyc02g081330.2.1	P37273
4081.Solyc12g098980.1.1	Q41328
4081.Solyc02g077370.1.1	O04681
4081.Solyc06g082590.1.1	O04682
4081.Solyc07g017540.2.1	Q40134
4081.Solyc05g023800.2.1	P38546
4081.Solyc01g104700.2.1	P38547
4081.Solyc01g007330.2.1	P27065
4081.Solyc02g063150.2.1	P08706
4081.Solyc03g034220.2.1	P07179
4081.Solyc02g085950.2.1	P07180
4081.Solyc02g085950.2.1	P05349
4081.Solyc01g007590.2.1	Q2MI64
4081.Solyc01g007600.2.1	Q2MI63
4081.Solyc01g007470.1.1	Q2MI77
4081.Solyc01g007610.2.1	Q2MI61
4081.Solyc01g007630.2.1	Q2MI59
4081.Solyc11g021200.1.1	P36493
4081.Solyc09g064410.1.1	Q2MI79
4081.Solyc01g007570.2.1	Q2MI67
4081.Solyc08g068180.2.1	P49212
4081.Solyc05g055640.2.1	P46291
4081.Solyc10g006580.2.1	P29766
4081.Solyc05g007950.2.1	P80022
4081.Solyc05g007940.2.1	P80196
4081.Solyc02g078260.2.1	Q42877
4081.Solyc01g007560.2.1	Q2MI69
4081.Solyc01g007570.2.1	Q2MI68
4081.Solyc01g007460.2.1	Q2MI78
4081.Solyc01g007620.2.1	Q2MI60
4081.Solyc01g007610.2.1	Q2MI62
4081.Solyc01g007280.2.1	Q2MI98
4081.Solyc01g007670.2.1	Q2MI54
4081.Solyc01g007580.2.1	Q2MI65
4081.Solyc05g055230.1.1	P49215
4081.Solyc10g052660.1.1	P46301
4081.Solyc01g056940.2.1	P62980
4081.Solyc11g011210.1.1	P47926
4081.Solyc09g092380.2.1	Q9SWF5
4081.Solyc01g060130.2.1	P52884
4081.Solyc06g073190.2.1	Q42896
4081.Solyc06g074350.2.1	O82088
4081.Solyc04g025300.2.1	A5YVF1
4081.Solyc04g051860.2.1	Q00497
4081.Solyc01g067740.2.1	P14830
4081.Solyc01g067740.2.1	Q43779
4081.Solyc11g066390.1.1	P14831
4081.Solyc04g081320.2.1	K4BVL1
4081.Solyc05g005710.2.1	Q9ZS45
4081.Solyc01g110440.2.1	P49726
4081.Solyc09g010180.2.1	Q8RVB2
4081.Solyc03g116810.2.1	P49971
4081.Solyc12g042740.1.1	P49972
4081.Solyc03g120960.1.1	Q6EEH1
4081.Solyc01g007910.2.1	Q8GTQ9
4081.Solyc02g005350.2.1	Q6DQL1
4081.Solyc06g083790.2.1	Q84LB6
4081.Solyc12g009300.1.1	P49037
4081.Solyc10g076610.1.1	Q43776
4081.Solyc05g051750.2.1	P27058
4081.Solyc02g084850.2.1	P22240
4081.Solyc01g099770.2.1	Q6DUX3
4081.Solyc09g008670.2.1	P25306
4081.Solyc04g074640.2.1	Q9THX6
4081.Solyc08g080650.1.1	Q01591
4081.Solyc01g101170.2.1	G5CV46
4081.Solyc01g105870.2.1	G1JUH1
4081.Solyc06g082600.2.1	P35135
4081.Solyc10g054590.1.1	O24011
4081.Solyc06g074740.2.1	P93231
4081.Solyc02g069940.2.1	Q5BQN5
4081.Solyc02g083950.2.1	Q84VT7
4081.Solyc01g099630.2.1	Q40144
4081.Solyc01g007640.2.1	P61242
4081.Solyc01g007360.2.1	Q2MI89
4081.Solyc01g097810.2.1	Q9SE20
4081.Solyc10g076710.1.1	B6C9K5
4081.Solyc09g098590.2.1	E0Z1D1
4081.Solyc03g059490.1.1	F8WS89
4081.Solyc04g081490.2.1	Q38MV0
4081.Solyc01g098610.2.1	E1U7P9
4081.Solyc07g042830.2.1	B2ZGM9
4081.Solyc02g062970.2.1	Q93X45
4081.Solyc07g066210.2.1	Q9ARC6
