3702.AT1G22300.1	P48347
3702.AT1G34760.1	Q9S9Z8
3702.AT1G26480.1	Q9C5W6
3702.AT1G78300.1	Q01525
3702.AT5G38480.1	P42644
3702.AT5G16050.1	P42645
3702.AT5G10450.4	P48349
3702.AT3G02520.1	Q96300
3702.AT5G65430.3	P48348
3702.AT2G42590.3	Q96299
3702.AT1G62960.1	Q9LQ10
3702.AT4G08040.1	Q9S9U6
3702.AT5G51690.1	Q8GYY0
3702.AT3G61510.1	Q06429
3702.AT1G01480.1	Q06402
3702.AT2G22810.1	Q43309
3702.AT5G65800.1	Q37001
3702.AT4G11280.1	Q9SAR0
3702.AT4G26200.1	Q9STR4
3702.AT4G37770.1	Q9T065
3702.AT3G49700.1	Q9M2Y8
3702.AT5G03470.1	O04375
3702.AT3G09880.1	O04376
3702.AT3G26030.1	Q9ZQY6
3702.AT3G54930.1	Q9SV41
3702.AT4G15415.1	Q8RW96
3702.AT5G25510.1	Q93YV6
3702.AT1G13460.1	Q8LF36
3702.AT3G21650.1	Q9LVE2
3702.AT1G25490.1	Q38845
3702.AT3G25800.1	Q38950
3702.AT1G13320.1	Q38951
3702.AT5G44090.1	Q9XGR4
3702.AT5G28850.2	Q5QIT3
3702.AT5G28900.1	Q8VZQ4
3702.AT1G54450.1	Q9SLI8
3702.AT1G03960.1	Q84JI6
3702.AT1G51690.3	Q38821
3702.AT1G17720.1	Q39247
3702.AT4G27140.1	P15457
3702.AT4G27150.1	P15458
3702.AT4G27160.1	P15459
3702.AT4G27170.1	P15460
3702.AT5G54740.1	Q9FH31
3702.AT1G03940.1	Q9ZWB4
3702.AT1G03495.1	Q9LR73
3702.AT4G29120.1	Q9SZE1
3702.AT1G71170.1	Q9C991
3702.AT1G71180.1	Q949M8
3702.AT4G20930.1	Q9SUC0
3702.AT3G12040.1	Q39147
3702.AT1G51680.1	Q42524
3702.AT3G21240.1	Q9S725
3702.AT1G65060.1	Q9S777
3702.AT3G21230.1	Q9LU36
3702.AT1G62940.1	Q9LQ12
3702.AT1G20480.1	Q84P25
3702.AT1G20490.1	Q3E6Y4
3702.AT1G20500.1	P0C5B6
3702.AT1G20510.1	Q84P21
3702.AT4G19010.1	Q84P24
3702.AT4G05160.1	Q9M0X9
3702.AT5G38120.1	Q84P26
3702.AT5G63380.1	Q84P23
3702.AT3G48990.1	Q9SMT7
3702.AT4G26020.2	Q1PE49
3702.AT1G76730.1	Q9SRE0
3702.AT5G13050.1	Q8L539
3702.AT3G29590.1	Q9LJB4
