9913.ENSBTAP00000022411	P68250
9913.ENSBTAP00000007442	P62261
9913.ENSBTAP00000041575	P68509
9913.ENSBTAP00000005327	P68252
9913.ENSBTAP00000012154	Q0VC36
9913.ENSBTAP00000032779	Q3SZI4
9913.ENSBTAP00000000289	P63103
9913.ENSBTAP00000026361	A4FV68
9913.ENSBTAP00000026449	Q32PI5
9913.ENSBTAP00000002427	Q5E9Q7
9913.ENSBTAP00000010992	P14893
9913.ENSBTAP00000003422	Q0V8K7
9913.ENSBTAP00000006132	Q0VCA8
9913.ENSBTAP00000001374	Q2HJD7
9913.ENSBTAP00000039615	Q0P5A7
9913.ENSBTAP00000017943	Q75Z89
9913.ENSBTAP00000017090	O46411
9913.ENSBTAP00000054917	Q05927
9913.ENSBTAP00000038273	P14790
9913.ENSBTAP00000022314	Q2TBQ8
9913.ENSBTAP00000040728	A6QR56
9913.ENSBTAP00000022991	Q3SZR3
9913.ENSBTAP00000004927	P34955
9913.ENSBTAP00000012837	Q2KJF1
9913.ENSBTAP00000027793	P28800
9913.ENSBTAP00000006167	Q7SIH1
9913.ENSBTAP00000045951	Q28053
9913.ENSBTAP00000015230	P28190
9913.ENSBTAP00000009974	Q1LZD0
9913.ENSBTAP00000010057	Q0VC81
9913.ENSBTAP00000015373	Q0P5B7
9913.ENSBTAP00000018050	Q95JC7
9913.ENSBTAP00000013637	Q5E9N4
9913.ENSBTAP00000027653	Q148E0
9913.ENSBTAP00000012302	F1MH24
9913.ENSBTAP00000007798	Q5BIS9
9913.ENSBTAP00000043459	P58108
9913.ENSBTAP00000017940	Q2LL38
9913.ENSBTAP00000022993	Q32PA8
9913.ENSBTAP00000005126	Q3SZK1
9913.ENSBTAP00000051221	Q08DJ7
9913.ENSBTAP00000016090	A8E657
9913.ENSBTAP00000021864	Q2T9S8
9913.ENSBTAP00000015873	P33097
9913.ENSBTAP00000009440	P12344
9913.ENSBTAP00000035338	Q2HJ19
9913.ENSBTAP00000044044	A5PKD9
9913.ENSBTAP00000000799	Q2KJA2
9913.ENSBTAP00000051068	Q4GZT4
9913.ENSBTAP00000001863	Q08DW9
9913.ENSBTAP00000035907	Q3SYR3
9913.ENSBTAP00000009303	Q3T0A0
9913.ENSBTAP00000026579	Q5EA42
9913.ENSBTAP00000022154	Q5EA59
9913.ENSBTAP00000022100	Q1LZ86
9913.ENSBTAP00000036358	Q17QP1
9913.ENSBTAP00000006038	Q5E9H9
9913.ENSBTAP00000013668	Q3SZ73
9913.ENSBTAP00000024782	A7YY28
