5061.CADANGAP00000030	P42254
5061.CADANGAP00011686	P42255
5061.CADANGAP00007516	P42256
5061.CADANGAP00004923	P28351
5061.CADANGAP00002564	Q9Y865
5061.CADANGAP00007429	Q9UUZ4
5061.CADANGAP00004308	P56526
5061.CADANGAP00011295	Q96WX9
5061.CADANGAP00006922	P41751
5061.CADANGAP00007551	Q12556
5061.CADANGAP00008517	P56271
5061.CADANGAP00003574	P69328
5061.CADANGAP00009588	P46882
5061.CADANGAP00008654	O74180
5061.CADANGAP00003042	P79019
5061.CADANGAP00000170	P55303
5061.CADANGAP00006086	Q9UVS9
5061.CADANGAP00001127	Q9UVS8
5061.CADANGAP00005714	P30581
5061.CADANGAP00010787	P30582
5061.CADANGAP00008062	P51044
5061.CADANGAP00011133	O93980
5061.CADANGAP00007746	P17549
5061.CADANGAP00000766	Q00096
5061.CADANGAP00001839	Q05620
5061.CADANGAP00001644	P56205
5061.CADANGAP00002590	Q96VT7
5061.CADANGAP00009722	Q3LS63
5061.CADANGAP00006047	O74706
5061.CADANGAP00007416	O42807
5061.CADANGAP00010268	Q8WZI8
5061.CADANGAP00012414	Q12552
5061.CADANGAP00002664	P48826
5061.CADANGAP00013963	Q8X168
5061.CADANGAP00001413	P13006
5061.CADANGAP00008595	P83616
5061.CADANGAP00009269	P0C952
5061.CADANGAP00010094	Q92407
5061.CADANGAP00002693	P79089
5061.CADANGAP00008504	O74641
5061.CADANGAP00008504	O74642
5061.CADANGAP00010061	Q76HP6
5061.CADANGAP00012604	Q9C196
5061.CADANGAP00013618	Q00078
5061.CADANGAP00006051	Q12669
5061.CADANGAP00001364	P87256
5061.CADANGAP00004627	P87257
5061.CADANGAP00002225	A8DRH7
5061.CADANGAP00009120	Q8NJN1
5061.CADANGAP00002039	Q8NJJ1
5061.CADANGAP00006979	Q00141
5061.CADANGAP00004183	Q92406
5061.CADANGAP00006756	P36858
5061.CADANGAP00001395	A9QXE0
5061.CADANGAP00011057	P11066
5061.CADANGAP00002242	Q00203
5061.CADANGAP00002931	Q12730
5061.CADANGAP00011153	Q01172
5061.CADANGAP00002970	Q00205
5061.CADANGAP00008580	Q5MBK3
5061.CADANGAP00014082	P22864
5061.CADANGAP00012161	Q8NJK6
5061.CADANGAP00011185	P55325
5061.CADANGAP00005548	P33295
5061.CADANGAP00005956	P52718
5061.CADANGAP00013544	P78985
5061.CADANGAP00001113	P26213
5061.CADANGAP00011984	P26214
5061.CADANGAP00012918	Q9P4W4
5061.CADANGAP00001948	Q9P4W3
5061.CADANGAP00004890	Q12554
5061.CADANGAP00007721	Q9P4W2
5061.CADANGAP00001406	O42809
5061.CADANGAP00009981	Q27UB3
5061.CADANGAP00008581	Q27UB2
5061.CADANGAP00003593	Q27UB1
5061.CADANGAP00003968	P34752
5061.CADANGAP00007284	P34754
5061.CADANGAP00008167	Q9C2Z0
5061.CADANGAP00003825	Q8X166
5061.CADANGAP00010101	Q8X191
5061.CADANGAP00002173	P78578
5061.CADANGAP00000047	P24665
5061.CADANGAP00003832	Q9HES8
5061.CADANGAP00009614	P07817
5061.CADANGAP00010833	Q8NJK5
5061.CADANGAP00001404	Q2EQQ2
5061.CADANGAP00009366	P87160
5061.CADANGAP00011136	P87161
5061.CADANGAP00000327	O13418
5061.CADANGAP00000383	P0C950
5061.CADANGAP00001210	Q3MSU9
5061.CADANGAP00005537	P85978
5061.CADANGAP00008025	Q00179
5061.CADANGAP00013579	Q00216
5061.CADANGAP00007233	Q00075
5061.CADANGAP00006023	Q00217
5061.CADANGAP00006800	P05328
5061.CADANGAP00000317	A1XP58
5061.CADANGAP00005475	Q8X167
5061.CADANGAP00012027	O42804
5061.CADANGAP00000355	Q9P8R5
5061.CADANGAP00009275	Q5GN51
5061.CADANGAP00011453	Q12549
5061.CADANGAP00000070	P55330
5061.CADANGAP00003040	C5J411
5061.CADANGAP00000967	O00089
