8364.ENSXETP00000049381	Q5XGC8
8364.ENSXETP00000013608	Q6P4Z5
8364.ENSXETP00000045043	Q0D2F4
8364.ENSXETP00000043899	A4IH82
8364.ENSXETP00000061535	Q6DIZ0
8364.ENSXETP00000060617	Q28BL6
8364.ENSXETP00000034675	Q28F67
8364.ENSXETP00000057305	Q6DEY3
8364.ENSXETP00000004138	Q6GL10
8364.ENSXETP00000030397	Q08D64
8364.ENSXETP00000026160	B2GUP8
8364.ENSXETP00000027942	B4F753
8364.ENSXETP00000017026	Q0V9K2
8364.ENSXETP00000050059	Q66JD7
8364.ENSXETP00000046309	P20399
8364.ENSXETP00000046309	Q6P8G3
8364.ENSXETP00000003955	Q6NVA9
8364.ENSXETP00000046309	Q6P640
8364.ENSXETP00000057558	Q6P378
8364.ENSXETP00000012735	Q28C61
8364.ENSXETP00000019664	Q5BJ91
8364.ENSXETP00000029009	Q28FK7
8364.ENSXETP00000025270	Q5EBE1
8364.ENSXETP00000058713	Q28FE8
8364.ENSXETP00000021557	Q0P4H0
8364.ENSXETP00000007489	Q63ZU0
8364.ENSXETP00000024217	Q5M7P6
8364.ENSXETP00000024142	Q66JJ3
8364.ENSXETP00000063750	F7EL49
8364.ENSXETP00000051244	Q6DJB9
8364.ENSXETP00000049323	Q28ID5
8364.ENSXETP00000049321	Q6DJ58
8364.ENSXETP00000037399	B4F6I3
8364.ENSXETP00000033497	Q0IIY7
8364.ENSXETP00000007570	Q28FD1
8364.ENSXETP00000058585	Q5BL57
8364.ENSXETP00000017728	Q28IA3
8364.ENSXETP00000015516	Q28DB5
8364.ENSXETP00000044752	Q6P312
8364.ENSXETP00000031643	Q07G10
8364.ENSXETP00000002586	Q640T1
8364.ENSXETP00000062669	A4IGN8
8364.ENSXETP00000046776	Q6P326
8364.ENSXETP00000043882	Q5XGB9
8364.ENSXETP00000021179	Q28C34
8364.ENSXETP00000021012	Q6P1U7
8364.ENSXETP00000047089	Q5BKI6
8364.ENSXETP00000036328	Q28F07
8364.ENSXETP00000062304	B3DLB3
8364.ENSXETP00000021902	B0JYW5
8364.ENSXETP00000054652	Q28FJ2
8364.ENSXETP00000037610	Q6P856
8364.ENSXETP00000058924	F6S215
8364.ENSXETP00000005540	Q28IW8
8364.ENSXETP00000013527	Q6DJQ9
8364.ENSXETP00000056413	Q6DF34
8364.ENSXETP00000052107	P61801
8364.ENSXETP00000039869	Q5FW25
8364.ENSXETP00000011114	Q28CM8
8364.ENSXETP00000003278	Q6P2W5
8364.ENSXETP00000059133	Q28FQ6
8364.ENSXETP00000058410	B1H1E4
8364.ENSXETP00000056949	Q5XGD9
8364.ENSXETP00000000131	A4IHD2
8364.ENSXETP00000001981	Q6P8C8
8364.ENSXETP00000021038	A0JMA8
8364.ENSXETP00000018556	Q6DJA3
8364.ENSXETP00000053380	Q28IC1
8364.ENSXETP00000056806	Q28GU6
8364.ENSXETP00000030571	Q5BL41
8364.ENSXETP00000057538	Q6DJ71
8364.ENSXETP00000028124	Q6DIP1
8364.ENSXETP00000063425	B5DE73
8364.ENSXETP00000060349	Q5M8Z6
8364.ENSXETP00000035984	Q6DIK0
8364.ENSXETP00000020353	B4F6J6
8364.ENSXETP00000028394	Q6NVR9
8364.ENSXETP00000051980	B2RZF9
8364.ENSXETP00000023701	Q68EP9
8364.ENSXETP00000015454	F7BK26
8364.ENSXETP00000032154	Q5BKJ4
8364.ENSXETP00000061325	Q66JD1
8364.ENSXETP00000028675	Q5EBF8
8364.ENSXETP00000046848	Q5FVX5
8364.ENSXETP00000019956	A4IGM9
8364.ENSXETP00000055015	Q6P3P5
8364.ENSXETP00000059625	Q5BJ61
8364.ENSXETP00000054427	Q5M8J0
8364.ENSXETP00000042121	Q28DC9
8364.ENSXETP00000036213	Q6P4Y1
8364.ENSXETP00000000167	Q66JB6
8364.ENSXETP00000028965	F7EMX9
8364.ENSXETP00000058635	Q28G25
8364.ENSXETP00000053943	Q6GL92
8364.ENSXETP00000008176	Q6DEV7
8364.ENSXETP00000027611	Q4A1L3
8364.ENSXETP00000059123	Q5M8Z0
8364.ENSXETP00000026607	Q0V9T6
8364.ENSXETP00000024837	Q6DIX6
8364.ENSXETP00000009347	Q28H51
8364.ENSXETP00000021977	Q28ER3
8364.ENSXETP00000060882	A9JTP3
8364.ENSXETP00000005980	Q0V9T8
8364.ENSXETP00000037986	Q0VFD8
8364.ENSXETP00000050858	Q66KB9
8364.ENSXETP00000054338	Q5M8I8
8364.ENSXETP00000048799	Q68FB1
8364.ENSXETP00000008473	Q0V9F7
8364.ENSXETP00000055344	Q4VA72
8364.ENSXETP00000028698	Q6NVM8
8364.ENSXETP00000049781	F7DRV9
8364.ENSXETP00000062907	Q6DJ78
8364.ENSXETP00000060533	A4QNR3
8364.ENSXETP00000058775	A4II71
8364.ENSXETP00000032889	A4IIL4
8364.ENSXETP00000063168	Q5M8V0
8364.ENSXETP00000048825	Q0V9W6
8364.ENSXETP00000058720	Q6P2Z0
8364.ENSXETP00000051555	Q6P7L0
8364.ENSXETP00000053089	A0JM08
8364.ENSXETP00000025162	Q28C44
8364.ENSXETP00000055765	A0JM13
8364.ENSXETP00000043439	Q5BKH3
8364.ENSXETP00000011086	Q6P3Q6
8364.ENSXETP00000055897	Q28EW5
8364.ENSXETP00000047735	Q28GG3
8364.ENSXETP00000024874	B1H3G4
8364.ENSXETP00000006724	Q28E54
8364.ENSXETP00000003229	Q07G87
8364.ENSXETP00000037954	Q28I03
8364.ENSXETP00000013296	A0JM83
8364.ENSXETP00000031726	Q5BKL9
8364.ENSXETP00000049360	Q6DF48
8364.ENSXETP00000041944	Q6DJ83
8364.ENSXETP00000017065	Q5XGC7
8364.ENSXETP00000030402	Q0P4Y4
8364.ENSXETP00000049856	Q28BT4
8364.ENSXETP00000052759	Q5CZI8
8364.ENSXETP00000039479	Q08D12
8364.ENSXETP00000062666	A4II40
8364.ENSXETP00000058803	Q0IHR1
8364.ENSXETP00000059516	A9JRL3
8364.ENSXETP00000006605	B0JZV4
8364.ENSXETP00000010799	Q68ER2
8364.ENSXETP00000007378	Q5RJU3
8364.ENSXETP00000029677	Q28HN4
8364.ENSXETP00000037938	Q28F39
8364.ENSXETP00000062874	A9JSR5
8364.ENSXETP00000017119	A4QNG1
8364.ENSXETP00000035820	B0BMJ2
8364.ENSXETP00000054276	Q0V989
8364.ENSXETP00000029870	Q6DJ87
8364.ENSXETP00000015634	Q28G12
8364.ENSXETP00000042111	Q0V9R4
8364.ENSXETP00000042070	Q0IHN7
8364.ENSXETP00000032653	Q640U7
8364.ENSXETP00000055094	Q28F72
8364.ENSXETP00000027235	Q5XGG5
8364.ENSXETP00000024290	Q5BKF8
8364.ENSXETP00000035769	Q28EL0
8364.ENSXETP00000058579	Q28HU2
8364.ENSXETP00000052948	Q28GP0
8364.ENSXETP00000019981	Q5BKN5
8364.ENSXETP00000001311	Q28HY7
8364.ENSXETP00000043552	B5DE93
8364.ENSXETP00000007502	A4IIW7
8364.ENSXETP00000031527	Q6GLD8
8364.ENSXETP00000000030	Q6P4Y0
8364.ENSXETP00000062480	Q6DIS2
