211586.SO_2484	Q8EEA3
211586.SO_2915	Q8ED55
211586.SO_0343	Q8EJW3
211586.SO_1352	Q8EH77
211586.SO_2775	Q8EDH4
211586.SO_2743	Q8EDK3
211586.SO_2253	Q8EEW0
211586.SO_4731	Q8E8D4
211586.SO_0887	Q8EIF2
211586.SO_3916	Q8EAI6
211586.SO_0959	Q8EI85
211586.SO_1368	Q8EH62
211586.SO_1313	Q8EHB5
211586.SO_3640	Q8EB92
211586.SO_3641	Q8EB91
211586.SO_2012	Q8EFG1
211586.SO_1307	Q8EHC1
211586.SO_4245	P59292
211586.SO_0276	P59301
211586.SO_0275	P59309
211586.SO_0617	P59320
211586.SO_0769	Q8EIR6
211586.SO_0279	Q8EK27
211586.SO_2404	Q8EEH8
211586.SO_0287	Q8EK19
211586.SO_0040	Q8EKQ0
211586.SO_0286	Q8EK20
211586.SO_0512	Q8EJF5
211586.SO_0278	Q8EK28
211586.SO_2706	Q8EDN7
211586.SO_0619	Q8EJ54
211586.SO_2338	Q8EEN9
211586.SO_2624	Q8EDW7
211586.SO_4753	Q8E8B4
211586.SO_4749	Q8E8B8
211586.SO_4747	Q8E8C0
211586.SO_4750	Q8E8B7
211586.SO_4746	Q8E8C1
211586.SO_4751	Q8E8B6
211586.SO_4748	Q8E8B9
211586.SO_4752	Q8E8B5
211586.SO_4396	Q8E990
211586.SO_3309	Q8EC35
211586.SO_1880	Q8EFT6
211586.SO_1476	Q8EGW5
211586.SO_2740	Q8EDK6
211586.SO_2738	Q8EDK8
211586.SO_4626	Q8E8N6
211586.SO_0274	Q8EK30
211586.SO_1141	Q8EHS6
211586.SO_0263	Q8EK40
211586.SO_0259	Q8EK44
211586.SO_2791	Q8EDG1
211586.SO_0703	Q8CX49
211586.SO_0704	Q8CX48
211586.SO_3206	Q8ECD7
211586.SO_2126	Q8EF61
211586.SO_2327	Q8EEQ0
211586.SO_2125	Q8EF62
211586.SO_2326	Q8EEQ1
211586.SO_3577	Q8EBE6
211586.SO_1794	Q8EG19
211586.SO_2627	Q8EDW4
211586.SO_1795	Q8EG18
211586.SO_2435	Q8EEE7
211586.SO_2436	Q8EEE6
211586.SO_0215	Q8EK83
211586.SO_4684	Q8E8I0
211586.SO_0413	Q8EJP9
211586.SO_1038	Q8EI15
211586.SO_1036	Q8EI17
211586.SO_1035	Q8EI18
211586.SO_2309	Q8EER0
211586.SO_3426	Q8EBS3
211586.SO_4311	Q8E9H2
211586.SO_4614	Q8E8P7
211586.SO_3602	Q8EBC3
211586.SO_4655	Q8E8K8
211586.SO_3723	Q8EB13
211586.SO_3727	Q8EB09
211586.SO_3736	Q8EB01
211586.SO_3737	Q8EB00
211586.SO_3738	Q8EAZ9
211586.SO_3726	Q8EB10
211586.SO_1879	Q8EFT7
211586.SO_1140	Q8EHS7
211586.SO_1625	Q8EGH9
211586.SO_2471	Q8EEB6
211586.SO_4308	Q8E9H5
211586.SO_2616	Q8EDX5
211586.SO_0435	Q8EJM8
211586.SO_2217	Q8EEZ2
211586.SO_0032	Q8EKQ8
211586.SO_1062	Q8EHZ2
211586.SO_2530	Q8EE60
211586.SO_1219	Q8EHK2
211586.SO_1217	Q8EHK4
211586.SO_0092	Q8EKK0
211586.SO_1221	Q8EHK0
211586.SO_2719	Q8EDM4
211586.SO_3308	Q8EC36
211586.SO_2485	Q8EEA2
211586.SO_3633	Q8EB99
211586.SO_0008	Q8EKT2
211586.SO_1127	Q8EHT6
211586.SO_1126	Q8EHT7
211586.SO_2896	Q8ED70
211586.SO_1114	Q8EHU9
211586.SO_2887	P59346
211586.SO_3870	Q8EAM8
211586.SO_4398	Q8E988
211586.SO_3912	Q8EAJ0
211586.SO_0394	Q8EJR8
211586.SO_2006	Q8EFG7
211586.SO_4250	Q8E9M0
211586.SO_1635	Q8EGG9
211586.SO_1525	Q8EGR9
211586.SO_0931	Q8EIB2
211586.SO_2312	Q8EEQ7
211586.SO_0228	Q8EK71
211586.SO_0842	Q8EIJ7
211586.SO_2328	Q8EEP9
211586.SO_1630	Q8EGH4
211586.SO_0217	Q8EK81
211586.SO_0229	Q8EK70
211586.SO_4667	Q8E8J7
211586.SO_3440	Q8EBR0
211586.SO_1304	Q8EHC4
211586.SO_2508	Q8EE81
211586.SO_2509	Q8EE80
211586.SO_2511	Q8EE78
211586.SO_2513	Q8EE76
211586.SO_2512	Q8EE77
211586.SO_2356	P46148
211586.SO_3294	Q8EC50
211586.SO_3991	Q8EAB6
211586.SO_1856	Q8EFV9
211586.SO_2778	Q8EDH1
211586.SO_1640	Q8EGG4
211586.SO_0020	Q8EKS0
211586.SO_0021	Q8EKR9
211586.SO_3089	Q8ECP6
211586.SO_3088	Q8ECP7
211586.SO_2885	Q8ED80
211586.SO_0107	Q8EKI6
211586.SO_0104	P59188
211586.SO_3369	Q8EBX6
211586.SO_0393	Q8EJR9
211586.SO_3243	Q8ECA1
211586.SO_3242	Q8ECA2
211586.SO_0031	Q8EKQ9
211586.SO_1792	Q8EG21
211586.SO_4726	Q8E8D9
211586.SO_0970	P83223
211586.SO_0560	Q8EJA7
211586.SO_3439	Q8EBR1
211586.SO_2306	Q8EER3
211586.SO_4226	Q8E9P1
211586.SO_4217	Q8E9P9
211586.SO_3547	Q8EBH1
211586.SO_1072	Q8EHY2
211586.SO_4254	Q8E9L6
211586.SO_0780	Q8EIQ7
211586.SO_0781	Q8EIQ6
211586.SO_0779	Q8EIQ8
211586.SO_3120	Q8ECL7
211586.SO_1494	Q8EGU7
211586.SO_1498	Q8EGU3
211586.SO_1199	Q8EHM0
211586.SO_4741	Q8CX33
211586.SO_4745	Q8E8C2
211586.SO_1626	Q8EGH8
211586.SO_3760	Q8EAY1
211586.SO_2563	Q8EE27
211586.SO_4672	Q8E8J2
211586.SO_4230	Q8E9N7
211586.SO_3365	Q8EBY0
211586.SO_0873	Q8EIG6
211586.SO_3471	Q8EBN8
211586.SO_0298	Q8EK08
211586.SO_0053	Q8EKN9
211586.SO_0049	P59175
211586.SO_1524	Q8EGS0
211586.SO_1300	Q8EHC8
211586.SO_3559	Q8EBF9
211586.SO_0831	Q8EIK8
211586.SO_3292	Q8EC52
211586.SO_1363	Q8EH67
211586.SO_3834	Q8EAR2
211586.SO_4313	Q8E9H0
211586.SO_0038	Q8EKQ2
211586.SO_2019	Q8EFF4
211586.SO_3348	Q8EBZ7
211586.SO_2634	Q8EDV9
211586.SO_0603	Q8EJ69
211586.SO_0706	Q8EIX3
211586.SO_0705	Q8EIX4
211586.SO_2074	Q8EFB0
211586.SO_2067	Q8EFB6
211586.SO_2069	Q8EFB5
211586.SO_2070	Q8EFB4
211586.SO_2068	Q8CX42
211586.SO_2071	Q8EFB3
211586.SO_2072	Q8EFB2
211586.SO_2073	Q8EFB1
211586.SO_3745	Q8EAZ2
211586.SO_3675	Q8EB59
211586.SO_2268	Q8EEU5
211586.SO_2267	Q8EEU6
211586.SO_0163	Q8EKD2
211586.SO_4163	Q8E9U9
211586.SO_4162	Q8E9V0
211586.SO_2016	Q8EFF7
211586.SO_2728	Q8EDL5
211586.SO_0098	Q8EKJ4
211586.SO_0095	Q8EKJ7
211586.SO_0097	Q8EKJ5
211586.SO_2089	Q8EF96
211586.SO_2625	Q8EDW6
211586.SO_1204	Q8EHL5
211586.SO_2300	Q8EER8
211586.SO_2087	Q8EF98
211586.SO_2401	Q8EEI1
211586.SO_4349	Q8E9D5
211586.SO_4345	Q8E9D9
211586.SO_2264	Q8EEU9
211586.SO_3438	Q8EBR2
211586.SO_3836	Q8EAR0
211586.SO_3437	Q8EBR3
211586.SO_3312	Q8EC32
211586.SO_3529	Q8EBI7
211586.SO_2018	Q8EFF5
211586.SO_4405	Q8E981
211586.SO_0725	Q8EIV5
211586.SO_2403	Q8EEH9
211586.SO_3827	Q8EAR9
211586.SO_2478	Q8EEA9
211586.SO_0361	Q8EJU6
211586.SO_3140	Q8ECK0
211586.SO_3837	Q8EAQ9
211586.SO_2613	Q8EDX8
211586.SO_1346	Q8EH83
211586.SO_4236	Q8E9N2
211586.SO_4235	Q8E9N3
211586.SO_4234	Q8E9N4
211586.SO_4233	Q8E9N5
211586.SO_4603	Q8E8Q8
211586.SO_2623	Q8EDW8
211586.SO_1334	Q8EH95
211586.SO_1161	Q8EHQ6
211586.SO_1162	Q8EHQ5
211586.SO_1177	Q8EHP1
211586.SO_2307	Q8EER2
211586.SO_3835	Q8EAR1
211586.SO_2258	Q8EEV5
211586.SO_3636	Q8EB96
211586.SO_1642	Q8EGG2
211586.SO_4214	Q8E9Q2
211586.SO_1639	Q8EGG5
211586.SO_1789	Q8EG24
211586.SO_2801	Q8EDF1
211586.SO_3531	Q8EBI5
211586.SO_1101	Q8EHW1
211586.SO_0821	Q8EIL8
211586.SO_3855	Q8EAP2
211586.SO_0479	Q8EJI6
211586.SO_0770	P82177
211586.SO_4021	Q8EA87
211586.SO_4573	Q8E8T4
211586.SO_1676	Q8EGC8
211586.SO_0818	Q8EIM0
211586.SO_4057	Q8EA52
211586.SO_0929	Q8EIB4
211586.SO_0602	Q8CX50
211586.SO_1181	Q8CX45
211586.SO_2576	Q8EE14
211586.SO_2578	Q8EE12
211586.SO_3288	Q8EC56
211586.SO_2633	Q8CX40
211586.SO_3073	Q8ECR0
211586.SO_0003	Q8CX52
211586.SO_4758	Q8E8A9
211586.SO_4451	Q8E942
211586.SO_4722	Q8E8E3
211586.SO_3865	Q8EAN3
211586.SO_4222	Q8E9P5
211586.SO_4228	Q8E9N9
211586.SO_2802	Q8EDF0
