169963.lmo0928	P58621
169963.lmo1572	Q8Y6V9
169963.lmo1573	Q8Y6V8
169963.lmo1581	Q8Y6V0
169963.lmo1168	Q8Y7V1
169963.lmo0885	Q8Y8L2
169963.lmo1806	P63439
169963.lmo0204	P33379
169963.lmo1381	Q8Y7A7
169963.lmo2267	Q8Y511
169963.lmo2268	Q8Y510
169963.lmo1742	Q8Y6E5
169963.lmo0048	Q8YAR6
169963.lmo0038	Q8YAS5
169963.lmo0040	Q8YAS3
169963.lmo0886	P0DJL8
169963.lmo1524	P0A2X5
169963.lmo0043	Q8YAS0
169963.lmo1589	Q8Y6U3
169963.lmo1591	Q8Y6U1
169963.lmo1588	Q8Y6U4
169963.lmo1590	Q8Y6U2
169963.lmo1367	Q8Y7B9
169963.lmo2091	Q8Y5H1
169963.lmo1923	Q8Y5Y0
169963.lmo1927	Q8Y5X6
169963.lmo1928	Q8Y5X5
169963.lmo0491	Q8Y9N4
169963.lmo0490	Q8Y9N5
169963.lmo2090	Q8Y5H2
169963.lmo2682	Q8Y3Z6
169963.lmo2681	Q8Y3Z7
169963.lmo2680	Q8Y3Z8
169963.lmo2535	Q8Y4B6
169963.lmo0090	Q8YAM8
169963.lmo2531	Q8Y4C0
169963.lmo0092	Q8YAM6
169963.lmo2529	Q8Y4C1
169963.lmo2532	Q8Y4B9
169963.lmo2528	Q8Y4C2
169963.lmo2533	Q8Y4B8
169963.lmo2530	Q927W3
169963.lmo0611	Q8Y9C1
169963.lmo0786	Q8Y8V6
169963.lmo2092	Q9X4A5
169963.lmo2764	Q8Y3R9
169963.lmo1370	Q8Y7B6
169963.lmo1100	P58414
169963.lmo1836	Q8Y664
169963.lmo1835	Q8Y665
169963.lmo2785	Q8Y3P9
169963.lmo1191	Q8Y7T0
169963.lmo1194	Q8Y7S7
169963.lmo1905	Q8Y5Z8
169963.lmo2069	Q9AGE7
169963.lmo2068	Q9AGE6
169963.lmo0692	Q48768
169963.lmo0683	Q9XDE8
169963.lmo0691	P0A4H5
169963.lmo1397	Q8Y793
169963.lmo2206	Q8Y570
169963.lmo2468	Q9RQI6
169963.lmo1268	Q8Y7K9
169963.lmo2503	Q8Y4E3
169963.lmo0922	Q8Y8I0
169963.lmo2052	Q8Y5K7
169963.lmo1563	Q8Y6W8
169963.lmo0221	Q8YAC5
169963.lmo1192	Q8Y7S9
169963.lmo1208	Q8Y7R3
169963.lmo1148	Q8Y7X1
169963.lmo1280	Q8Y7J7
169963.lmo2057	Q8Y5K3
169963.lmo2081	Q8Y5I1
169963.lmo2082	Q8Y5I0
169963.lmo0866	Q8Y8N0
169963.lmo1450	Q8Y755
169963.lmo1364	P0A355
169963.lmo2016	P0A357
169963.lmo2058	Q8Y5K2
169963.lmo1619	P0DJL9
169963.lmo2120	Q8Y5E4
169963.lmo1435	Q8Y766
169963.lmo1907	Q8Y5Z6
169963.lmo1012	Q8Y8A0
169963.lmo2018	Q8Y5N9
169963.lmo1011	Q8Y8A1
169963.lmo1246	Q8Y7M8
169963.lmo0447	Q9F5P3
169963.lmo2363	Q9EYW9
169963.lmo2434	Q8Y4K4
169963.lmo2212	Q8Y564
169963.lmo0855	Q8Y8P1
169963.lmo1051	Q8Y866
169963.lmo1954	Q8Y5V1
169963.lmo1995	Q8Y5R1
169963.lmo1856	Q8Y644
169963.lmo1937	Q8Y5W8
169963.lmo2657	Q8Y420
169963.lmo2034	Q8Y5M3
169963.lmo0974	Q8Y8D4
169963.lmo0972	Q9S389
169963.lmo0001	Q8YAW2
169963.lmo1455	P47762
169963.lmo1472	P0DJM1
169963.lmo1473	P0DJM2
169963.lmo1758	Q8Y6D0
169963.lmo1320	Q8Y7G1
169963.lmo1975	Q8Y5T0
169963.lmo0943	Q8Y8G1
169963.lmo1522	Q93RD9
