9823.ENSSSCP00000024131	P54612
9823.ENSSSCP00000020079	P54613
9823.ENSSSCP00000010312	Q29090
9823.ENSSSCP00000004826	P79399
9823.ENSSSCP00000020202	P79400
9823.ENSSSCP00000022846	Q29003
9823.ENSSSCP00000010037	P50129
9823.ENSSSCP00000017240	Q29005
9823.ENSSSCP00000003687	P14332
9823.ENSSSCP00000005176	P01165
9823.ENSSSCP00000002681	P50447
9823.ENSSSCP00000012805	P79307
9823.ENSSSCP00000008900	F1SPM8
9823.ENSSSCP00000010503	P80387
9823.ENSSSCP00000000193	Q09138
9823.ENSSSCP00000017163	Q9MYP4
9823.ENSSSCP00000004154	Q28948
9823.ENSSSCP00000011226	P00503
9823.ENSSSCP00000003017	P00506
9823.ENSSSCP00000028530	Q767L0
9823.ENSSSCP00000028560	Q8MIB3
9823.ENSSSCP00000012044	Q5EE05
9823.ENSSSCP00000006449	B5SNZ6
9823.ENSSSCP00000017114	P79274
9823.ENSSSCP00000004085	P41367
9823.ENSSSCP00000010581	P79273
9823.ENSSSCP00000021888	P12026
9823.ENSSSCP00000026844	P04761
9823.ENSSSCP00000011244	O02858
9823.ENSSSCP00000000070	P16276
9823.ENSSSCP00000012138	P19205
9823.ENSSSCP00000000746	Q29016
9823.ENSSSCP00000021991	P08001
9823.ENSSSCP00000008105	Q6QAQ1
9823.ENSSSCP00000020075	Q8HYN8
9823.ENSSSCP00000010867	P68137
9823.ENSSSCP00000025679	P37111
9823.ENSSSCP00000018920	B1PK17
9823.ENSSSCP00000002579	P24540
9823.ENSSSCP00000004952	O77633
9823.ENSSSCP00000009208	O77636
9823.ENSSSCP00000007601	Q9TTM9
9823.ENSSSCP00000011323	P18871
9823.ENSSSCP00000007824	Q30C86
9823.ENSSSCP00000003462	A5LHG2
9823.ENSSSCP00000014253	P53366
9823.ENSSSCP00000011344	Q28998
9823.ENSSSCP00000016767	Q95252
9823.ENSSSCP00000016281	Q29297
9823.ENSSSCP00000004806	F1RQM2
9823.ENSSSCP00000002994	Q9TU18
9823.ENSSSCP00000030853	P30555
9823.ENSSSCP00000001497	P81076
9823.ENSSSCP00000020144	P57770
9823.ENSSSCP00000011901	P82125
9823.ENSSSCP00000009958	P30356
9823.ENSSSCP00000006308	P13191
9823.ENSSSCP00000009549	P08835
9823.ENSSSCP00000010556	Q2XQV4
9823.ENSSSCP00000017525	P80276
9823.ENSSSCP00000009536	Q28989
9823.ENSSSCP00000029018	P04366
9823.ENSSSCP00000009558	P22952
9823.ENSSSCP00000021972	P28839
9823.ENSSSCP00000029051	P15145
9823.ENSSSCP00000026998	P00690
9823.ENSSSCP00000013166	Q9GKL7
9823.ENSSSCP00000003722	P07634
9823.ENSSSCP00000022217	P18104
9823.ENSSSCP00000003721	P24259
9823.ENSSSCP00000020122	P31346
9823.ENSSSCP00000014452	Q2TNK5
9823.ENSSSCP00000006448	Q9BDY8
9823.ENSSSCP00000016694	Q9BDY7
9823.ENSSSCP00000011149	Q865U8
9823.ENSSSCP00000005658	P19619
9823.ENSSSCP00000028443	P19620
9823.ENSSSCP00000008898	P08132
9823.ENSSSCP00000017422	Q9TRC7
9823.ENSSSCP00000013044	Q6Q2J0
9823.ENSSSCP00000028353	Q6PLK3
9823.ENSSSCP00000011711	P50584
9823.ENSSSCP00000015994	P18648
9823.ENSSSCP00000015992	O46409
9823.ENSSSCP00000015993	P27917
9823.ENSSSCP00000003343	P18650
9823.ENSSSCP00000001505	Q2LE37
9823.ENSSSCP00000016606	Q03472
9823.ENSSSCP00000011735	Q7YRZ1
9823.ENSSSCP00000003226	P26322
9823.ENSSSCP00000003222	P24020
9823.ENSSSCP00000011724	A9Y006
9823.ENSSSCP00000000223	A8W649
9823.ENSSSCP00000013063	O19004
9823.ENSSSCP00000005391	Q007T5
9823.ENSSSCP00000004530	Q95JC8
9823.ENSSSCP00000006929	B2DCZ9
