99287.STM2332	Q8ZNE0
99287.STM2081	P14062
99287.STM0785	Q8ZQR4
99287.STM1619	Q8ZPB6
99287.STM3365	Q7CPM8
99287.STM3364	Q8ZLP5
99287.STM3366	Q7CPM7
99287.STM3010	Q8ZMA4
99287.STM0998	P58661
99287.STM1597	Q8ZPC9
99287.STM0232	P0A1C3
99287.STM2366	Q7CQ41
99287.STM4184	P51066
99287.STM4185	P51067
99287.STM2337	P63411
99287.STM1712	Q8ZP52
99287.STM0158	Q8ZRS8
99287.STM0403	Q7CR41
99287.STM2577	P63466
99287.STM3583	Q8ZLE2
99287.STM1196	P0A6B1
99287.STM4275	Q8ZKF6
99287.STM4273	Q8ZKF8
99287.STM1083	Q7CQS9
99287.STM2265	P26189
99287.STM1463	Q8ZPL9
99287.STM4294	P60066
99287.STM0490	Q8ZRA1
99287.STM4298	P30877
99287.STM1117	O33921
99287.STM0608	P0A251
99287.STM0609	P19480
99287.STM2296	Q8ZNF4
99287.STM2800	Q8ZML6
99287.STM2264	P37462
99287.STM0515	Q8ZR87
99287.STM0523	Q7CR08
99287.STM0516	Q8ZR86
99287.STM0514	Q9S4Y7
99287.STM4247	P0A1A3
99287.STM1802	P06191
99287.STM3224	Q8ZLX2
99287.STM2450	P33772
99287.STM4358	P26366
99287.STM4477	Q8ZK29
99287.STM0146	P0CL03
99287.STM1963	P26613
99287.STM1446	Q8ZPN1
99287.STM1584	P40812
99287.STM0089	Q56017
99287.STM0088	P0A1B1
99287.STM2266	P41780
99287.STM4249	Q540U1
99287.STM4249	P58683
99287.STM0483	Q8ZRA2
99287.STM0102	P06189
99287.STM0103	P06188
99287.STM0104	P03022
99287.STM0101	P06190
99287.STM4467	Q8ZK33
99287.STM2992	Q8ZMB8
99287.STM4122	P63557
99287.STM4121	Q8ZKL8
99287.STM3468	P40732
99287.STM4120	Q8ZKL9
99287.STM3066	Q8ZM68
99287.STM3064	P58509
99287.STM3360	P0A1B3
99287.STM2355	P02911
99287.STM4123	Q8ZKL6
99287.STM2299	O52325
99287.STM2297	Q8ZNF3
99287.STM2298	O52324
99287.STM2300	O52326
