160490.SPy_1744	Q99YE0
160490.SPy_0109	P63415
160490.SPy_1804	Q99Y97
160490.SPy_1753	P63443
160490.SPy_0714	Q9A0L9
160490.SPy_0777	Q9A0H3
160490.SPy_0776	Q9A0H4
160490.SPy_1889	P68905
160490.SPy_1802	Q99Y98
160490.SPy_0927	P63546
160490.SPy_1547	P0C0B4
160490.SPy_1547	P0C0B3
160490.SPy_1549	Q99YT5
160490.SPy_2150	Q99XL6
160490.SPy_1352	Q99Z83
160490.SPy_1577	Q99YR3
160490.SPy_0810	Q9A0E4
160490.SPy_0809	P63590
160490.SPy_1584	P63597
160490.SPy_1539	Q99YU0
160490.SPy_0755	Q9A0J2
160490.SPy_0758	Q9A0I9
160490.SPy_0760	Q9A0I7
160490.SPy_0757	Q9A0J0
160490.SPy_0761	Q9A0I6
160490.SPy_0756	Q9A0J1
160490.SPy_0759	Q9A0I8
160490.SPy_2010	P58099
160490.SPy_2010	P15926
160490.SPy_0608	Q9A0U7
160490.SPy_0833	P63735
160490.SPy_0835	Q9A0C6
160490.SPy_1046	Q99ZW2
160490.SPy_0866	Q9A0A5
160490.SPy_2072	P63770
160490.SPy_2070	P69883
160490.SPy_2117	Q99XP1
160490.SPy_1186	Q99ZK9
160490.SPy_1178	P58159
160490.SPy_1190	P58160
160490.SPy_0395	P69884
160490.SPy_0885	P63793
160490.SPy_1233	Q99ZH1
160490.SPy_1537	P63821
160490.SPy_0498	P58102
160490.SPy_1777	P0A349
160490.SPy_1049	Q99ZV9
160490.SPy_2077	P0C0F1
160490.SPy_2077	P0C0F0
160490.SPy_1489	P0C0H3
160490.SPy_1489	P0C0H2
160490.SPy_1421	Q99Z34
160490.SPy_1958	P68771
160490.SPy_0890	P63927
160490.SPy_1867	Q99Y51
160490.SPy_0341	P64064
160490.SPy_1098	P0C0G1
160490.SPy_1312	Q99ZA6
160490.SPy_1310	P63959
160490.SPy_0002	P0A3A4
160490.SPy_1759	P0C0B6
160490.SPy_1759	P0C0B5
160490.SPy_1760	P0C0C6
160490.SPy_1760	P0C0C5
160490.SPy_0751	Q9A0J5
160490.SPy_1284	P0C0F3
160490.SPy_1284	P0C0F2
160490.SPy_1961	P0C0B8
160490.SPy_1961	P0C0B7
160490.SPy_1846	Q99Y66
160490.SPy_1980	P63999
160490.SPy_2195	P0C0E8
160490.SPy_2194	Q99XI2
160490.SPy_2195	P0C0E9
160490.SPy_0273	P69946
160490.SPy_1821	P68773
160490.SPy_2093	Q99XQ7
160490.SPy_0611	P69952
160490.SPy_0886	Q9A088
160490.SPy_0731	P69949
160490.SPy_0476	P0C0B9
160490.SPy_1500	P67452
160490.SPy_1499	P67467
160490.SPy_0728	Q9A0K9
160490.SPy_1754	Q99YD2
160490.SPy_1746	P64110
160490.SPy_0850	Q9A0B5
160490.SPy_1628	Q99YM7
160490.SPy_1099	P0C0G5
160490.SPy_1099	P0C0G4
160490.SPy_1502	Q99YX2
160490.SPy_0497	Q9A131
160490.SPy_1213	Q99ZI9
160490.SPy_2085	Q99XR2
160490.SPy_0458	Q9A155
160490.SPy_0274	P0C0G7
160490.SPy_0274	P0C0G6
160490.SPy_0215	Q9A1L1
160490.SPy_1771	Q99YC0
160490.SPy_1770	Q99YC1
160490.SPy_1772	P68890
160490.SPy_1097	P0C0C2
160490.SPy_2083	Q99XR4
160490.SPy_1038	Q99ZW8
160490.SPy_1280	Q99ZD3
160490.SPy_0443	Q9A163
160490.SPy_1684	Q99YI7
160490.SPy_1683	Q99YI8
160490.SPy_1262	Q99ZE5
160490.SPy_1145	Q99ZP1
160490.SPy_0653	Q9A0R7
160490.SPy_0226	P68887
160490.SPy_1429	Q99Z29
160490.SPy_1646	Q99YL4
160490.SPy_0349	P64285
160490.SPy_1761	P68892
160490.SPy_0931	P67274
160490.SPy_1204	P64299
160490.SPy_1135	Q99ZQ1
160490.SPy_1152	Q9L7Q5
160490.SPy_0727	Q9A0L0
160490.SPy_2200	P0C0H1
160490.SPy_2200	P0C0H0
160490.SPy_2202	P0C0I9
160490.SPy_0224	P67068
160490.SPy_2202	P0C0I8
160490.SPy_1100	P0C0G3
160490.SPy_1100	P0C0G2
160490.SPy_0584	P68898
160490.SPy_1763	Q99YC7
160490.SPy_0123	P0C0C3
160490.SPy_0331	Q9A1D5
160490.SPy_2090	Q99XQ9
160490.SPy_2089	P58083
160490.SPy_2081	P58080
160490.SPy_0879	P65103
160490.SPy_0075	P65123
160490.SPy_1721	Q99YG1
160490.SPy_0804	P65146
160490.SPy_2206	P0C0H7
160490.SPy_2206	P0C0H6
160490.SPy_0289	Q9A1G2
160490.SPy_1965	Q99XY1
160490.SPy_0074	P69882
160490.SPy_0803	Q9A0F0
160490.SPy_1632	Q99YM5
160490.SPy_1140	Q99ZP6
160490.SPy_0020	P65243
160490.SPy_1123	Q99ZR0
160490.SPy_0399	Q9A190
160490.SPy_1414	Q99Z39
160490.SPy_1708	Q99YH1
