44689.DDB0232938	P54632
44689.DDB0215394	Q23911
44689.DDB0191258	Q54QR9
44689.DDB0219978	P13475
44689.DDB0231359	Q54S02
44689.DDB0216217	Q54CX6
44689.DDB0231737	Q54P77
44689.DDB0231736	Q54P78
44689.DDB0266358	Q54P79
44689.DDB0191098	Q54DU8
44689.DDB0230202	Q54XC1
44689.DDB0215011	Q8TA03
44689.DDB0231287	Q54CJ3
44689.DDB0229939	Q54N73
44689.DDB0220006	Q54U65
44689.DDB0201568	P14195
44689.DDB0191407	P14196
44689.DDB0185151	P14197
44689.DDB0305015	P14198
44689.DDB0191132	Q54I71
44689.DDB0230093	Q54SF7
44689.DDB0230092	Q55F21
44689.DDB0168619	Q86AG8
44689.DDB0187583	Q54K00
44689.DDB0191222	Q8T5Z7
44689.DDB0191223	Q8T6J5
44689.DDB0201662	Q54BT5
44689.DDB0219982	Q555Z5
44689.DDB0191224	Q8T6J2
44689.DDB0201627	Q8T6J1
44689.DDB0215337	Q8T6J0
44689.DDB0216250	Q55BC0
44689.DDB0201653	Q54DT1
44689.DDB0191529	Q54R52
44689.DDB0219981	Q552P3
44689.DDB0201666	Q54BU4
44689.DDB0201670	Q54BT3
44689.DDB0201629	Q8T9W4
44689.DDB0208540	Q54W24
44689.DDB0201625	Q8T9W2
44689.DDB0214896	Q54RU1
44689.DDB0220443	Q55DA7
44689.DDB0215360	Q8T6H8
44689.DDB0220024	Q54VJ0
44689.DDB0216251	Q54JR2
44689.DDB0220025	Q54LE6
44689.DDB0219975	Q8T6H3
44689.DDB0201630	Q54EK2
44689.DDB0191225	Q54P13
44689.DDB0216237	Q54NL1
44689.DDB0215367	Q8ST87
44689.DDB0214809	Q54U44
44689.DDB0215342	Q54V86
44689.DDB0219976	Q54K24
44689.DDB0216384	Q54VC1
44689.DDB0215371	Q54W19
44689.DDB0214891	Q8T8P3
44689.DDB0215374	Q54W20
44689.DDB0191228	Q8T6B7
44689.DDB0191119	Q8T6B4
44689.DDB0191516	Q55DW4
44689.DDB0191229	Q9NGP5
44689.DDB0191230	Q8T690
44689.DDB0216252	Q8T689
44689.DDB0215344	Q54TV2
44689.DDB0215376	Q54TV1
44689.DDB0191231	Q8T686
44689.DDB0191232	Q86HQ2
44689.DDB0214893	Q8T683
44689.DDB0214895	Q54CG0
44689.DDB0191518	Q55DQ2
44689.DDB0191233	Q8T685
44689.DDB0191234	Q55DR1
44689.DDB0191235	Q55GB1
44689.DDB0191236	Q54HM0
44689.DDB0267013	Q556W2
44689.DDB0185012	Q8ST66
44689.DDB0191237	Q8T675
44689.DDB0191238	Q8T674
44689.DDB0191239	Q8T673
44689.DDB0214899	Q55DA0
44689.DDB0304677	Q55EH8
44689.DDB0216383	Q54T02
44689.DDB0191241	Q8T664
44689.DDB0220442	Q54QY9
44689.DDB0237966	Q54H38
44689.DDB0231426	Q55FT9
44689.DDB0216427	Q54IH6
44689.DDB0229418	Q54TR5
44689.DDB0220789	Q55G83
44689.DDB0216431	Q54P00
44689.DDB0230207	Q54ET6
44689.DDB0230067	Q54J08
44689.DDB0237710	Q54IM8
44689.DDB0266382	Q54GC8
44689.DDB0231469	Q5FXM5
44689.DDB0231161	Q76NT9
44689.DDB0237707	Q54RR5
44689.DDB0233380	Q54K91
44689.DDB0235360	Q54YA0
44689.DDB0266468	Q54LN9
44689.DDB0229908	Q54X73
