882.DVU3030	Q726S6
882.DVU1909	Q72AT2
882.DVU1205	Q72CS8
882.DVU1192	Q72CU1
882.DVU0441	Q72EX7
882.DVU0955	Q72DH4
882.DVU1164	Q72CW9
882.DVU0415	Q72F03
882.DVU1466	Q72C18
882.DVU0823	P62060
882.DVU1094	Q72D36
882.DVU0894	Q72DN5
882.DVU0892	Q72DN7
882.DVU1095	P61522
882.DVU3339	Q725T6
882.DVU0918	Q72DL1
882.DVU0777	Q72E02
882.DVU0775	Q72E04
882.DVU0778	Q72E01
882.DVU0774	Q72E05
882.DVU0779	Q72E00
882.DVU0776	Q72E03
882.DVU0917	Q72DL2
882.DVU2548	Q728Q5
882.DVU2373	Q729H8
882.DVU1837	Q72B03
882.DVU2559	Q728P4
882.DVU2558	Q728P5
882.DVU3113	Q726J4
882.DVU2750	P61984
882.DVU1365	Q72CB8
882.DVU0650	Q72EC8
882.DVU1977	Q72AL5
882.DVU1976	Q72AL6
882.DVU1596	P62636
882.DVU2078	P62637
882.DVU2972	Q726Y4
882.DVU1874	Q72AW6
882.DVU1335	Q72CE8
882.DVU1601	Q72BN4
882.DVU1336	Q72CE7
882.DVU1532	Q72BV2
882.DVU0321	Q72F93
882.DVU0816	Q72DW3
882.DVU0914	Q72DL5
882.DVU3279	Q725Z4
882.DVU1811	Q72B27
882.DVU1599	Q72BN6
882.DVU0521	Q72EP8
882.DVU1817	P04032
882.DVU2809	Q727P6
882.DVU3171	P00131
882.DVU1655	Q72BI1
882.DVU1868	Q72AX2
882.DVU1609	Q72BM6
882.DVU3182	P35841
882.DVU0334	Q72F80
882.DVU3194	Q725L9
882.DVU3183	P20418
882.DVU2252	Q729U6
882.DVU3243	Q725M6
882.DVU0811	Q72DW8
882.DVU1608	Q72BM7
882.DVU0402	P45574
882.DVU0403	P45575
882.DVU2776	P45573
882.DVU0404	Q46582
882.DVU1452	Q72C32
882.DVU0866	Q72DR3
882.DVU1350	Q72CD3
882.DVU1300	Q72CI3
882.DVU1666	Q72BH0
882.DVU0873	Q72DQ6
882.DVU2920	Q727D5
882.DVU1224	Q72CQ9
882.DVU1664	Q72BH2
882.DVU0322	Q72F92
882.DVU0052	Q72G11
882.DVU1348	Q72CD5
882.DVU1841	Q72AZ9
882.DVU1207	Q72CS6
882.DVU2368	P61452
882.DVU2812	Q727P3
882.DVU2811	Q727P4
882.DVU2680	P00323
882.DVU0515	Q72EQ4
882.DVU0516	Q72EQ3
882.DVU0522	Q72EP7
882.DVU3365	Q725Q9
882.DVU0323	Q72F91
882.DVU3256	Q726D5
882.DVU3059	Q726P7
882.DVU0808	Q72DX1
882.DVU1885	Q72AV5
882.DVU0809	Q72DX0
882.DVU2892	Q727G3
882.DVU1426	Q72C58
882.DVU1425	Q72C59
882.DVU2244	Q729V4
882.DVU2243	Q729V5
882.DVU1282	Q72CK1
882.DVU2668	Q728D5
882.DVU3134	Q726H4
882.DVU1693	Q72BE3
882.DVU1203	Q72CT0
882.DVU1889	Q72AV1
882.DVU3159	P61739
882.DVU2935	Q727C0
882.DVU1619	Q72BL6
882.DVU3245	Q725M4
882.DVU0812	Q72DW7
882.DVU3168	Q725I1
882.DVU1043	Q72D86
882.DVU2013	P31101
882.DVU1461	Q72C23
882.DVU1890	Q72AV0
882.DVU0114	P62364
882.DVU0113	P62386
882.DVU1038	P62353
882.DVU0285	P61779
882.DVU0286	P62450
882.DVU1040	P61659
882.DVU1029	Q72DA0
882.DVU0796	P62457
882.DVU0481	Q72ET7
882.DVU0535	P33389
882.DVU0534	P33390
882.DVU0533	P33391
882.DVU0532	P33392
882.DVU0531	P33393
882.DVU0536	P24092
882.DVU0813	Q72DW6
882.DVU1467	Q72C17
882.DVU1577	Q72BQ7
882.DVU2643	Q728G0
882.DVU2328	Q729M2
882.DVU2292	Q729Q7
882.DVU0014	P61686
882.DVU2216	P61687
882.DVU0508	Q72ER1
882.DVU2537	Q728R6
882.DVU1378	Q72CA6
882.DVU3373	Q725Q1
882.DVU1454	Q72C30
882.DVU1576	Q72BQ8
882.DVU1344	Q72CD9
882.DVU0055	Q72G08
882.DVU1932	Q72AR0
882.DVU1028	Q72DA1
882.DVU1624	P61654
882.DVU3114	Q726J3
882.DVU0900	Q72DM9
882.DVU2140	Q72A57
882.DVU0600	P62051
882.DVU0703	Q72E76
882.DVU2985	Q726X1
882.DVU2982	Q726X4
882.DVU2983	Q726X3
882.DVU1603	Q72BN2
882.DVU0015	Q72G45
882.DVU0905	Q72DM4
882.DVU0906	Q72DM3
882.DVU2374	Q729H7
882.DVU1337	Q72CE6
882.DVU2917	Q727D8
882.DVU2369	Q729I2
882.DVU2468	Q728Y4
882.DVU1928	Q72AR4
882.DVU3371	Q725Q3
882.DVU2449	Q729A3
882.DVU1533	Q72BV1
882.DVU0984	Q72DE5
882.DVU0807	Q72DX2
882.DVU1079	Q72D51
882.DVU1828	Q72B11
882.DVU2910	Q727E5
882.DVU0289	Q72FC5
882.DVU2507	Q728U5
882.DVU2513	Q728T9
882.DVU0576	Q72EK2
882.DVU1825	Q72B14
882.DVU0084	Q72FX9
882.DVU3258	Q726D3
