353153.XP_810529.1	P18269
353153.XP_804269.1	P18270
353153.XP_819733.1	P18271
353153.XP_807262.1	P53477
353153.XP_821257.1	Q4CNH2
353153.XP_804396.1	Q4CQJ5
353153.XP_817832.1	Q4DTX9
353153.XP_821468.1	P33447
353153.XP_808093.1	P18061
353153.XP_819508.1	Q95046
353153.XP_813685.1	Q966X9
353153.XP_802639.1	O15885
353153.XP_811857.1	Q4DBV7
353153.XP_815382.1	Q4DLX3
353153.XP_820210.1	Q7Z1V1
353153.XP_818578.1	P25779
353153.XP_806552.1	O76240
353153.XP_812294.1	P90597
353153.XP_808875.1	Q4D3B7
353153.XP_812879.1	Q4DER6
353153.XP_815327.1	Q27793
353153.XP_809440.1	Q4D4Y5
353153.XP_804306.1	P34827
353153.XP_808088.1	P41048
353153.XP_805245.1	P41049
353153.XP_808453.1	Q4D248
353153.XP_818647.1	Q4DW94
353153.XP_808306.1	P07749
353153.XP_814958.1	Q4DKQ5
353153.XP_812138.1	P22513
353153.XP_805710.1	Q03877
353153.XP_814861.1	Q4DKF7
353153.XP_819707.1	Q4DZ91
353153.XP_807181.1	P35066
353153.XP_805384.1	P27795
353153.XP_817738.1	P05456
353153.XP_806221.1	P20583
353153.XP_814892.1	P06660
353153.XP_820378.1	Q4E162
353153.XP_820032.1	Q4E097
353153.XP_820032.1	Q9XYP3
353153.XP_811877.1	Q4DBX5
353153.XP_817145.1	Q4DRX4
353153.XP_811851.1	Q4DBW3
353153.XP_815377.1	Q4DLX9
353153.XP_812080.1	Q4DCH3
353153.XP_806409.1	O96507
353153.XP_810488.1	Q9U6Z1
353153.XP_811939.1	Q4DC43
353153.XP_819445.1	Q4DYL7
353153.XP_810893.1	Q09734
353153.XP_807040.1	Q4CY36
353153.XP_809913.1	Q4D6B2
353153.XP_820346.1	Q4E123
353153.XP_805823.1	Q4CUM2
353153.XP_809753.1	Q6JZK2
353153.XP_811627.1	P51058
353153.XP_822053.1	Q4E657
353153.XP_814362.1	Q4DJ07
353153.XP_811287.1	Q4DA80
353153.XP_811287.1	Q868H8
353153.XP_809777.1	P92188
353153.XP_815340.1	Q4DLT6
353153.XP_806628.1	Q4CWX1
353153.XP_809064.1	Q4D3W2
353153.XP_819826.1	Q4DZP2
353153.XP_820211.1	O00822
