511145.b3549	P05100
511145.b2068	P04395
511145.b3054	P30871
511145.b2291	P76491
511145.b2912	P0AC28
511145.b2029	P00350
511145.b0767	P52697
511145.b3241	P46482
511145.b3240	P46481
511145.b3243	P67662
511145.b3242	P46478
511145.b2836	P31119
511145.b0928	P00509
511145.b1444	P77674
511145.b1338	P77357
511145.b1337	P76052
511145.b1339	P77744
511145.b1336	P46133
511145.b0715	P75747
511145.b0185	P0ABD5
511145.b3256	P24182
511145.b2316	P0A9Q5
511145.b0351	P77580
511145.b4015	P0A9G6
511145.b4016	P11071
511145.b4466	P0CK95
511145.b2296	P0A6A3
511145.b1276	P25516
511145.b0118	P36683
511145.b2371	P76518
511145.b0404	P21515
511145.b2563	P24224
511145.b3475	P37623
511145.b1094	P0A6A8
511145.b0463	P0AE06
511145.b0462	P31224
511145.b2470	P24177
511145.b3265	P24180
511145.b3266	P24181
511145.b0464	P0ACS9
511145.b0762	P0AAW9
511145.b4069	P27550
511145.b4067	P32705
511145.b3253	P26646
511145.b0968	P0AB65
511145.b2213	P06134
511145.b1623	P22333
511145.b3665	P31441
511145.b3714	P31466
511145.b3664	P31440
511145.b3589	P37686
511145.b1241	P0A9Q7
511145.b1478	P39451
511145.b4117	P28629
511145.b4115	P60061
511145.b4116	P33234
511145.b3034	Q93K97
511145.b0385	P0AAP1
511145.b1815	P76261
511145.b1325	P51981
511145.b2468	P37127
511145.b3072	P50466
511145.b0476	P23872
511145.b2000	P39180
511145.b3141	P42912
511145.b4119	P06720
511145.b3131	P0ACK2
511145.b3136	P42907
511145.b1002	P19926
511145.b0605	P0AE08
511145.b0606	P35340
511145.b4269	P27250
511145.b4187	P33224
511145.b2252	P45565
511145.b0002	P00561
511145.b3940	P00562
511145.b4024	P08660
511145.b2290	P0A959
511145.b2379	P77434
511145.b2670	P64550
511145.b1415	P25553
511145.b3588	P37685
511145.b2097	P0A991
511145.b2925	P0AB71
511145.b2212	P05050
511145.b1850	P0A955
511145.b0505	P77731
511145.b0512	P77671
511145.b0516	P77425
511145.b0517	P77555
511145.b0515	P75713
511145.b0511	P75712
511145.b0506	P0ACN4
511145.b0504	P0ACR0
511145.b2624	P33997
511145.b4053	P0A6B4
511145.b1190	P29012
511145.b4087	P32721
511145.b4088	P39265
511145.b4086	P32720
511145.b4085	P32719
511145.b4084	P32718
511145.b3088	P42601
511145.b2435	P36548
511145.b4169	P26365
511145.b2817	P63883
511145.b0867	P75820
511145.b1982	P0AE12
511145.b1386	P46883
511145.b4260	P68767
511145.b4150	P00811
511145.b0110	P13016
511145.b0111	P0AE14
511145.b0433	P0AE16
511145.b0376	P0AD70
511145.b0932	P04825
511145.b2908	P15034
511145.b0451	P69681
511145.b3571	P25718
511145.b1927	P26612
511145.b1640	P77570
511145.b1453	P77610
511145.b0050	P62672
511145.b0049	P05637
511145.b2214	P0AB85
511145.b4055	P0AE22
511145.b0979	P26458
511145.b0978	P26459
511145.b4592	P24244
511145.b0564	P05052
511145.b0469	P69503
511145.b0875	P60844
511145.b0062	P08202
511145.b0063	P08204
511145.b0064	P0A9E0
511145.b0061	P08203
511145.b2841	P0AE24
511145.b1901	P02924
511145.b1900	P0AAF3
511145.b4460	P0AE26
511145.b0396	P23910
511145.b4401	P0A9Q1
511145.b3210	P0AEC3
511145.b0521	P37306
511145.b1605	P0AAE5
511145.b2874	Q46807
511145.b0323	P77624
511145.b4550	P36675
511145.b0191	P40711
511145.b2818	P0A6C5
511145.b3959	P0A6C8
511145.b3958	P11446
511145.b3359	P18335
